|       | '96 Zenkoku Koukou Soccer Senshuken                                       | Magical Company (Mahou)      | Super Nintendo | 1996 | Japan
|       | 2020 Toshi no Super Baseball                                              | K Amusement Leasing          | Super Nintendo | 1993 | Japan
|       | 3 Jigen Kakuto: Ballz                                                     | Media Rings                  | Super Nintendo | 1995 | Japan
|       | 3x3 Eyes: Juuma Houkan                                                    | Banpresto                    | Super Nintendo | 1995 | Japan
|       | 3x3 Eyes: Seima Kourinden                                                 | Yutaka                       | Super Nintendo | 1992 | Japan
|       | 4 Nin Shogi                                                               | Pow                          | Super Nintendo | 1995 | Japan
|       | 46 Okunen Monogatari - Harukanaru Eden e                                  | Gameplan21                   | Super Nintendo | 1992 | Japan
|       | ABC Monday Night Football                                                 | Data East                    | Super Nintendo | 1993 | Japan
|       | Accele Brid                                                               | Tomy Corporation             | Super Nintendo | 1993 | Japan
|       | Ace o Nerae!                                                              | Nippon Telenet               | Super Nintendo | 1993 | Japan
|       | Acrobat Mission                                                           | Techiku                      | Super Nintendo | 1992 | Japan
|       | Action Pachio                                                             | Coconuts Japan               | Super Nintendo | 1993 | Japan
|       | Actraiser                                                                 | Enix Corporation             | Super Nintendo | 1990 | Japan
|       | ActRaiser 2: Chinmoku e no Seisen                                         | Enix Corporation             | Super Nintendo | 1993 | Japan
|       | Addams Family, The                                                        | Misawa                       | Super Nintendo | 1992 | Japan
|       | Advanced Dungeons & Dragons: Eye of the Beholder                          | Capcom                       | Super Nintendo | 1994 | Japan
|       | AIII S.V.: A-Ressha de Ikou 3 Super Version                               | Pack-In-Video                | Super Nintendo | 1995 | Japan
|       | Air Management II                                                         | Koei                         | Super Nintendo | 1993 | Japan
|       | Air Management: Oozora ni Kakeru                                          | Koei                         | Super Nintendo | 1992 | Japan
|       | Akagawa Jirou: Majotachi no Nemuri                                        | Pack-In-Video                | Super Nintendo | 1995 | Japan
|       | Akazukin ChaCha                                                           | Tomy Corporation             | Super Nintendo | 1996 | Japan
