|       | Aero Blasters                                 | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | North America
|       | Air Zonk                                      | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | North America
|       | Alien Crush                                   | Turbo Technologies, Inc. | TurboGrafx-16 | 1989 | North America
|       | Andre Panza Kick Boxing                       | Turbo Technologies, Inc. | TurboGrafx-16 | 1991 | North America
|       | Ballistix                                     | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | North America
|       | Battle Royale                                 | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | North America
|       | Blazing Lazers                                | NEC                      | TurboGrafx-16 | 1989 | North America
|       | Bloody Wolf                                   | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | North America
|       | Bomberman                                     | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | North America
|       | Bomberman '93                                 | Turbo Technologies, Inc. | TurboGrafx-16 | 1993 | North America
|       | Bonk 3: Bonk's Big Adventure                  | Turbo Technologies, Inc. | TurboGrafx-16 | 1993 | North America
|       | Bonk's Adventure                              | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Bonk's Revenge                                | NEC                      | TurboGrafx-16 | 1991 | North America
|       | Boxyboy                                       | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Bravoman                                      | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | North America
|       | Cadash                                        | Working Designs          | TurboGrafx-16 | 1991 | North America
|       | Champions Forever Boxing                      | Turbo Technologies, Inc. | TurboGrafx-16 | 1991 | North America
|       | Chase H.Q.                                    | Taito Corporation        | TurboGrafx-16 | 1992 | North America
|       | Chew-Man-Fu                                   | NEC                      | TurboGrafx-16 | 1990 | North America
|       | China Warrior                                 | NEC                      | TurboGrafx-16 | 1989 | North America
|       | Cratermaze                                    | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Cyber-Core                                    | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Davis Cup Tennis                              | NEC                      | TurboGrafx-16 | 1991 | North America
|       | Dead Moon                                     | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | North America
|       | Deep Blue                                     | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Devil's Crush                                 | NEC Interchannel         | TurboGrafx-16 | 1990 | North America
|       | Disney's Darkwing Duck                        | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | North America
|       | Disney's TaleSpin                             | NEC                      | TurboGrafx-16 | 1991 | North America
|       | Double Dungeons                               | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Dragon Spirit                                 | NEC                      | TurboGrafx-16 | 1989 | North America
|       | Dragon's Curse                                | NEC                      | TurboGrafx-16 | 1991 | North America
|       | Drop Off                                      | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Dungeon Explorer                              | NEC                      | TurboGrafx-16 | 1989 | North America
|       | Dungeons & Dragons: Order of the Griffon      | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | North America
|       | Falcon                                        | Spectrum Holobyte        | TurboGrafx-16 | 1992 | North America
|       | Fantasy Zone                                  | NEC Interchannel         | TurboGrafx-16 | 1989 | North America
|       | Final Lap Twin                                | NEC                      | TurboGrafx-16 | 1989 | North America
|       | Galaga '90                                    | NEC                      | TurboGrafx-16 | 1989 | North America
|       | Ghost Manor                                   | Turbo Technologies, Inc. | TurboGrafx-16 | 1992 | North America
|       | Gunboat                                       | NEC Interchannel         | TurboGrafx-16 | 1992 | North America
|       | Hit the Ice                                   | NEC                      | TurboGrafx-16 | 1992 | North America
|       | Impossamole                                   | NEC Interchannel         | TurboGrafx-16 | 1991 | North America
|       | J.J. & Jeff                                   | Turbo Technologies, Inc. | TurboGrafx-16 | 1990 | North America
|       | Jack Nicklaus: Turbo Golf                     | Accolade                 | TurboGrafx-16 | 1990 | North America
|       | Jackie Chan's Action Kung Fu                  | Hudson                   | TurboGrafx-16 | 1992 | North America
|       | Keith Courage in Alpha Zones                  | NEC                      | TurboGrafx-16 | 1989 | North America
|       | King of Casino                                | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Klax                                          | Tengen                   | TurboGrafx-16 | 1990 | North America
|       | Legend of Hero Tonma                          | NEC Interchannel         | TurboGrafx-16 | 1993 | North America
|       | Legendary Axe II                              | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Legendary Axe, The                            | NEC                      | TurboGrafx-16 | 1989 | North America
|       | Magical Chase                                 | NEC                      | TurboGrafx-16 | 1993 | North America
|       | Military Madness                              | Hudson                   | TurboGrafx-16 | 1989 | North America
|       | Moto Roader                                   | NEC                      | TurboGrafx-16 | 1989 | North America
|       | Neutopia                                      | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Neutopia II                                   | Hudson                   | TurboGrafx-16 | 1992 | North America
|       | New Adventure Island                          | NEC Interchannel         | TurboGrafx-16 | 1992 | North America
|       | Night Creatures                               | NEC Interchannel         | TurboGrafx-16 | 1991 | North America
|       | Ninja Spirit                                  | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Ordyne                                        | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Pac-Land                                      | NEC                      | TurboGrafx-16 | 1990 | North America
|       | Parasol Stars: The Story of Bubble Bobble III | Working Designs          | TurboGrafx-16 | 1991 | North America
