|       | 1552 Tenka Tairan                                         | ASK                                   | TurboGrafx-16 CD | 1993 | Japan
|       | 3x3 Eyes: Sanjiyan Henjyo                                 | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | A.III: A-Ressha de Ikou III                               | Artdink                               | TurboGrafx-16 CD | 1993 | Japan
|       | Advanced V.G.                                             | TGL                                   | TurboGrafx-16 CD | 1994 | Japan
|       | Adventure Quiz Capcom World: Hatena no Daibouken          | Hudson                                | TurboGrafx-16 CD | 1992 | Japan
|       | Ai Cho Aniki                                              | NCS                                   | TurboGrafx-16 CD | 1995 | Japan
|       | Akiyama Jin No Suugaku Mystery                            | NHK                                   | TurboGrafx-16 CD | 1994 | Japan
|       | Akumajou Dracula X: Chi no Rondo                          | Konami                                | TurboGrafx-16 CD | 1993 | Japan
|       | Alnam no Kiba: Juuzoku Juuni Shinto Densetsu              | Right Stuff                           | TurboGrafx-16 CD | 1994 | Japan
|       | Alshark                                                   | Victor Interactive Software           | TurboGrafx-16 CD | 1994 | Japan
|       | Alzadick: Summer Carnival `92                             | Naxat Soft                            | TurboGrafx-16 CD | 1992 | Japan
|       | Anesan                                                    | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Aoki Ookami to Shiroki Mejika: Genchou Hishi              | Koei                                  | TurboGrafx-16 CD | 1993 | Japan
|       | Asuka 120% Maxima: Burning Fest. Maxima                   | NEC Interchannel                      | TurboGrafx-16 CD | 1995 | Japan
|       | Atlas: Renaissance Voyager, The                           | Artdink                               | TurboGrafx-16 CD | 1994 | Japan
|       | Aurora Quest: Otaku no Seiza in Another World             | Pack-In-Video                         | TurboGrafx-16 CD | 1993 | Japan
|       | Auto Crusher Palladium                                    | Pack-In-Video                         | TurboGrafx-16 CD | 1994 | Japan
|       | Avenger                                                   | Laser Soft                            | TurboGrafx-16 CD | 1990 | Japan
|       | Babel                                                     | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | Japan
|       | Baby Jo: The Super Hero                                   | Micro World                           | TurboGrafx-16 CD | 1992 | Japan
|       | Bakuden Unbalance Zone                                    | Sony Music Entertainment Incorporated | TurboGrafx-16 CD | 1994 | Japan
|       | Bakushou Yoshimoto Shingeki                               | Hudson                                | TurboGrafx-16 CD | 1994 | Japan
|       | Basted                                                    | NEC Avenue                            | TurboGrafx-16 CD | 1994 | Japan
|       | Bazaru de Gozaru No Game Degozaru                         | NEC Interchannel                      | TurboGrafx-16 CD | 1996 | Japan
|       | Bikkuriman Daijikai                                       | Hudson                                | TurboGrafx-16 CD | 1988 | Japan
|       | Bishoujo Senshi Sailor Moon                               | Banpresto                             | TurboGrafx-16 CD | 1994 | Japan
|       | Bishoujo Senshi Sailor Moon Collection                    | Banpresto                             | TurboGrafx-16 CD | 1994 | Japan
|       | Black Hole Assault                                        | Micronet                              | TurboGrafx-16 CD | 1993 | Japan
|       | Blood Gear                                                | Hudson                                | TurboGrafx-16 CD | 1994 | Japan
|       | Bomberman: Panic Bomber                                   | Hudson                                | TurboGrafx-16 CD | 1994 | Japan
|       | Bonanza Bros.                                             | NEC Interchannel                      | TurboGrafx-16 CD | 1992 | Japan
|       | Brandish                                                  | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Browning                                                  | Nippon Telenet                        | TurboGrafx-16 CD | 1992 | Japan
|       | Builderland                                               | Micro World                           | TurboGrafx-16 CD | 1992 | Japan
|       | Burai II: Yami Koutei no Gyakushuu                        | Riverhillsoft                         | TurboGrafx-16 CD | 1992 | Japan
|       | Burai: Hachigyoku no Yuushi Densetsu                      | Riverhillsoft                         | TurboGrafx-16 CD | 1991 | Japan
|       | CAL II                                                    | NEC Interchannel                      | TurboGrafx-16 CD | 1993 | Japan
|       | CAL III: Kanketsuhen                                      | NEC Avenue                            | TurboGrafx-16 CD | 1994 | Japan
|       | Card Angels                                               | Fujicom                               | TurboGrafx-16 CD | 1994 | Japan
|       | Carmen Sandiego o Oe! Sekaihen                            | Pack-In-Video                         | TurboGrafx-16 CD | 1990 | Japan
|       | CD Battle Hikari no Yuushatachi                           | King Records                          | TurboGrafx-16 CD | 1993 | Japan
|       | CD Denjin: Rockabilly Tengoku                             | Hudson                                | TurboGrafx-16 CD | 1993 | Japan
|       | CD Hanafuda Bishoujo Fan Club                             | Games Express                         | TurboGrafx-16 CD | 1994 | Japan
|       | CD Mahjong Bishoujo Chuushinha                            | Games Express                         | TurboGrafx-16 CD | 1993 | Japan
|       | Championship Rally                                        | Intec                                 | TurboGrafx-16 CD | 1993 | Japan
|       | Chiki Chiki Boys                                          | NEC Interchannel                      | TurboGrafx-16 CD | 1994 | Japan
|       | Cho Aniki                                                 | NCS                                   | TurboGrafx-16 CD | 1992 | Japan
|       | Chou Eiyuu Densetsu: Dynastic Hero                        | Hudson Soft                           | TurboGrafx-16 CD | 1994 | Japan
|       | Choujikuu Yousai Macross 2036                             | NCS                                   | TurboGrafx-16 CD | 1992 | Japan
|       | Choujikuu Yousai Macross: Eien no Love Song               | NCS                                   | TurboGrafx-16 CD | 1992 | Japan
