|       | 3-D Tetris              | Nintendo  | Virtual Boy | 1996 | North America
|       | Galactic Pinball        | Nintendo  | Virtual Boy | 1995 | North America
|       | Golf                    | Nintendo  | Virtual Boy | 1995 | North America
|       | Jack Bros.              | ATLUS     | Virtual Boy | 1995 | North America
|       | Mario Clash             | Nintendo  | Virtual Boy | 1995 | North America
|       | Mario's Tennis          | Nintendo  | Virtual Boy | 1995 | North America
|       | Nester's Funky Bowling  | Nintendo  | Virtual Boy | 1996 | North America
|       | Panic Bomber            | Hudson    | Virtual Boy | 1995 | North America
|       | Red Alarm               | Nintendo  | Virtual Boy | 1995 | North America
|       | Teleroboxer             | Nintendo  | Virtual Boy | 1995 | North America
|       | Vertical Force          | Nintendo  | Virtual Boy | 1995 | North America
|       | Virtual Boy Wario Land  | Nintendo  | Virtual Boy | 1995 | North America
|       | Virtual League Baseball | Kemco     | Virtual Boy | 1995 | North America
|       | Waterworld              | Ocean     | Virtual Boy | 1995 | North America
|       | Galactic Pinball                        | Nintendo              | Virtual Boy | 1995 | Japan
|       | Insmouse no Yakata                      | I'Max                 | Virtual Boy | 1995 | Japan
|       | Jack Bros. no Meiro de Hiihoo!          | ATLUS                 | Virtual Boy | 1995 | Japan
|       | Mario Clash                             | Nintendo              | Virtual Boy | 1995 | Japan
|       | Mario's Tennis                          | Nintendo              | Virtual Boy | 1995 | Japan
|       | Red Alarm                               | T&E Soft              | Virtual Boy | 1995 | Japan
|       | SD Gundam Dimension War                 | Bandai                | Virtual Boy | 1995 | Japan
|       | Space Invaders: Virtual Collection      | Taito Corporation     | Virtual Boy | 1995 | Japan
|       | Space Squash                            | Coconuts Japan        | Virtual Boy | 1995 | Japan
|       | T&E Virtual Golf                        | T&E Soft              | Virtual Boy | 1995 | Japan
|       | Teleroboxer                             | Nintendo              | Virtual Boy | 1995 | Japan
|       | Tobidase! Panibomb                      | Hudson                | Virtual Boy | 1995 | Japan
|       | V-Tetris                                | Bullet Proof Software | Virtual Boy | 1995 | Japan
|       | Vertical Force                          | Nintendo              | Virtual Boy | 1995 | Japan
|       | Virtual Bowling                         | Athena                | Virtual Boy | 1995 | Japan
|       | Virtual Boy Wario Land: Awazon no Hihou | Nintendo              | Virtual Boy | 1995 | Japan
|       | Virtual Fishing                         | Pack-In-Video         | Virtual Boy | 1995 | Japan
|       | Virtual Lab                             | J-Wing                | Virtual Boy | 1995 | Japan
|       | Virtual Pro Yakyuu '95                  | Kemco                 | Virtual Boy | 1995 | Japan
