|       | 007 Legends                                                              | Activision                             | Xbox 360 | 2012 | North America
|       | 007: Quantum of Solace                                                   | Activision                             | Xbox 360 | 2008 | North America
|       | 2010 FIFA World Cup South Africa                                         | EA Sports                              | Xbox 360 | 2010 | North America
|       | 2014 FIFA World Cup Brazil                                               | EA Sports                              | Xbox 360 | 2014 | North America
|       | 2K Essentials Collection: Bioshock / Borderlands/ XCOM: Enemy Unknown    | 2K Games                               | Xbox 360 | 2013 | North America
|       | 2K Power Pack                                                            | 2K Games                               | Xbox 360 | 2013 | North America
|       | 50 Cent: Blood on the Sand                                               | THQ                                    | Xbox 360 | 2009 | North America
|       | AC/DC Live: Rock Band Track Pack                                         | MTV Games                              | Xbox 360 | 2008 | North America
|       | Ace Combat 6: Fires of Liberation                                        | Namco Bandai Games America             | Xbox 360 | 2007 | North America
|       | Ace Combat Assault Horizon                                               | Namco Bandai Games America             | Xbox 360 | 2011 | North America
|       | Adidas miCoach                                                           | 505 Games                              | Xbox 360 | 2012 | North America
|       | Adrenalin Misfits                                                        | Konami                                 | Xbox 360 | 2010 | North America
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                | D3Publisher                            | Xbox 360 | 2013 | North America
|       | Adventure Time: Finn and Jake Investigations                             | Little Orbit                           | Xbox 360 | 2015 | North America
|       | Adventure Time: The Secret of the Nameless Kingdom                       | Little Orbit                           | Xbox 360 | 2014 | North America
|       | Adventures of Tintin: The Game, The                                      | Ubisoft                                | Xbox 360 | 2011 | North America
|       | Afro Samurai                                                             | Namco Bandai Games America             | Xbox 360 | 2009 | North America
|       | Air Conflicts: Secret Wars                                               | Kalypso                                | Xbox 360 | 2011 | North America
|       | Air Conflicts: Vietnam                                                   | Kalypso                                | Xbox 360 | 2013 | North America
|       | Akai Katana                                                              | Rising Star Games                      | Xbox 360 | 2012 | North America
|       | Alan Wake                                                                | Microsoft Game Studios                 | Xbox 360 | 2010 | North America
|       | Alice: Madness Returns                                                   | Electronic Arts                        | Xbox 360 | 2011 | North America
|       | Alien: Isolation                                                         | Sega                                   | Xbox 360 | 2014 | North America
|       | Aliens vs. Predator                                                      | Sega                                   | Xbox 360 | 2010 | North America
|       | Aliens: Colonial Marines                                                 | Sega                                   | Xbox 360 | 2013 | North America
|       | All-Pro Football 2K8                                                     | 2K Sports                              | Xbox 360 | 2007 | North America
|       | Alone in the Dark                                                        | Atari                                  | Xbox 360 | 2008 | North America
|       | Alpha Protocol                                                           | Sega                                   | Xbox 360 | 2010 | North America
|       | Alvin and the Chipmunks: Chipwrecked                                     | Majesco Games                          | Xbox 360 | 2011 | North America
|       | Amazing Spider-Man 2, The                                                | Activision                             | Xbox 360 | 2014 | North America
|       | Amazing Spider-Man, The                                                  | Activision                             | Xbox 360 | 2012 | North America
|       | America's Army: True Soldiers                                            | Ubisoft                                | Xbox 360 | 2007 | North America
|       | Amped 3                                                                  | 2K Sports                              | Xbox 360 | 2005 | North America
|       | Anarchy Reigns                                                           | Sega                                   | Xbox 360 | 2013 | North America
|       | Angry Birds Star Wars                                                    | Activision                             | Xbox 360 | 2013 | North America
|       | Angry Birds Trilogy                                                      | Activision                             | Xbox 360 | 2012 | North America
|       | Apache: Air Assault                                                      | Activision                             | Xbox 360 | 2010 | North America
|       | Arcania: Gothic 4                                                        | JoWooD Entertainment AG                | Xbox 360 | 2010 | North America
|       | Arcania: The Complete Tale                                               | Nordic Games Publishing                | Xbox 360 | 2013 | North America
|       | Are You Smarter than a 5th Grader? Game Time                             | THQ                                    | Xbox 360 | 2009 | North America
|       | Armored Core 4                                                           | Sega                                   | Xbox 360 | 2007 | North America
|       | Armored Core V                                                           | Namco Bandai Games America             | Xbox 360 | 2012 | North America
|       | Armored Core: For Answer                                                 | Ubisoft                                | Xbox 360 | 2008 | North America
|       | Armored Core: Verdict Day                                                | Namco Bandai Games America             | Xbox 360 | 2013 | North America
|       | Army of Two                                                              | EA Games                               | Xbox 360 | 2008 | North America
|       | Army of Two: The 40th Day                                                | Electronic Arts                        | Xbox 360 | 2010 | North America
|       | Army of Two: The Devil's Cartel                                          | Electronic Arts                        | Xbox 360 | 2013 | North America
|       | Assassin's Creed                                                         | Ubisoft                                | Xbox 360 | 2007 | North America
|       | Assassin's Creed II                                                      | Ubisoft                                | Xbox 360 | 2009 | North America
|       | Assassin's Creed III                                                     | Ubisoft                                | Xbox 360 | 2012 | North America
|       | Assassin's Creed IV: Black Flag                                          | Ubisoft                                | Xbox 360 | 2013 | North America
|       | Assassin's Creed Rogue                                                   | Ubisoft                                | Xbox 360 | 2014 | North America
|       | Assassin's Creed: Brotherhood                                            | Ubisoft                                | Xbox 360 | 2010 | North America
|       | Assassin's Creed: Ezio Trilogy                                           | Ubisoft                                | Xbox 360 | 2013 | North America
|       | Assassin's Creed: Revelations                                            | Ubisoft                                | Xbox 360 | 2011 | North America
|       | Assassin's Creed: The Americas Collection                                | Ubisoft                                | Xbox 360 | 2014 | North America
|       | Asura's Wrath                                                            | Capcom                                 | Xbox 360 | 2012 | North America
|       | Attack of the Movies 3D                                                  | Majesco Games                          | Xbox 360 | 2010 | North America
|       | Autobahn Polizei                                                         | Conspiracy Entertainment               | Xbox 360 | 2010 | North America
|       | Avatar: The Last Airbender - The Burning Earth                           | THQ                                    | Xbox 360 | 2007 | North America
|       | Back to the Future: The Game                                             | Telltale Games                         | Xbox 360 | 2015 | North America
|       | Backbreaker                                                              | 505 Games                              | Xbox 360 | 2010 | North America
|       | Backyard Football '10                                                    | Atari SA                               | Xbox 360 | 2009 | North America
|       | Backyard Football 2010                                                   | Atari                                  | Xbox 360 | 2009 | North America
|       | Backyard Sports: Rookie Rush                                             | Atari                                  | Xbox 360 | 2010 | North America
|       | Backyard Sports: Sandlot Sluggers                                        | Atari                                  | Xbox 360 | 2010 | North America
|       | Baja: Edge of Control                                                    | THQ                                    | Xbox 360 | 2008 | North America
|       | Bakugan Battle Brawlers                                                  | Activision                             | Xbox 360 | 2009 | North America
|       | Bakugan: Defenders of the Core                                           | Activision                             | Xbox 360 | 2010 | North America
|       | Band Hero                                                                | Activision                             | Xbox 360 | 2009 | North America
|       | Bandfuse: Rock Legends                                                   | Mastiff                                | Xbox 360 | 2013 | North America
|       | Banjo-Kazooie: Nuts & Bolts                                              | Microsoft Game Studios                 | Xbox 360 | 2008 | North America
|       | Banjo-Kazooie: Nuts & Bolts / Viva Pinata                                | Microsoft Game Studios                 | Xbox 360 | 2013 | North America
|       | Barbie and Her Sisters: Puppy Rescue                                     | Little Orbit                           | Xbox 360 | 2015 | North America
|       | Bass Pro Shops: The Hunt                                                 | Griffin International                  | Xbox 360 | 2010 | North America
|       | Bass Pro Shops: The Strike                                               | XS Games                               | Xbox 360 | 2009 | North America
|       | Batman: Arkham Asylum                                                    | Eidos Interactive                      | Xbox 360 | 2009 | North America
|       | Batman: Arkham Asylum                                                    | Eidos Interactive                      | Xbox 360 | 2009 | North America
