|       | Advanced Dungeons & Dragons: Lost Dungeon                                                              | T&E Soft                      | 3DO Interactive Multiplayer | 1995 | Japan
|       | AI Shogi                                                                                               | Taito Corporation             | 3DO Interactive Multiplayer | 1995 | Japan
|       | Akagi: Touhaiden                                                                                       | Micronet                      | 3DO Interactive Multiplayer | 1996 | Japan
|       | Alone in the Dark                                                                                      | Pony Canyon                   | 3DO Interactive Multiplayer | 1994 | Japan
|       | Alone in the Dark 2                                                                                    | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Aqua World: Umibi Monogatari                                                                           | Mizuki                        | 3DO Interactive Multiplayer | 1995 | Japan
|       | AutoBahn Tokio                                                                                         | Sanyei Shobou                 | 3DO Interactive Multiplayer | 1995 | Japan
|       | Bakushou!! All Yoshimoto Quiz-Ou Ketteisen                                                             | Yoshimoto Kogyo               | 3DO Interactive Multiplayer | 1995 | Japan
|       | Ballz: The Director's Cut                                                                              | BMG Interactive Entertainment | 3DO Interactive Multiplayer | 1995 | Japan
|       | Battery Navi                                                                                           | Dai Nippon Printing           | 3DO Interactive Multiplayer | 1995 | Japan
|       | Battle Chess                                                                                           | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1994 | Japan
|       | Battle Pinball                                                                                         | Nippon Data Works             | 3DO Interactive Multiplayer | 1994 | Japan
|       | Belzerion                                                                                              | Human Entertainment           | 3DO Interactive Multiplayer | 1994 | Japan
|       | Bishoujo Senshi Sailor Moon S                                                                          | Bandai                        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Blade Force                                                                                            | 3DO                           | 3DO Interactive Multiplayer | 1995 | Japan
|       | Blood Angels                                                                                           | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Blue Forest Story: Kaze no Fuuin                                                                       | Right Stuff                   | 3DO Interactive Multiplayer | 1996 | Japan
|       | Bodyconscious Digital Rave! Part 1: Shinjuku & Takashi                                                 | Transpegasus Limited          | 3DO Interactive Multiplayer | 1994 | Japan
|       | Bonogurashi                                                                                            | Amuse                         | 3DO Interactive Multiplayer | 1995 | Japan
|       | Burning Soldier                                                                                        | Pack-In-Video                 | 3DO Interactive Multiplayer | 1994 | Japan
|       | Captain Quazar                                                                                         | 3DO                           | 3DO Interactive Multiplayer | 1996 | Japan
|       | Chiki Chiki Machine Mou Race                                                                           | Future Pirates                | 3DO Interactive Multiplayer | 1994 | Japan
|       | Chiki Chiki Machine Mou Race 2: In Space                                                               | Future Pirates                | 3DO Interactive Multiplayer | 1995 | Japan
|       | Chizu Monogatari: Sono 1                                                                               | Ariadne                       | 3DO Interactive Multiplayer | 1995 | Japan
|       | Corpse Killer                                                                                          | Acclaim Japan                 | 3DO Interactive Multiplayer | 1995 | Japan
|       | Crash 'N Burn                                                                                          | Crystal Dynamics              | 3DO Interactive Multiplayer | 1994 | Japan
|       | Crayon Shin-Chan: Puzzle Daimaou no Nazo                                                               | Bandai                        | 3DO Interactive Multiplayer | 1995 | Japan
|       | Cyberia                                                                                                | Electronic Arts Victor        | 3DO Interactive Multiplayer | 1996 | Japan
