|       | 3 Choume no Tama: Tama and Friends - 3 Choume Obake Panic!!          | B-AI                         | Game Boy | 1994 | Japan
|       | 3-Fun Yosou Umaban Club                                              | Hect                         | Game Boy | 1992 | Japan
|       | 4-in-1 Fun Pak                                                       | Imagineer                    | Game Boy | 1992 | Japan
|       | 99 Nendohan: Eitango Center 1500                                     | Imagineer                    | Game Boy | 1998 | Japan
|       | Aa Harimanada                                                        | ASK                          | Game Boy | 1993 | Japan
|       | Addams Family, The                                                   | Misawa                       | Game Boy | 1992 | Japan
|       | Aerostar                                                             | Vic Tokai                    | Game Boy | 1991 | Japan
|       | After Burst                                                          | NCS                          | Game Boy | 1990 | Japan
|       | Akazukin ChaCha                                                      | Tomy Corporation             | Game Boy | 1995 | Japan
|       | Akumajou Dracula: Shikkoku Taru Zensoukyoku                          | Konami                       | Game Boy | 1997 | Japan
|       | Akumajou Special: Boku Dracula-Kun                                   | Konami                       | Game Boy | 1993 | Japan
|       | Alfred Chicken                                                       | SunSoft                      | Game Boy | 1995 | Japan
|       | Alien 3                                                              | Acclaim Japan                | Game Boy | 1993 | Japan
|       | Alien vs. Predator                                                   | ASK                          | Game Boy | 1993 | Japan
|       | Alleyway                                                             | Nintendo                     | Game Boy | 1989 | Japan
|       | Altered Space: A 3-D Alien Adventure                                 | Epic/Sony Records            | Game Boy | 1991 | Japan
|       | America Oudan Ultra-Quiz                                             | Tomy Corporation             | Game Boy | 1990 | Japan
|       | America Oudan Ultra-Quiz Part 2                                      | Tomy Corporation             | Game Boy | 1991 | Japan
|       | America Oudan Ultra-Quiz Part 3                                      | Tomy Corporation             | Game Boy | 1992 | Japan
|       | America Oudan Ultra-Quiz Part 4                                      | Tomy Corporation             | Game Boy | 1993 | Japan
|       | Animal Breeder                                                       | J-Wing                       | Game Boy | 1997 | Japan
|       | Animal Breeder 2                                                     | J-Wing                       | Game Boy | 1998 | Japan
|       | Another Bible                                                        | ATLUS                        | Game Boy | 1995 | Japan
|       | Aoki Densetsu Shoot!                                                 | Banpresto                    | Game Boy | 1995 | Japan
|       | Aretha                                                               | Yanoman                      | Game Boy | 1990 | Japan
|       | Aretha II                                                            | Yanoman                      | Game Boy | 1991 | Japan
|       | Aretha III                                                           | Yanoman                      | Game Boy | 1992 | Japan
|       | Asmik-kun World 2                                                    | Asmik Ace Entertainment, Inc | Game Boy | 1991 | Japan
