|       | 4-in-1 Fun Pak                                                 | Interplay                    | Game Boy | 1992 | Europe
|       | 4-in-1 Funpak: Volume II                                       | Interplay                    | Game Boy | 1993 | Europe
|       | Addams Family, The                                             | Ocean                        | Game Boy | 1992 | Europe
|       | Addams Family: Pugsley's Scavenger Hunt, The                   | Ocean                        | Game Boy | 1993 | Europe
|       | Adventure Island                                               | Hudson                       | Game Boy | 1992 | Europe
|       | Adventure Island II                                            | Hudson                       | Game Boy | 1993 | Europe
|       | Adventures of Lolo                                             | Nintendo                     | Game Boy | 1995 | Europe
|       | Adventures Of Star Saver, The                                  | Taito Corporation            | Game Boy | 1992 | Europe
|       | Aerostar                                                       | Vic Tokai                    | Game Boy | 1991 | Europe
|       | Alfred Chicken                                                 | Mindscape                    | Game Boy | 1993 | Europe
|       | Alien 3                                                        | LJN Ltd.                     | Game Boy | 1993 | Europe
|       | Alien Olympics                                                 | Ocean                        | Game Boy | 1994 | Europe
|       | Alleyway                                                       | Nintendo                     | Game Boy | 1990 | Europe
|       | Altered Space: A 3-D Alien Adventure                           | Hi-Tech                      | Game Boy | 1991 | Europe
|       | Amazing Penguin                                                | Natsume                      | Game Boy | 1991 | Europe
|       | Amazing Spider-Man 2, The                                      | LJN Ltd.                     | Game Boy | 1992 | Europe
|       | Amazing Spider-Man, The                                        | Nintendo                     | Game Boy | 1990 | Europe
|       | Animaniacs                                                     | Konami                       | Game Boy | 1995 | Europe
|       | Arcade Classic No. 1: Asteroids / Missile Command              | Nintendo                     | Game Boy | 1995 | Europe
|       | Arcade Classic No. 2: Centipede / Millipede                    | Nintendo                     | Game Boy | 1995 | Europe
|       | Arcade Classic No. 3: Galaga / Galaxian                        | Nintendo                     | Game Boy | 1995 | Europe
|       | Arcade Classic No. 4: Defender / Joust                         | Nintendo                     | Game Boy | 1995 | Europe
|       | Arcade Classics: Super Breakout / Battlezone                   | Black Pearl                  | Game Boy | 1996 | Europe
|       | Asterix                                                        | Infogrames                   | Game Boy | 1993 | Europe
|       | Asterix & Obelix                                               | Infogrames                   | Game Boy | 1995 | Europe
|       | Asteroids                                                      | Accolade                     | Game Boy | 1992 | Europe
|       | Attack of the Killer Tomatoes                                  | Nintendo                     | Game Boy | 1992 | Europe
|       | Avenging Spirit                                                | Jaleco Entertainment         | Game Boy | 1992 | Europe
|       | B.C. Kid                                                       | Hudson                       | Game Boy | 1992 | Europe
|       | B.C. Kid 2                                                     | Hudson                       | Game Boy | 1994 | Europe
|       | Baby T-Rex                                                     | Laser Beam Entertainment     | Game Boy | 1993 | Europe
|       | Balloon Kid                                                    | Nintendo                     | Game Boy | 1991 | Europe
|       | Barbie Game Girl                                               | Hi Tech Expressions          | Game Boy | 1992 | Europe
|       | Bart Simpson's Escape From Camp Deadly                         | Acclaim                      | Game Boy | 1993 | Europe
|       | Baseball                                                       | Nintendo                     | Game Boy | 1990 | Europe
|       | Batman                                                         | SunSoft                      | Game Boy | 1990 | Europe
|       | Batman Forever                                                 | Acclaim                      | Game Boy | 1995 | Europe
|       | Batman: Return of the Joker                                    | SunSoft                      | Game Boy | 1992 | Europe
|       | Batman: The Animated Series                                    | Konami                       | Game Boy | 1993 | Europe
|       | Battle Arena Toshinden                                         | Takara                       | Game Boy | 1996 | Europe
|       | Battle of Olympus, The                                         | Imagineer                    | Game Boy | 1993 | Europe
|       | Battle Unit Zeoth                                              | Jaleco Entertainment         | Game Boy | 1991 | Europe
|       | Battleship                                                     | Mindscape                    | Game Boy | 1992 | Europe
|       | Battletoads                                                    | Tradewest                    | Game Boy | 1993 | Europe
|       | Battletoads / Double Dragon                                    | Sony Imagesoft               | Game Boy | 1993 | Europe
|       | Battletoads in Ragnarok's World                                | Tradewest                    | Game Boy | 1993 | Europe
|       | Beavis and Butt-Head                                           | GT Interactive               | Game Boy | 1998 | Europe
|       | Beethoven: The Ultimate Canine Caper                           | Hi Tech Expressions          | Game Boy | 1994 | Europe
|       | Best of the Best: Championship Karate                          | Loriciels                    | Game Boy | 1992 | Europe
|       | Bill & Ted's Excellent Game Boy Adventure                      | LJN Ltd.                     | Game Boy | 1991 | Europe
|       | Bionic Commando                                                | Capcom                       | Game Boy | 1992 | Europe
|       | Blades of Steel                                                | Palcom                       | Game Boy | 1991 | Europe
|       | Blaster Master Jr.                                             | SunSoft                      | Game Boy | 1991 | Europe
|       | Blues Brothers, The                                            | Titus Software               | Game Boy | 1993 | Europe
|       | Blues Brothers: Jukebox Adventure, The                         | Titus Software               | Game Boy | 1994 | Europe
|       | Bomb Jack                                                      | Infogrames                   | Game Boy | 1992 | Europe
|       | Bomberman GB                                                   | Nintendo                     | Game Boy | 1998 | Europe
|       | Boulder Dash                                                   | Nintendo                     | Game Boy | 1990 | Europe
|       | Boxxle                                                         | FCI, Inc.                    | Game Boy | 1990 | Europe
|       | Brain Bender                                                   | Gremlin Interactive          | Game Boy | 1991 | Europe
|       | Brain Drain                                                    | Bandai                       | Game Boy | 1998 | Europe
