|       | 007: Everything or Nothing                                                                        | Electronic Arts              | Game Boy Advance | 2004 | Japan
|       | 2 Games In 1: Sonic Advance & ChuChu Rocket!                                                      | Sega                         | Game Boy Advance | 2006 | Japan
|       | Acrobat Kid                                                                                       | Metro3D                      | Game Boy Advance | 2002 | Japan
|       | Advance GTA                                                                                       | MTO                          | Game Boy Advance | 2001 | Japan
|       | Advance GTA 2                                                                                     | Kotobuki Systems             | Game Boy Advance | 2002 | Japan
|       | Advance Guardian Heroes                                                                           | Treasure                     | Game Boy Advance | 2004 | Japan
|       | Advance Rally                                                                                     | MTO                          | Game Boy Advance | 2001 | Japan
|       | Adventure of Tokyo Disney Sea                                                                     | Konami                       | Game Boy Advance | 2001 | Japan
|       | AirForce Delta II                                                                                 | Konami                       | Game Boy Advance | 2002 | Japan
|       | Aka-Chan Doubutsu Sono                                                                            | TDK Core                     | Game Boy Advance | 2004 | Japan
|       | Akumajou Dracula: Circle of the Moon                                                              | Konami                       | Game Boy Advance | 2001 | Japan
|       | Aleck Bordon Adventure: Tower & Shaft Advance                                                     | Aruze Corp                   | Game Boy Advance | 2004 | Japan
|       | Angel Collection 2: Pichimo ni Narou                                                              | MTO                          | Game Boy Advance | 2004 | Japan
|       | Angel Collection: Mezase! Gakuen no Fashion Leader                                                | MTO                          | Game Boy Advance | 2003 | Japan
|       | Angelique                                                                                         | Koei                         | Game Boy Advance | 2002 | Japan
|       | Animal Mania: DokiDoki Aishou Check                                                               | Konami                       | Game Boy Advance | 2002 | Japan
|       | Animal Yokochou: Doki Doki Kyuushutsu Daisakusen! no Maki                                         | Konami                       | Game Boy Advance | 2005 | Japan
|       | Animal Yokochou: Doki*Doki Shinkyuu Shiken! no Kan                                                | Konami                       | Game Boy Advance | 2006 | Japan
|       | Ao Zora to Nakama Tachi: Yume no Bouken                                                           | MTO                          | Game Boy Advance | 2002 | Japan
|       | Ashita no Joe: Masseki ni Moe Agare!                                                              | Konami                       | Game Boy Advance | 2003 | Japan
|       | Astro Boy: Tetsuwan Atom - Atom Heart no Himitsu                                                  | Sega                         | Game Boy Advance | 2003 | Japan
|       | Azumanga Daioh Advance                                                                            | King Records                 | Game Boy Advance | 2003 | Japan
|       | B-Densetsu! Battle B-Daman Honoo Tamashii                                                         | ATLUS                        | Game Boy Advance | 2005 | Japan
|       | B-Legend! Battle B-Daman: Moero! B-Damashi!!                                                      | ATLUS                        | Game Boy Advance | 2004 | Japan
|       | Bakunetsu Dodge Ball Fighters                                                                     | ATLUS                        | Game Boy Advance | 2001 | Japan
|       | Bakuten Shoot Beyblade 2002: Gekisen! Team Battle!! Kouryuu no Shou - Daichi Version              | Broccoli                     | Game Boy Advance | 2002 | Japan
|       | Bakuten Shoot Beyblade 2002: Ikuze! Gekitou! Chou Jiryoku Battle!!                                | Broccoli                     | Game Boy Advance | 2002 | Japan
|       | Bakuten Shoot Beyblade: Gekitou! Saikyou Blade                                                    | Broccoli                     | Game Boy Advance | 2001 | Japan
|       | Bass Tsuri Shiyouze!: Tournament wa Senryaku da!                                                  | Konami                       | Game Boy Advance | 2002 | Japan
|       | Battle Network RockMan EXE                                                                        | Capcom                       | Game Boy Advance | 2001 | Japan
|       | Battle Network RockMan EXE 2                                                                      | Capcom                       | Game Boy Advance | 2001 | Japan
|       | Battle Network RockMan EXE 3                                                                      | Capcom                       | Game Boy Advance | 2002 | Japan
|       | Battle Network RockMan EXE 3 Black                                                                | Capcom                       | Game Boy Advance | 2003 | Japan
|       | Battle x Battle: Kyoudai Uo Densetsu                                                              | Starfish                     | Game Boy Advance | 2003 | Japan
|       | BB Ball                                                                                           | Micott & Basara              | Game Boy Advance | 2004 | Japan
|       | Beast Shooter: Mezase Beast King                                                                  | Konami                       | Game Boy Advance | 2002 | Japan
