|       | 007: Everything or Nothing                                                                               | EA Games                               | Game Boy Advance | 2003 | Europe
|       | 007: NightFire                                                                                           | Electronic Arts                        | Game Boy Advance | 2003 | Europe
|       | 2 Games In 1: Disney Princess + Disney's The Lion King                                                   | THQ                                    | Game Boy Advance | 2004 | Europe
|       | 2 Games In 1: Disney's Baren Bruder + Disney's Konig der Lowen                                           | THQ                                    | Game Boy Advance | 2005 | Europe
|       | 2 Games In 1: Disney's Brother Bear / Disney Princess                                                    | THQ                                    | Game Boy Advance | 2005 | Europe
|       | 2 Games in 1: Finding Nemo / Monsters, Inc.                                                              | THQ                                    | Game Boy Advance | 2004 | Europe
|       | 2 Games In 1: Finding Nemo / The Incredibles                                                             | THQ                                    | Game Boy Advance | 2007 | Europe
|       | 2 Games in 1: GT Advance 3: Pro Concept Racing + MotoGP                                                  | THQ                                    | Game Boy Advance | 2004 | Europe
|       | 2 Games In 1: LEGO Knights' Kingdom + LEGO Bionicle                                                      | THQ                                    | Game Boy Advance | 2005 | Europe
|       | 2 Games in 1: Scooby-Doo and the Cyber Chase + Scooby-Doo! Mystery Mayhem                                | THQ                                    | Game Boy Advance | 2005 | Europe
|       | 2 Games in 1: Sonic Advance + Sonic Battle                                                               | THQ                                    | Game Boy Advance | 2005 | Europe
|       | 2 Games in 1: Sonic Advance + Sonic Pinball Party                                                        | Sega                                   | Game Boy Advance | 2005 | Europe
|       | 2 Games In 1: Sonic Pinball Party / Columns Crown                                                        | Sega                                   | Game Boy Advance | 2006 | Europe
|       | 2 Games In 1: Sonic Pinball Party + Sonic Battle                                                         | Sega                                   | Game Boy Advance | 2005 | Europe
|       | 2 Games In 1: SpongeBob SquarePants: SuperSponge / Revenge of the Flying Dutchman                        | THQ                                    | Game Boy Advance | 2004 | Europe
|       | 2 Games In 1: SpongeBob SquarePants: SuperSponge / Rugrats Go Wild                                       | THQ                                    | Game Boy Advance | 2004 | Europe
|       | 2 Games In 1: The SpongeBob SquarePants Movie / SpongeBob SquarePants and Friends in Freeze Frame Frenzy | THQ                                    | Game Boy Advance | 2005 | Europe
|       | 2 In 1 Game Pack: Shrek 2 / Shark Tale                                                                   | Activision                             | Game Boy Advance | 2005 | Europe
|       | 2 In 1 Game Pack: Spider-Man / Spider-Man 2                                                              | Activision                             | Game Boy Advance | 2005 | Europe
|       | 2 In 1: Asterix & Obelix Jetzt Geht's Rund! + Asterix & Obelix XXL                                       | Atari SA                               | Game Boy Advance | 2005 | Europe
|       | 2 Jeux En 1: Titeuf: Ze Gag Machine / Titeuf: Mega Compet                                                | Atari SA                               | Game Boy Advance | 2005 | Europe
|       | 3 Games in 1: Tak and the Power of Juju / SpongeBob SquarePants: SuperSponge / Rugrats: I Gotta Go Party | THQ                                    | Game Boy Advance | 2005 | Europe
|       | A Sound of Thunder                                                                                       | Bam Entertainment                      | Game Boy Advance | 2004 | Europe
|       | Ace Combat Advance                                                                                       | Atari SA                               | Game Boy Advance | 2006 | Europe
|       | Ace Lightning                                                                                            | BBC Multimedia                         | Game Boy Advance | 2002 | Europe
|       | Action Man: Robot Atak                                                                                   | Atari SA                               | Game Boy Advance | 2004 | Europe
|       | Advance Guardian Heroes                                                                                  | Ubisoft                                | Game Boy Advance | 2005 | Europe
|       | Advance Wars                                                                                             | Nintendo                               | Game Boy Advance | 2002 | Europe
|       | Advance Wars 2: Black Hole Rising                                                                        | Nintendo                               | Game Boy Advance | 2003 | Europe
|       | Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron, The                                           | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies, The                                      | THQ                                    | Game Boy Advance | 2005 | Europe
|       | Adventures of Jimmy Neutron Boy Genius: Jet Fusion, The                                                  | THQ                                    | Game Boy Advance | 2003 | Europe
|       | Aero the Acro-bat                                                                                        | Zoo Digital Publishing                 | Game Boy Advance | 2003 | Europe
|       | Agassi Tennis Generation 2002                                                                            | Cryo Interactive                       | Game Boy Advance | 2003 | Europe
