|       | AirForce Delta                                                       | Konami                       | Game Boy Color | 2000 | Japan
|       | Animal Breeder 3                                                     | J-Wing                       | Game Boy Color | 1999 | Japan
|       | Animal Breeder 4                                                     | J-Wing                       | Game Boy Color | 2001 | Japan
|       | Animastar GB                                                         | Media Factory                | Game Boy Color | 2001 | Japan
|       | AquaLife                                                             | Tamsoft                      | Game Boy Color | 1999 | Japan
|       | Arle no Bouken: Mahou no Jewel                                       | Compile                      | Game Boy Color | 2000 | Japan
|       | Azarashi Sentai Inazuma: Doki Doki Daisakusen                        | Omega Micott                 | Game Boy Color | 2002 | Japan
|       | B-Daman Baku Gaiden V: Final Mega Tune                               | Media Factory                | Game Boy Color | 2000 | Japan
|       | B-Daman Baku Gaiden: Victory e no Michi                              | Media Factory                | Game Boy Color | 1999 | Japan
|       | Backgammon                                                           | Altron                       | Game Boy Color | 1999 | Japan
|       | Bad Batsumaru: Robo Battle                                           | Imagineer                    | Game Boy Color | 2001 | Japan
|       | Bakukyuu Renpatsu!! Super B-Daman Gekitan! Rising Valkyrie!          | Takara                       | Game Boy Color | 2000 | Japan
|       | Bakusou Dekotora Densetsu GB Special: Otoko Dokyou no Tenka Touitsu  | Kid                          | Game Boy Color | 2000 | Japan
|       | Bakusou Senki Metal Walker GB: Kotetsu no Yuujou                     | Capcom                       | Game Boy Color | 1999 | Japan
|       | Bakuten Shoot Beyblade                                               | Broccoli                     | Game Boy Color | 2001 | Japan
|       | Balloon Fight GB                                                     | Nintendo                     | Game Boy Color | 2000 | Japan
|       | Barcode Taisen Bardigun                                              | Tamsoft                      | Game Boy Color | 1998 | Japan
|       | BeatMania GB                                                         | Konami                       | Game Boy Color | 1999 | Japan
|       | BeatMania GB Gotcha Mix 2                                            | Konami                       | Game Boy Color | 2000 | Japan
|       | BeatMania GB2 GotchaMix                                              | Konami                       | Game Boy Color | 1999 | Japan
|       | BeyBlade: Fighting Tournament                                        | Hudson                       | Game Boy Color | 2000 | Japan
|       | Bikkuriman 2000 Charging Card GB                                     | Imagineer                    | Game Boy Color | 2000 | Japan
|       | BioHazard Gaiden                                                     | Capcom                       | Game Boy Color | 2002 | Japan
|       | Black Onyx, The                                                      | Taito Corporation            | Game Boy Color | 2001 | Japan
|       | Boku no Camp Ba                                                      | Naxat Soft                   | Game Boy Color | 2000 | Japan
|       | Bokujou Monogatari GB2                                               | Victor Interactive Software  | Game Boy Color | 1999 | Japan
|       | Bokujou Monogatari GB3: Boy Meets Girl                               | Victor Interactive Software  | Game Boy Color | 2000 | Japan
|       | Bomberman Max: Hikari no Yuusha                                      | Hudson                       | Game Boy Color | 1999 | Japan
|       | Bomberman Max: Yami no Senshi                                        | Hudson                       | Game Boy Color | 1999 | Japan
|       | Bomberman Quest                                                      | Hudson                       | Game Boy Color | 1998 | Japan
|       | Bouken! Dondoko Shima                                                | Global A                     | Game Boy Color | 2002 | Japan
|       | Brave Saga Shinshou Astaria                                          | Takara                       | Game Boy Color | 2001 | Japan
|       | Bugs Bunny In Crazy Castle 4                                         | Kotobuki Systems             | Game Boy Color | 2000 | Japan
|       | Bugs Bunny: Crazy Castle 3                                           | Kotobuki Systems             | Game Boy Color | 1999 | Japan
|       | Burai Fighter Color                                                  | Kid                          | Game Boy Color | 1999 | Japan
|       | Burger Burger Pocket: Hamburger Simulation                           | Gaps                         | Game Boy Color | 1999 | Japan
|       | Burger Paradise International                                        | Gaps                         | Game Boy Color | 2000 | Japan
|       | Card Captor Sakura: Itsumo Sakura-chan to Issho!                     | MTO                          | Game Boy Color | 1999 | Japan
|       | Card Captor Sakura: Tomoe Shougakkou Daiundoukai                     | MTO                          | Game Boy Color | 2000 | Japan
|       | Card Hero: Trading & Battle                                          | Nintendo                     | Game Boy Color | 2000 | Japan
|       | Checkmate                                                            | Altron                       | Game Boy Color | 1999 | Japan
|       | Chee-Chai Alien                                                      | Creatures Inc.               | Game Boy Color | 2001 | Japan
|       | Chi to Ase to Namida no Koukou Yakyuu                                | J-Wing                       | Game Boy Color | 2000 | Japan
|       | Chibi Maruko-Chan: Go Chounai Minna de Game Dayo!                    | Epoch                        | Game Boy Color | 2001 | Japan
|       | Chiki Chiki Machine Mou Race                                         | Syscom                       | Game Boy Color | 2001 | Japan
|       | Choro-Q Hyper GB                                                     | Takara                       | Game Boy Color | 1999 | Japan
|       | Chou Gals! Kotobuki Ran 2                                            | Konami                       | Game Boy Color | 2002 | Japan
|       | Columns GB: Tezuka Osamu Characters                                  | Media Factory                | Game Boy Color | 1999 | Japan
|       | Command Master                                                       | Enix Corporation             | Game Boy Color | 2000 | Japan
|       | Cross Hunter                                                         | NetVillage                   | Game Boy Color | 2001 | Japan
|       | Cyborg Kuro-chan 2: White Woods no Gyakushuu                         | Konami                       | Game Boy Color | 2000 | Japan
|       | Cyborg Kuro-Chan: Devil Fukkatsu!!                                   | Konami                       | Game Boy Color | 2000 | Japan
|       | Daa! Daa! Daa! Totsuzen * Card de Battle de Uranai!?                 | Video System                 | Game Boy Color | 2000 | Japan
|       | Daffy Duck: Subette Koronde Ookanemochi                              | SunSoft                      | Game Boy Color | 2000 | Japan
|       | Daikaijyuu Monogatari: The Miracle of the Zone II                    | Hudson                       | Game Boy Color | 1999 | Japan
|       | Daiku no Gen-san: Kachikachi no Tonkachi ga Kachi                    | Gaps                         | Game Boy Color | 2000 | Japan
|       | Dance Dance Revolution GB                                            | Konami                       | Game Boy Color | 2000 | Japan
|       | Dance Dance Revolution GB Disney Mix                                 | Konami                       | Game Boy Color | 2001 | Japan
|       | Dance Dance Revolution GB2                                           | Konami                       | Game Boy Color | 2000 | Japan
|       | Dance Dance Revolution GB3                                           | Konami                       | Game Boy Color | 2001 | Japan
|       | Dancing Furby                                                        | Tomy Corporation             | Game Boy Color | 1999 | Japan
|       | Data-Navi Pro Yakyuu                                                 | Media Group                  | Game Boy Color | 2000 | Japan
|       | Data-Navi Pro Yakyuu 2                                               | Now Production               | Game Boy Color | 2001 | Japan
|       | Dear Daniel no Sweet Adventure: Kitty-Chan o Sagashite               | Imagineer                    | Game Boy Color | 2000 | Japan
|       | Deja Vu I & II                                                       | Kotobuki Systems             | Game Boy Color | 1999 | Japan
|       | Dejiko no Mahjong Party                                              | King Records                 | Game Boy Color | 2000 | Japan
|       | Densha de Go!                                                        | CyberFront                   | Game Boy Color | 1999 | Japan
|       | Densha de Go! 2                                                      | CyberFront                   | Game Boy Color | 2000 | Japan
|       | Dino Breeder 3: Gaia Fukkatsu                                        | J-Wing                       | Game Boy Color | 1999 | Japan
|       | Dino Breeder 4                                                       | J-Wing                       | Game Boy Color | 2000 | Japan
|       | Disney's Donald Duck: Daisy o Tsukue!                                | Ubisoft                      | Game Boy Color | 2000 | Japan
|       | Disney's Tarzan                                                      | Syscom                       | Game Boy Color | 2000 | Japan
|       | Dokapon?! Millennium Quest                                           | Asmik Ace Entertainment, Inc | Game Boy Color | 2000 | Japan
|       | Doki Doki Densetsu: Mahoujin Guruguru                                | Enix Corporation             | Game Boy Color | 2000 | Japan
|       | DokiDoki Sasete!!                                                    | Victor Interactive Software  | Game Boy Color | 2001 | Japan
|       | Donkey Kong 2001                                                     | Nintendo                     | Game Boy Color | 2001 | Japan
|       | Donkey Kong GB: Dinky Kong & Dixie Kong                              | Nintendo                     | Game Boy Color | 2000 | Japan
|       | Doraemon Kart 2                                                      | Epoch                        | Game Boy Color | 1999 | Japan
|       | Doraemon Kimi to Pet no Monogatari                                   | Epoch                        | Game Boy Color | 2001 | Japan
|       | Doraemon Memories: Nobi Dai no Omoi Izaru Daibouken                  | Epoch                        | Game Boy Color | 2000 | Japan
|       | Doraemon no Quiz Boy                                                 | Shogakukan                   | Game Boy Color | 2000 | Japan
|       | Doraemon no Quiz Boy 2                                               | Epoch                        | Game Boy Color | 2002 | Japan
|       | Doraemon no Study Boy: Gakushuu Kanji Game                           | Epoch                        | Game Boy Color | 2001 | Japan
|       | Doraemon no Study Boy: Kanji Yomikaki Master                         | Epoch                        | Game Boy Color | 2003 | Japan
|       | Doraemon no Study Boy: Kuku Game                                     | Epoch                        | Game Boy Color | 2000 | Japan
|       | Doraemon: Aruke Aruke Labyrinth                                      | Epoch                        | Game Boy Color | 1999 | Japan
|       | Dr. Rin ni Kiitemite! Koi no Rin Fuusui                              | Hudson                       | Game Boy Color | 2002 | Japan
|       | Dragon Ball Z: Densetsu no Chousenshi Tachi                          | Banpresto                    | Game Boy Color | 2002 | Japan
|       | Dragon Quest I + II                                                  | Enix Corporation             | Game Boy Color | 1999 | Japan
|       | Dragon Quest III                                                     | Enix Corporation             | Game Boy Color | 2000 | Japan
|       | Dragon Quest Monsters 2: Malta no Fushigina Kagi - Iru no Bouken     | Enix Corporation             | Game Boy Color | 2001 | Japan
|       | Dragon Quest Monsters 2: Malta no Fushigina Kagi - Ruka no Tabidachi | Enix Corporation             | Game Boy Color | 2001 | Japan
|       | Dragon Quest Monsters: Terry no Wonderland                           | Enix Corporation             | Game Boy Color | 1998 | Japan
|       | DT: Lords of Genomes                                                 | Media Factory                | Game Boy Color | 2001 | Japan
|       | Dungeon Savior                                                       | J-Wing                       | Game Boy Color | 2000 | Japan
|       | DX Jinsei Game                                                       | Takara                       | Game Boy Color | 2001 | Japan
|       | DX Monopoly GB                                                       | Takara                       | Game Boy Color | 2000 | Japan
|       | Elemental Tale - Jack no Daibouken: Daimaou no Gyakushuu             | Imagineer                    | Game Boy Color | 2000 | Japan
|       | Elevator Action EX                                                   | Taito Corporation            | Game Boy Color | 2000 | Japan
|       | Elie no Atelier GB                                                   | Imagineer                    | Game Boy Color | 2000 | Japan
|       | Estpolis Denki: Yomigaeru Densetsu                                   | Taito Corporation            | Game Boy Color | 2001 | Japan
|       | F1 World Grand Prix II for Game Boy Color                            | Video System                 | Game Boy Color | 2000 | Japan
