|       | 1080 Snowboarding                                                 | Nintendo                     | Nintendo 64 | 1998 | Japan
|       | 64 de Hakken!  Tamagotchi Minna de Tamagotchi World               | Bandai                       | Nintendo 64 | 1997 | Japan
|       | 64 Hanafuda: Tenshi no Yakusoku                                   | Altron                       | Nintendo 64 | 1999 | Japan
|       | 64 Oozumou                                                        | Bottom Up                    | Nintendo 64 | 1997 | Japan
|       | 64 Oozumou 2                                                      | Bottom Up                    | Nintendo 64 | 1999 | Japan
|       | 64 Trump Collection: Alice no Waku Waku Trump World               | Bottom Up                    | Nintendo 64 | 1998 | Japan
|       | AeroGauge                                                         | ASK                          | Nintendo 64 | 1997 | Japan
|       | AI Shogi 3                                                        | ASCII Entertainment          | Nintendo 64 | 1998 | Japan
|       | AirBoarder 64                                                     | Human Entertainment          | Nintendo 64 | 1998 | Japan
|       | Akumajou Dracula Mokushiroku                                      | Konami                       | Nintendo 64 | 1999 | Japan
|       | Akumajou Dracula Mokushiroku Gaiden: Legend of Cornell            | Konami                       | Nintendo 64 | 1999 | Japan
|       | Automobili Lamborghini: Super Speed Race 64                       | Taito                        | Nintendo 64 | 1998 | Japan
|       | Baku Bomberman                                                    | Hudson                       | Nintendo 64 | 1997 | Japan
|       | Baku Bomberman 2                                                  | Hudson                       | Nintendo 64 | 1999 | Japan
|       | Bakuretsu Muteki Bangai-O                                         | ESP Software                 | Nintendo 64 | 1999 | Japan
|       | Bakushou Jinsei 64: Mezase! Resort Ou                             | Taito Corporation            | Nintendo 64 | 1998 | Japan
|       | Banjo to Kazooie no Daibouken                                     | Nintendo                     | Nintendo 64 | 1998 | Japan
|       | Banjo to Kazooie no Daibouken 2                                   | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Bass Rush: EcoGear PowerWorm Championship                         | Visco                        | Nintendo 64 | 2000 | Japan
|       | Beetle Adventure Racing                                           | Electronic Arts Victor       | Nintendo 64 | 1999 | Japan
|       | BioHazard 2                                                       | Capcom                       | Nintendo 64 | 2000 | Japan
|       | Blast Dozer                                                       | Nintendo                     | Nintendo 64 | 1997 | Japan
|       | Bokujou Monogatari 2                                              | Victor Interactive Software  | Nintendo 64 | 1999 | Japan
|       | Bomberman 64                                                      | Hudson                       | Nintendo 64 | 2001 | Japan
|       | Bomberman Hero: Milian Oujo o Sukue!                              | Hudson                       | Nintendo 64 | 1998 | Japan
|       | Buck Bumble                                                       | Ubisoft                      | Nintendo 64 | 1998 | Japan
|       | Chameleon Twist                                                   | Japan System Supply          | Nintendo 64 | 1997 | Japan
|       | Chameleon Twist 2                                                 | Japan System Supply          | Nintendo 64 | 1998 | Japan
|       | Choro Q 64                                                        | Takara                       | Nintendo 64 | 1998 | Japan
|       | Choro Q 64 2: Hacha Mecha Grand Prix Race                         | Takara                       | Nintendo 64 | 1999 | Japan
|       | Chou Snobow Kids                                                  | ATLUS                        | Nintendo 64 | 1999 | Japan
|       | Chou-Kuukan Night Pro Yakyuu King                                 | Imagineer                    | Nintendo 64 | 1996 | Japan
|       | Chou-Kuukan Night Pro Yakyuu King 2                               | Imagineer                    | Nintendo 64 | 1999 | Japan
|       | City Tour Grand Prix: Zenmoto GT Senshuken                        | Imagineer                    | Nintendo 64 | 1998 | Japan
|       | Custom Robo                                                       | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Custom Robo V2                                                    | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Dance Dance Revolution: Disney Dancing Museum                     | Konami                       | Nintendo 64 | 2000 | Japan
|       | Densha de Go! 64                                                  | Taito Corporation            | Nintendo 64 | 1999 | Japan
|       | Derby Stallion 64                                                 | Media Factory                | Nintendo 64 | 2001 | Japan
|       | Dezaemon 3D                                                       | Athena                       | Nintendo 64 | 1998 | Japan
|       | Diddy Kong Racing                                                 | Nintendo                     | Nintendo 64 | 1997 | Japan
|       | Donkey Kong 64                                                    | Nintendo                     | Nintendo 64 | 1999 | Japan
|       | Doom 64                                                           | GameBank                     | Nintendo 64 | 1997 | Japan
|       | Doraemon 2: Nobita to Hikari no Shinden                           | Epoch                        | Nintendo 64 | 1998 | Japan
|       | Doraemon 3: Nobita no Machi SOS!                                  | Epoch                        | Nintendo 64 | 2000 | Japan
|       | Doraemon: Nobita to 3 Tsu no Seireiseki                           | Epoch                        | Nintendo 64 | 1997 | Japan
|       | Doubutsu no Mori                                                  | Nintendo                     | Nintendo 64 | 2001 | Japan
|       | Dual Heroes                                                       | Hudson                       | Nintendo 64 | 1997 | Japan
|       | Eikou no St Andrews                                               | Seta Corporation             | Nintendo 64 | 1996 | Japan
|       | Eltale Monsters                                                   | Imagineer                    | Nintendo 64 | 1999 | Japan
|       | Excitebike 64                                                     | Nintendo                     | Nintendo 64 | 2000 | Japan
|       | Extreme-G                                                         | Acclaim Japan                | Nintendo 64 | 1998 | Japan
|       | Extreme-G XG2                                                     | Acclaim Japan                | Nintendo 64 | 1999 | Japan
|       | F-1 World Grand Prix                                              | Nintendo                     | Nintendo 64 | 1998 | Japan
|       | F-Zero X                                                          | Nintendo                     | Nintendo 64 | 1998 | Japan
|       | Famista 64                                                        | Namco                        | Nintendo 64 | 1997 | Japan
|       | FIFA: Road to World Cup 98 - World Cup e no Michi                 | Electronic Arts Victor       | Nintendo 64 | 1998 | Japan
|       | Fighting Cup                                                      | Imagineer                    | Nintendo 64 | 1998 | Japan
|       | Fushigi no Dungeon: Fuurai no Shiren 2 - Oni Shuurai! Shiren Jou! | ChunSoft                     | Nintendo 64 | 2000 | Japan
|       | G.A.S.P!!: Fighter's NEXTream                                     | Konami                       | Nintendo 64 | 1998 | Japan
|       | Ganbare Goemon: Derodero Douchu Obake Tenkomori                   | Konami                       | Nintendo 64 | 1998 | Japan
|       | Ganbare Goemon: Neo Momoyama Bakufu no Odori                      | Konami                       | Nintendo 64 | 1997 | Japan
|       | Ganbare! Nippon! Olympic 2000                                     | Konami                       | Nintendo 64 | 2000 | Japan
