|       | 1 vs. 100                                                               | DSI Games                              | Nintendo DS | 2008 | North America
|       | 100 All-Time Favorites                                                  | Ubisoft                                | Nintendo DS | 2009 | North America
|       | 100 Classic Books                                                       | Nintendo                               | Nintendo DS | 2010 | North America
|       | 1001 Touch Games                                                        | Maximum Family Games                   | Nintendo DS | 2011 | North America
|       | 101-in-1 Explosive Megamix                                              | ATLUS                                  | Nintendo DS | 2009 | North America
|       | 101-in-1 Sports Megamix                                                 | ATLUS                                  | Nintendo DS | 2010 | North America
|       | 18 Classic Card Games                                                   | Destineer                              | Nintendo DS | 2010 | North America
|       | 50 Classic Games                                                        | Destineer                              | Nintendo DS | 2010 | North America
|       | 50 More Classic Games                                                   | Destineer                              | Nintendo DS | 2011 | North America
|       | 7 Wonders II                                                            | Avanquest Software                     | Nintendo DS | 2010 | North America
|       | 7 Wonders of the Ancient World                                          | MumboJumbo                             | Nintendo DS | 2007 | North America
|       | A Witch's Tale                                                          | NIS America                            | Nintendo DS | 2009 | North America
|       | Ace Attorney Investigations: Miles Edgeworth                            | Capcom                                 | Nintendo DS | 2010 | North America
|       | Advance Wars: Days of Ruin                                              | Nintendo                               | Nintendo DS | 2008 | North America
|       | Advance Wars: Dual Strike                                               | Nintendo                               | Nintendo DS | 2005 | North America
|       | Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!             | D3Publisher                            | Nintendo DS | 2012 | North America
|       | Again: Interactive Crime Novel                                          | Tecmo                                  | Nintendo DS | 2010 | North America
|       | Agatha Christie: The ABC Murders                                        | DreamCatcher Interactive               | Nintendo DS | 2009 | North America
|       | Age of Empires: Mythologies                                             | THQ                                    | Nintendo DS | 2008 | North America
|       | Age of Empires: The Age of Kings                                        | Majesco Games                          | Nintendo DS | 2006 | North America
|       | Air Traffic Chaos                                                       | Majesco Games                          | Nintendo DS | 2008 | North America
|       | Alex Rider: Stormbreaker                                                | THQ                                    | Nintendo DS | 2006 | North America
|       | Alice in Wonderland                                                     | Disney Interactive Studios             | Nintendo DS | 2010 | North America
|       | Aliens in the Attic                                                     | Playlogic                              | Nintendo DS | 2009 | North America
|       | Aliens: Infestation                                                     | Sega                                   | Nintendo DS | 2011 | North America
|       | All Star Cheer Squad                                                    | THQ                                    | Nintendo DS | 2008 | North America
|       | Alpha and Omega                                                         | Storm City Games                       | Nintendo DS | 2010 | North America
|       | Alvin and the Chipmunks                                                 | Brash Entertainment                    | Nintendo DS | 2007 | North America
|       | Alvin and the Chipmunks: Chipwrecked                                    | Majesco Games                          | Nintendo DS | 2011 | North America
|       | Alvin and the Chipmunks: The Squeakquel                                 | Majesco Games                          | Nintendo DS | 2009 | North America
|       | Aly & AJ Adventure, The                                                 | DSI Games                              | Nintendo DS | 2007 | North America
|       | Amazing Adventures: The Forgotten Ruins                                 | PopCap                                 | Nintendo DS | 2008 | North America
|       | Amazing Spider-Man, The                                                 | Activision                             | Nintendo DS | 2012 | North America
