|       | !Shin Chan: Flipa en colores!                                                      | 505 Games                              | Nintendo DS | 2007 | Europe
|       | 007: Quantum of Solace                                                             | Activision                             | Nintendo DS | 2008 | Europe
|       | 100 Classic Book Collection                                                        | Nintendo                               | Nintendo DS | 2008 | Europe
|       | 100 Classic Games                                                                  | rondomedia                             | Nintendo DS | 2011 | Europe
|       | 1000 Cooking Recipes from Elle a Table                                             | Nintendo                               | Nintendo DS | 2010 | Europe
|       | 1001 Crosswords                                                                    | Mastertronic                           | Nintendo DS | 2012 | Europe
|       | 1001 Touch Games                                                                   | Avanquest Software                     | Nintendo DS | 2011 | Europe
|       | 101 Dino Pets                                                                      | Avanquest Software                     | Nintendo DS | 2009 | Europe
|       | 101-in-1 Explosive Megamix                                                         | Nordcurrent                            | Nintendo DS | 2008 | Europe
|       | 101-in-1 Sports Megamix                                                            | Nordcurrent                            | Nintendo DS | 2010 | Europe
|       | 18 Card Games                                                                      | rondomedia                             | Nintendo DS | 2010 | Europe
|       | 3 in 1: Solitaire, Mahjong & Tangram                                               | Deep Silver                            | Nintendo DS | 2010 | Europe
|       | 4 Elements                                                                         | Mastertronic                           | Nintendo DS | 2011 | Europe
|       | 4 Elements II                                                                      | Licensed 4U                            | Nintendo DS | 2012 | Europe
|       | 42 All-Time Classics                                                               | Nintendo                               | Nintendo DS | 2006 | Europe
|       | 50 Classic Games                                                                   | rondomedia                             | Nintendo DS | 2010 | Europe
|       | 7 Wonders II                                                                       | Avanquest Software                     | Nintendo DS | 2009 | Europe
|       | 7 Wonders of the Ancient World                                                     | Funsta                                 | Nintendo DS | 2008 | Europe
|       | 7 Wonders: Treasures of Seven                                                      | Avanquest Software                     | Nintendo DS | 2011 | Europe
|       | 8BallAllstars                                                                      | O-Games                                | Nintendo DS | 2009 | Europe
|       | Ace Attorney Investigations: Miles Edgeworth                                       | Capcom                                 | Nintendo DS | 2010 | Europe
|       | Actionloop                                                                         | Nintendo                               | Nintendo DS | 2007 | Europe
|       | Active Health with Carol Vorderman                                                 | Nintendo                               | Nintendo DS | 2009 | Europe
|       | Actua Pool                                                                         | Atari SA                               | Nintendo DS | 2007 | Europe
|       | Advance Wars: Dark Conflict                                                        | Nintendo                               | Nintendo DS | 2008 | Europe
|       | Advance Wars: Dual Strike                                                          | Nintendo                               | Nintendo DS | 2005 | Europe
|       | Agatha Christie: The ABC Murders                                                   | DreamCatcher Interactive               | Nintendo DS | 2009 | Europe
|       | Age of Empires: Mythologies                                                        | THQ                                    | Nintendo DS | 2009 | Europe
|       | Age of Empires: The Age of Kings                                                   | Majesco                                | Nintendo DS | 2006 | Europe
|       | Air Traffic Controller by DS                                                       | Ertain                                 | Nintendo DS | 2009 | Europe
|       | Alex Rider: Stormbreaker                                                           | THQ                                    | Nintendo DS | 2006 | Europe
|       | Alexandra Ledermann: Summer Camp Adventures                                        | Ubisoft                                | Nintendo DS | 2009 | Europe
|       | Alice in Wonderland                                                                | Disney Interactive Studios             | Nintendo DS | 2010 | Europe
|       | Aliens in the Attic                                                                | Playlogic                              | Nintendo DS | 2009 | Europe
|       | Aliens: Infestation                                                                | Sega                                   | Nintendo DS | 2011 | Europe
|       | All Star 5-A-Side Football                                                         | O-Games                                | Nintendo DS | 2010 | Europe
|       | All Star Cheerleader                                                               | THQ                                    | Nintendo DS | 2008 | Europe
|       | Allied Ace Pilots                                                                  | Ghostlight                             | Nintendo DS | 2009 | Europe
|       | Alpha and Omega                                                                    | Funbox Media                           | Nintendo DS | 2011 | Europe
|       | Alvin and the Chipmunks                                                            | Eidos Interactive                      | Nintendo DS | 2007 | Europe
|       | Alvin and the Chipmunks: Chipwrecked                                               | 505 Games                              | Nintendo DS | 2012 | Europe
|       | Alvin and the Chipmunks: The Squeakquel                                            | Majesco                                | Nintendo DS | 2009 | Europe
|       | Aly & AJ Adventure, The                                                            | Zoo Digital Publishing                 | Nintendo DS | 2008 | Europe
|       | Amazing Adventures: The Forgotten Ruins                                            | PopCap                                 | Nintendo DS | 2009 | Europe
|       | Amazing Spider-Man, The                                                            | Activision                             | Nintendo DS | 2012 | Europe
|       | America's Next Top Model                                                           | dtp Young Entertainment AG             | Nintendo DS | 2010 | Europe
|       | America's Next Top Model                                                           | dtp Young Entertainment AG             | Nintendo DS | 2008 | Europe
|       | AMF Bowling Pinbusters!                                                            | Vir2L Studios                          | Nintendo DS | 2008 | Europe
|       | Angel Cat Sugar                                                                    | Rising Star Games                      | Nintendo DS | 2009 | Europe
|       | Animal Crossing: Wild World                                                        | Nintendo                               | Nintendo DS | 2006 | Europe
|       | Animal Genius                                                                      | Ubisoft                                | Nintendo DS | 2008 | Europe
|       | Animal Kororo                                                                      | Rising Star Games                      | Nintendo DS | 2010 | Europe
|       | Animal Paradise                                                                    | Empire Interactive                     | Nintendo DS | 2007 | Europe
|       | Animal Planet: Vet Life                                                            | Activision                             | Nintendo DS | 2009 | Europe
|       | Animaniacs: Lights, Camera, Action!                                                | Ignition Entertainment                 | Nintendo DS | 2005 | Europe
|       | Ankh: Curse of the Scarab King                                                     | Xider Games                            | Nintendo DS | 2008 | Europe
|       | Anno 1701: Dawn of Discovery                                                       | Disney Interactive Studios             | Nintendo DS | 2007 | Europe
|       | Anno: Create a New World                                                           | Ubisoft                                | Nintendo DS | 2009 | Europe
|       | Another Code: Two Memories                                                         | Nintendo                               | Nintendo DS | 2005 | Europe
|       | Ant Nation                                                                         | Konami                                 | Nintendo DS | 2009 | Europe
|       | Apollo Justice: Ace Attorney                                                       | Capcom                                 | Nintendo DS | 2008 | Europe
