|       | 007: Everything or Nothing                                          | EA Games                               | Nintendo GameCube | 2004 | North America
|       | 007: NightFire                                                      | Electronic Arts                        | Nintendo GameCube | 2002 | North America
|       | 1080: Avalanche                                                     | Nintendo                               | Nintendo GameCube | 2003 | North America
|       | 18 Wheeler: American Pro Trucker                                    | Acclaim                                | Nintendo GameCube | 2002 | North America
|       | 2002 FIFA World Cup                                                 | EA Sports                              | Nintendo GameCube | 2002 | North America
|       | 4x4 EVO 2                                                           | VU Games                               | Nintendo GameCube | 2002 | North America
|       | Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies, The | THQ                                    | Nintendo GameCube | 2004 | North America
|       | Aggressive Inline                                                   | Acclaim                                | Nintendo GameCube | 2002 | North America
|       | Alien Hominid                                                       | O3 Entertainment                       | Nintendo GameCube | 2004 | North America
|       | All-Star Baseball 2002                                              | Acclaim                                | Nintendo GameCube | 2001 | North America
|       | All-Star Baseball 2003                                              | Acclaim                                | Nintendo GameCube | 2002 | North America
|       | All-Star Baseball 2004                                              | Acclaim                                | Nintendo GameCube | 2003 | North America
|       | Amazing Island                                                      | Sega                                   | Nintendo GameCube | 2004 | North America
|       | American Chopper 2: Full Throttle                                   | Activision Value                       | Nintendo GameCube | 2005 | North America
|       | Animal Crossing                                                     | Nintendo                               | Nintendo GameCube | 2002 | North America
|       | Animaniacs: The Great Edgar Hunt                                    | Ignition Entertainment                 | Nintendo GameCube | 2005 | North America
|       | Ant Bully, The                                                      | Midway                                 | Nintendo GameCube | 2006 | North America
|       | Aquaman: Battle for Atlantis                                        | TDK Mediactive                         | Nintendo GameCube | 2003 | North America
|       | Army Men: Air Combat - The Elite Missions                           | 3DO                                    | Nintendo GameCube | 2003 | North America
|       | Army Men: RTS                                                       | Global Star Software                   | Nintendo GameCube | 2004 | North America
|       | Army Men: Sarge's War                                               | Global Star Software                   | Nintendo GameCube | 2004 | North America
|       | ATV Quad Power Racing 2                                             | Acclaim                                | Nintendo GameCube | 2003 | North America
|       | Auto Modellista                                                     | Capcom                                 | Nintendo GameCube | 2003 | North America
|       | Avatar: The Last Airbender                                          | THQ                                    | Nintendo GameCube | 2006 | North America
|       | Backyard Baseball                                                   | Atari                                  | Nintendo GameCube | 2003 | North America
|       | Backyard Football                                                   | Atari                                  | Nintendo GameCube | 2002 | North America
|       | Backyard Sports Baseball 2007                                       | Atari                                  | Nintendo GameCube | 2007 | North America
|       | Bad Boys: Miami Takedown                                            | Empire Interactive                     | Nintendo GameCube | 2004 | North America
|       | Baldur's Gate: Dark Alliance                                        | Interplay                              | Nintendo GameCube | 2002 | North America
|       | Barnyard                                                            | THQ                                    | Nintendo GameCube | 2006 | North America
|       | Baten Kaitos Origins                                                | Nintendo                               | Nintendo GameCube | 2006 | North America
|       | Baten Kaitos: Eternal Wings and the Lost Ocean                      | Namco                                  | Nintendo GameCube | 2004 | North America
|       | Batman Begins                                                       | EA Games                               | Nintendo GameCube | 2005 | North America
|       | Batman: Dark Tomorrow                                               | Kemco                                  | Nintendo GameCube | 2003 | North America
|       | Batman: Rise of Sin Tzu                                             | Ubisoft                                | Nintendo GameCube | 2003 | North America
|       | Batman: Vengeance                                                   | Ubisoft                                | Nintendo GameCube | 2001 | North America
|       | Battalion Wars                                                      | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Beach Spikers: Virtua Beach Volleyball                              | Sega                                   | Nintendo GameCube | 2002 | North America
|       | BeyBlade VForce: Super Tournament Battle                            | Atari                                  | Nintendo GameCube | 2003 | North America
|       | Beyond Good & Evil                                                  | Ubisoft                                | Nintendo GameCube | 2003 | North America
|       | Big Air Freestyle                                                   | Atari                                  | Nintendo GameCube | 2002 | North America
|       | Big Mutha Truckers                                                  | Empire Interactive                     | Nintendo GameCube | 2003 | North America
|       | Billy Hatcher and the Giant Egg                                     | Sega                                   | Nintendo GameCube | 2003 | North America
|       | Bionicle                                                            | EA Games                               | Nintendo GameCube | 2003 | North America
|       | Bionicle Heroes                                                     | Eidos Interactive                      | Nintendo GameCube | 2006 | North America
|       | Black & Bruised                                                     | Majesco Games                          | Nintendo GameCube | 2003 | North America
|       | Blood Omen 2                                                        | Eidos Interactive                      | Nintendo GameCube | 2002 | North America
|       | BloodRayne                                                          | Majesco Games                          | Nintendo GameCube | 2002 | North America
|       | Bloody Roar: Primal Fury                                            | Activision                             | Nintendo GameCube | 2002 | North America
|       | BlowOut                                                             | Majesco Games                          | Nintendo GameCube | 2003 | North America
|       | BMX XXX                                                             | Acclaim                                | Nintendo GameCube | 2002 | North America
|       | Bomberman Generation                                                | Majesco Games                          | Nintendo GameCube | 2002 | North America
|       | Bomberman Jetters                                                   | Majesco Games                          | Nintendo GameCube | 2004 | North America
|       | Bratz: Forever Diamondz                                             | THQ                                    | Nintendo GameCube | 2006 | North America
|       | Bratz: Rock Angelz                                                  | THQ                                    | Nintendo GameCube | 2005 | North America
|       | Buffy the Vampire Slayer: Chaos Bleeds                              | Sierra Entertainment                   | Nintendo GameCube | 2003 | North America
|       | Burnout                                                             | Acclaim                                | Nintendo GameCube | 2002 | North America
|       | Burnout 2: Point of Impact                                          | Acclaim                                | Nintendo GameCube | 2003 | North America
|       | Bust-A-Move 3000                                                    | Ubisoft                                | Nintendo GameCube | 2003 | North America
|       | Cabela's Big Game Hunter 2005 Adventures                            | Activision Value                       | Nintendo GameCube | 2004 | North America
|       | Cabela's Dangerous Hunts 2                                          | Activision                             | Nintendo GameCube | 2005 | North America
|       | Cabela's Outdoor Adventures                                         | Activision                             | Nintendo GameCube | 2005 | North America
|       | Call of Duty 2: Big Red One                                         | Activision                             | Nintendo GameCube | 2005 | North America
|       | Call of Duty: Finest Hour                                           | Activision                             | Nintendo GameCube | 2004 | North America
|       | Capcom vs. SNK 2 EO                                                 | Capcom                                 | Nintendo GameCube | 2002 | North America
|       | Carmen Sandiego: The Secret of the Stolen Drums                     | Bam Entertainment                      | Nintendo GameCube | 2004 | North America
|       | Cars                                                                | THQ                                    | Nintendo GameCube | 2006 | North America
|       | Casper: Spirit Dimensions                                           | TDK Mediactive                         | Nintendo GameCube | 2002 | North America
|       | Catwoman                                                            | EA Games                               | Nintendo GameCube | 2004 | North America
|       | Cel Damage                                                          | Electronic Arts                        | Nintendo GameCube | 2002 | North America
|       | Chaos Field                                                         | O3 Entertainment                       | Nintendo GameCube | 2005 | North America
|       | Charlie and the Chocolate Factory                                   | Global Star Software                   | Nintendo GameCube | 2005 | North America
|       | Charlie's Angels                                                    | Ubisoft                                | Nintendo GameCube | 2003 | North America
|       | Chibi-Robo!                                                         | Nintendo                               | Nintendo GameCube | 2006 | North America
|       | Chicken Little                                                      | Buena Vista Games                      | Nintendo GameCube | 2005 | North America
|       | Chronicles of Narnia: The Lion, The Witch and The Wardrobe, The     | Buena Vista Games                      | Nintendo GameCube | 2005 | North America
|       | City Racer                                                          | Ubisoft                                | Nintendo GameCube | 2003 | North America
|       | Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.              | Global Star Software                   | Nintendo GameCube | 2005 | North America
|       | Conflict: Desert Storm                                              | Gotham Games                           | Nintendo GameCube | 2003 | North America
|       | Conflict: Desert Storm II - Back to Baghdad                         | Gotham Games                           | Nintendo GameCube | 2004 | North America
|       | Crash Bandicoot: The Wrath of Cortex                                | VU Games                               | Nintendo GameCube | 2002 | North America
|       | Crash Nitro Kart                                                    | VU Games                               | Nintendo GameCube | 2003 | North America
|       | Crash Tag Team Racing                                               | VU Games                               | Nintendo GameCube | 2005 | North America
|       | Crazy Taxi                                                          | Acclaim                                | Nintendo GameCube | 2001 | North America
|       | Cubivore: Survival of the Fittest                                   | ATLUS                                  | Nintendo GameCube | 2002 | North America
|       | Cubix Robots for Everyone: Showdown                                 | 3DO                                    | Nintendo GameCube | 2003 | North America
|       | Curious George                                                      | Namco                                  | Nintendo GameCube | 2006 | North America
|       | Custom Robo                                                         | Nintendo                               | Nintendo GameCube | 2004 | North America
|       | Dakar 2                                                             | Acclaim                                | Nintendo GameCube | 2003 | North America
|       | Dakar 2: The World's Ultimate Rally                                 | Acclaim                                | Nintendo GameCube | 2003 | North America
|       | Dance Dance Revolution: Mario Mix                                   | Nintendo                               | Nintendo GameCube | 2005 | North America
|       | Dark Summit                                                         | THQ                                    | Nintendo GameCube | 2002 | North America
|       | Darkened Skye                                                       | Simon & Schuster                       | Nintendo GameCube | 2002 | North America
|       | Dave Mirra Freestyle BMX 2                                          | Acclaim                                | Nintendo GameCube | 2001 | North America
|       | Dead to Rights                                                      | Namco                                  | Nintendo GameCube | 2002 | North America
|       | Def Jam Vendetta                                                    | Electronic Arts                        | Nintendo GameCube | 2003 | North America
|       | Def Jam: Fight for NY                                               | EA Games                               | Nintendo GameCube | 2004 | North America
|       | Defender                                                            | Midway                                 | Nintendo GameCube | 2002 | North America
|       | Demonstration Test Disc Release October 2001                        | Nintendo                               | Nintendo GameCube | 2001 | North America
|       | Die Hard: Vendetta                                                  | Sierra Entertainment                   | Nintendo GameCube | 2002 | North America
|       | Digimon Rumble Arena 2                                              | Bandai                                 | Nintendo GameCube | 2004 | North America
|       | Digimon World 4                                                     | Bandai                                 | Nintendo GameCube | 2005 | North America
|       | Dinotopia: The Sunstone Odyssey                                     | TDK Mediactive                         | Nintendo GameCube | 2003 | North America
|       | Disney Sports: Basketball                                           | Konami                                 | Nintendo GameCube | 2003 | North America
|       | Disney Sports: Football                                             | Konami                                 | Nintendo GameCube | 2002 | North America
