|       | 007: Nagusame no Houshuu                                                                 | Square Enix                | Nintendo Wii | 2009 | Japan
|       | 2010 FIFA World Cup South Africa                                                         | EA Sports                  | Nintendo Wii | 2010 | Japan
|       | 250 Mannin no Kanken: Wii de Tokoton Kanji Nou                                           | IE Institute               | Nintendo Wii | 2008 | Japan
|       | 428: Fuusa Sareta Shibuya de                                                             | Sega                       | Nintendo Wii | 2008 | Japan
|       | Akko de Pon! Ikasama Hourouki                                                            | Success                    | Nintendo Wii | 2008 | Japan
|       | Akumajou Dracula Judgment                                                                | Konami                     | Nintendo Wii | 2009 | Japan
|       | And-Kensaku                                                                              | Nintendo                   | Nintendo Wii | 2010 | Japan
|       | Anime Slot Revolution: Pachi-Slot Kidou Senshi Gundam II - Ai Senshi Hen                 | Yamasa                     | Nintendo Wii | 2007 | Japan
|       | Another Code:R - Kioku no Tobira                                                         | Nintendo                   | Nintendo Wii | 2009 | Japan
|       | Anpanman Niko Niko Party                                                                 | Agatsuma Entertainment     | Nintendo Wii | 2010 | Japan
|       | Arc Rise Fantasia                                                                        | Marvelous Entertainment    | Nintendo Wii | 2009 | Japan
|       | Argos no Senshi: Muscle Impact                                                           | Tecmo                      | Nintendo Wii | 2008 | Japan
|       | Babysitter Mama                                                                          | Office Create              | Nintendo Wii | 2010 | Japan
|       | Barnyard: Shuyaku wa Ore, Ushi                                                           | THQ                        | Nintendo Wii | 2007 | Japan
|       | Baroque for Wii                                                                          | Sting                      | Nintendo Wii | 2008 | Japan
|       | Billy's Boot Camp: Wii de Enjoy Diet!                                                    | Rocket Company             | Nintendo Wii | 2011 | Japan
|       | BioHazard                                                                                | Capcom                     | Nintendo Wii | 2008 | Japan
|       | BioHazard 0                                                                              | Capcom                     | Nintendo Wii | 2008 | Japan
|       | BioHazard 4: Wii Edition                                                                 | Capcom                     | Nintendo Wii | 2007 | Japan
|       | BioHazard Chronicles Value Pack                                                          | Capcom                     | Nintendo Wii | 2011 | Japan
|       | BioHazard: The Darkside Chronicles                                                       | Capcom                     | Nintendo Wii | 2010 | Japan
|       | BioHazard: Umbrella Chronicles                                                           | Capcom                     | Nintendo Wii | 2007 | Japan
|       | Bleach Wii: Hakujin Kirameku Rondo                                                       | Sega                       | Nintendo Wii | 2006 | Japan
|       | Bleach: Versus Crusade                                                                   | Sega                       | Nintendo Wii | 2008 | Japan
|       | Blob: Colorful na Kibou                                                                  | THQ                        | Nintendo Wii | 2008 | Japan
|       | Boku to Sim no Machi                                                                     | EA Games                   | Nintendo Wii | 2007 | Japan
|       | Boku to Sim no Machi Agents                                                              | Electronic Arts            | Nintendo Wii | 2009 | Japan
|       | Boku to Sim no Machi Kingdom                                                             | Electronic Arts            | Nintendo Wii | 2008 | Japan
|       | Boku to Sim no Machi Party                                                               | EA Games                   | Nintendo Wii | 2009 | Japan
|       | Boku to Sim no Machi Racing                                                              | EA Games                   | Nintendo Wii | 2009 | Japan
|       | Bokujou Monogatari: Waku Waku Animal March                                               | Marvelous Entertainment    | Nintendo Wii | 2008 | Japan
|       | Bokujou Monogatari: Yasuragi no Ki                                                       | Marvelous Entertainment    | Nintendo Wii | 2007 | Japan
|       | Bomberman                                                                                | Hudson                     | Nintendo Wii | 2008 | Japan
|       | Bomberman Land Wii                                                                       | Hudson Entertainment       | Nintendo Wii | 2007 | Japan
|       | Boom Blox                                                                                | Electronic Arts            | Nintendo Wii | 2008 | Japan
|       | Caduceus Z: 2-tsu no Chou Shittou                                                        | ATLUS                      | Nintendo Wii | 2006 | Japan
|       | Caduceus: New Blood                                                                      | ATLUS                      | Nintendo Wii | 2008 | Japan
|       | Calling: Kuroki Chakushin                                                                | Hudson Entertainment       | Nintendo Wii | 2009 | Japan
|       | Captain Rainbow                                                                          | Nintendo                   | Nintendo Wii | 2008 | Japan
|       | Carl Jii-San no Soratobu Ie                                                              | E-Frontier                 | Nintendo Wii | 2009 | Japan
|       | Cars                                                                                     | THQ                        | Nintendo Wii | 2007 | Japan
|       | Champion Jockey: G1 Jockey & Gallop Racer                                                | Koei Tecmo Games           | Nintendo Wii | 2011 | Japan
|       | Chibi-Robo!                                                                              | Nintendo                   | Nintendo Wii | 2009 | Japan
|       | Chin Sports                                                                              | Sega                       | Nintendo Wii | 2009 | Japan
|       | Chocobo no Fushigi na Dungeon: Toki Wasure No Meikyuu                                    | Square Enix                | Nintendo Wii | 2007 | Japan
|       | Choro Q Wii                                                                              | Takara Tomy                | Nintendo Wii | 2008 | Japan
