|       | 007: Quantum of Solace                                                | Activision                             | Nintendo Wii | 2008 | Europe
|       | 10 Minute Solution                                                    | Activision                             | Nintendo Wii | 2010 | Europe
|       | 101-in-1 Party Megamix                                                | Nordcurrent                            | Nintendo Wii | 2009 | Europe
|       | 101-in-1 Sports Party Megamix                                         | Nordcurrent                            | Nintendo Wii | 2010 | Europe
|       | 2010 FIFA World Cup South Africa                                      | EA Sports                              | Nintendo Wii | 2010 | Europe
|       | A Boy and His Blob                                                    | Majesco                                | Nintendo Wii | 2009 | Europe
|       | A Shadow's Tale                                                       | Konami                                 | Nintendo Wii | 2010 | Europe
|       | ABBA: You Can Dance                                                   | Ubisoft                                | Nintendo Wii | 2011 | Europe
|       | AC/DC Live: Rock Band Track Pack                                      | MTV Games                              | Nintendo Wii | 2009 | Europe
|       | Academy of Champions: Football                                        | Ubisoft                                | Nintendo Wii | 2009 | Europe
|       | ACB Total 2010/2011                                                   | Sherwood Media                         | Nintendo Wii | 2011 | Europe
|       | Action Girlz Racing                                                   | Popcorn Arcade                         | Nintendo Wii | 2007 | Europe
|       | Adventure on the Ranch: The Horse Whisperer                           | Ubisoft                                | Nintendo Wii | 2007 | Europe
|       | Adventures of Tintin: The Secret of the Unicorn, The                  | Ubisoft                                | Nintendo Wii | 2011 | Europe
|       | Agatha Christie: And Then There Were None                             | The Adventure Company                  | Nintendo Wii | 2008 | Europe
|       | Agatha Christie: Evil Under the Sun                                   | The Adventure Company                  | Nintendo Wii | 2008 | Europe
|       | Agent Hugo: Hula Holiday                                              | NDS Software                           | Nintendo Wii | 2008 | Europe
|       | Agent Hugo: Lemoon Twist                                              | ITE Media                              | Nintendo Wii | 2008 | Europe
|       | Alan Hansen's Sports Challenge                                        | Oxygen Interactive                     | Nintendo Wii | 2007 | Europe
|       | Alexandra Ledermann: The Mystery of the Wild Horses                   | Ubisoft                                | Nintendo Wii | 2008 | Europe
|       | Alice in Wonderland                                                   | Disney Interactive Studios             | Nintendo Wii | 2010 | Europe
|       | Alien Syndrome                                                        | Sega                                   | Nintendo Wii | 2007 | Europe
|       | Aliens in the Attic                                                   | Playlogic                              | Nintendo Wii | 2009 | Europe
|       | All Round Hunter                                                      | 505 Games                              | Nintendo Wii | 2010 | Europe
|       | All Star Cheerleader                                                  | THQ                                    | Nintendo Wii | 2008 | Europe
|       | All Star Cheerleader 2                                                | THQ                                    | Nintendo Wii | 2009 | Europe
|       | All Star Karate                                                       | THQ                                    | Nintendo Wii | 2010 | Europe
|       | Alone in the Dark                                                     | Atari SA                               | Nintendo Wii | 2008 | Europe
|       | Alvin and the Chipmunks                                               | Eidos Interactive                      | Nintendo Wii | 2007 | Europe
|       | Alvin and the Chipmunks: Chipwrecked                                  | 505 Games                              | Nintendo Wii | 2012 | Europe
|       | Alvin and the Chipmunks: The Squeakquel                               | Majesco                                | Nintendo Wii | 2009 | Europe
|       | Amazing Spider-Man, The                                               | Activision                             | Nintendo Wii | 2012 | Europe
|       | America's Next Top Model                                              | dtp Young Entertainment AG             | Nintendo Wii | 2010 | Europe
|       | AMF Bowling Pinbusters!                                               | Bethesda Softworks                     | Nintendo Wii | 2008 | Europe
|       | Andrew Lloyd Webber Musicals: Sing and Dance                          | Koch Media                             | Nintendo Wii | 2012 | Europe
|       | Angry Birds Star Wars                                                 | Activision                             | Nintendo Wii | 2013 | Europe
|       | Angry Birds Trilogy                                                   | Activision                             | Nintendo Wii | 2013 | Europe
|       | Animal Crossing: Let's Go to the City                                 | Nintendo                               | Nintendo Wii | 2008 | Europe
|       | Animal Planet: Vet Life                                               | Activision                             | Nintendo Wii | 2009 | Europe
|       | Anno: Create A New World                                              | Ubisoft                                | Nintendo Wii | 2009 | Europe
|       | Another Code: R - A Journey into Lost Memories                        | Nintendo                               | Nintendo Wii | 2009 | Europe
|       | Ant Bully, The                                                        | Midway                                 | Nintendo Wii | 2007 | Europe
|       | Anubis II                                                             | Metro3D                                | Nintendo Wii | 2007 | Europe
|       | Aqua Panic!                                                           | Ubisoft                                | Nintendo Wii | 2009 | Europe
|       | Arcade Zone                                                           | Activision                             | Nintendo Wii | 2009 | Europe
|       | Arctic Tale                                                           | Zoo Digital Publishing                 | Nintendo Wii | 2008 | Europe
|       | Armin Van Buuren: In The Mix                                          | Foreign Media                          | Nintendo Wii | 2010 | Europe
|       | Army Men: Soldiers of Misfortune                                      | Zoo Games                              | Nintendo Wii | 2009 | Europe
|       | Arthur and the Revenge of Maltazard                                   | Ubisoft                                | Nintendo Wii | 2010 | Europe
|       | Ashes Cricket 2009                                                    | Codemasters                            | Nintendo Wii | 2009 | Europe
|       | Asterix at the Olympic Games                                          | Atari SA                               | Nintendo Wii | 2008 | Europe
|       | Astro Boy: The Video Game                                             | D3Publisher                            | Nintendo Wii | 2010 | Europe
|       | Avatar - The Legend of Aang: Into the Inferno                         | THQ                                    | Nintendo Wii | 2008 | Europe
|       | Avatar: The Legend of Aang                                            | THQ                                    | Nintendo Wii | 2007 | Europe
|       | Avatar: The Legend of Aang -- The Burning Earth                       | THQ                                    | Nintendo Wii | 2007 | Europe
|       | B-Units: Build it!                                                    | 505 Games                              | Nintendo Wii | 2011 | Europe
