|       | 007 Legends                                                              | Activision                             | Nintendo Wii U | 2012 | Europe
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                | Namco Bandai Games                     | Nintendo Wii U | 2013 | Europe
|       | Adventure Time: Finn and Jake Investigations                             | Little Orbit                           | Nintendo Wii U | 2015 | Europe
|       | Amazing Spider-Man 2, The                                                | Activision                             | Nintendo Wii U | 2014 | Europe
|       | Amazing Spider-Man: Ultimate Edition, The                                | Activision                             | Nintendo Wii U | 2013 | Europe
|       | Angry Birds Star Wars                                                    | Activision                             | Nintendo Wii U | 2013 | Europe
|       | Angry Birds Trilogy                                                      | Activision                             | Nintendo Wii U | 2013 | Europe
|       | Animal Crossing: amiibo Festival                                         | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Art Academy: Atelier                                                     | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Assassin's Creed III                                                     | Ubisoft                                | Nintendo Wii U | 2012 | Europe
|       | Assassin's Creed IV: Black Flag                                          | Ubisoft                                | Nintendo Wii U | 2013 | Europe
|       | Baila Latino                                                             | Oxygene                                | Nintendo Wii U | 2015 | Europe
|       | Barbie and Her Sisters: Puppy Rescue                                     | Little Orbit                           | Nintendo Wii U | 2015 | Europe
|       | Barbie Dreamhouse Party                                                  | Little Orbit                           | Nintendo Wii U | 2014 | Europe
|       | Batman: Arkham City - Armoured Edition                                   | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2012 | Europe
|       | Batman: Arkham Origins                                                   | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | Europe
|       | Bayonetta 2                                                              | Nintendo                               | Nintendo Wii U | 2014 | Europe
|       | Ben 10 Omniverse 2                                                       | D3Publisher                            | Nintendo Wii U | 2013 | Europe
|       | Ben 10: Omniverse                                                        | D3Publisher                            | Nintendo Wii U | 2012 | Europe
|       | Book of Unwritten Tales 2, The                                           | The Adventure Company                  | Nintendo Wii U | 2016 | Europe
|       | Cabela's Dangerous Hunts 2013                                            | Activision                             | Nintendo Wii U | 2012 | Europe
|       | Call of Duty: Black Ops II                                               | Activision                             | Nintendo Wii U | 2012 | Europe
|       | Call of Duty: Ghosts                                                     | Activision                             | Nintendo Wii U | 2013 | Europe
|       | Captain Toad: Treasure Tracker                                           | Nintendo                               | Nintendo Wii U | 2014 | Europe
|       | Cars 3: Driven to Win                                                    | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2017 | Europe
|       | Croods: Prehistoric Party!, The                                          | D3Publisher                            | Nintendo Wii U | 2013 | Europe
|       | Darksiders II                                                            | THQ                                    | Nintendo Wii U | 2012 | Europe
|       | Darksiders: Warmastered Edition                                          | Nordic Games Publishing                | Nintendo Wii U | 2018 | Europe
|       | Deus Ex: Human Revolution - Director's Cut                               | Square Enix                            | Nintendo Wii U | 2013 | Europe
|       | Devil's Third                                                            | Nintendo                               | Nintendo Wii U | 2015 | Europe
|       | Disney Epic Mickey 2: The Power of Two                                   | Disney Interactive Studios             | Nintendo Wii U | 2012 | Europe
|       | Disney Infinity                                                          | Disney Interactive Studios             | Nintendo Wii U | 2013 | Europe
|       | Disney Infinity 2.0 Edition                                              | Disney Interactive Studios             | Nintendo Wii U | 2014 | Europe
|       | Disney Infinity 3.0 Edition                                              | Disney Interactive Studios             | Nintendo Wii U | 2015 | Europe
|       | Disney Planes                                                            | Disney Interactive Studios             | Nintendo Wii U | 2013 | Europe
|       | Disney Planes: Fire & Rescue                                             | Little Orbit                           | Nintendo Wii U | 2014 | Europe
|       | Donkey Kong Country: Tropical Freeze                                     | Nintendo                               | Nintendo Wii U | 2014 | Europe
|       | Family Party: 30 Great Games Obstacle Arcade                             | D3Publisher                            | Nintendo Wii U | 2012 | Europe
|       | Fast & Furious: Showdown                                                 | Activision                             | Nintendo Wii U | 2013 | Europe
|       | FAST Racing Neo                                                          | Shin'en                                | Nintendo Wii U | 2016 | Europe
|       | FIFA 13                                                                  | EA Sports                              | Nintendo Wii U | 2012 | Europe
|       | Fit Music for Wii U                                                      | Oxygene                                | Nintendo Wii U | 2015 | Europe
|       | Funky Barn                                                               | 505 Games                              | Nintendo Wii U | 2012 | Europe
|       | Game & Wario                                                             | Nintendo                               | Nintendo Wii U | 2013 | Europe
|       | Game Party Champions                                                     | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2012 | Europe
|       | Guitar Hero Live                                                         | Activision                             | Nintendo Wii U | 2015 | Europe
|       | Hello Kitty Kruisers                                                     | Bergsala-Lightweight                   | Nintendo Wii U | 2015 | Europe
|       | Hot Wheels: World's Best Driver                                          | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | Europe
|       | How to Train Your Dragon 2                                               | Little Orbit                           | Nintendo Wii U | 2014 | Europe
|       | Hyrule Warriors                                                          | Nintendo                               | Nintendo Wii U | 2014 | Europe
|       | Injustice: Gods Among Us                                                 | Warner Bros. Interactive Entertainment | Nintendo Wii U | 2013 | Europe
|       | Jett Tailfin                                                             | Funbox Media                           | Nintendo Wii U | 2014 | Europe
|       | Joe's Diner                                                              | UIG Entertainment                      | Nintendo Wii U | 2017 | Europe
|       | Just Dance 2014                                                          | Ubisoft                                | Nintendo Wii U | 2013 | Europe
|       | Just Dance 2015                                                          | Ubisoft                                | Nintendo Wii U | 2014 | Europe
|       | Just Dance 2016                                                          | Ubisoft                                | Nintendo Wii U | 2015 | Europe
|       | Just Dance 2017                                                          | Ubisoft                                | Nintendo Wii U | 2016 | Europe
|       | Just Dance 2018                                                          | Ubisoft                                | Nintendo Wii U | 2017 | Europe
|       | Just Dance 4                                                             | Ubisoft                                | Nintendo Wii U | 2012 | Europe
|       | Just Dance Kids 2014                                                     | Ubisoft                                | Nintendo Wii U | 2013 | Europe
|       | Just Dance: Disney Party 2                                               | Ubisoft                                | Nintendo Wii U | 2015 | Europe
