|       | 007 Racing                                                                                      | Electronic Arts               | PlayStation | 2000 | North America
|       | 007: Racing / Medal of Honor / 007: Tomorrow Never Dies - Collector's Edition                   | Electronic Arts               | PlayStation | 2002 | North America
|       | 007: The World is Not Enough                                                                    | Electronic Arts               | PlayStation | 2000 | North America
|       | 007: Tomorrow Never Dies                                                                        | EA Games                      | PlayStation | 1999 | North America
|       | 16 Tales 2                                                                                      | Lightspan                     | PlayStation | 1996 | North America
|       | 16 Tales 3                                                                                      | Lightspan                     | PlayStation | 1996 | North America
|       | 16 Tales 4                                                                                      | Lightspan                     | PlayStation | 1996 | North America
|       | 16 Tales: Vol. 1                                                                                | Lightspan                     | PlayStation | 1996 | North America
|       | 2 Xtreme                                                                                        | SCEA                          | PlayStation | 1996 | North America
|       | 2002 FIFA World Cup                                                                             | EA Sports                     | PlayStation | 2002 | North America
|       | 3D Baseball                                                                                     | Crystal Dynamics              | PlayStation | 1996 | North America
|       | 3D Lemmings                                                                                     | Psygnosis                     | PlayStation | 1995 | North America
|       | 3Xtreme                                                                                         | 989 Sports                    | PlayStation | 1999 | North America
|       | 40 Winks                                                                                        | GT Interactive                | PlayStation | 1999 | North America
|       | A Bug's Life                                                                                    | SCEA                          | PlayStation | 1998 | North America
|       | A Bug's Life / Tigger's Honey Hunt / Tarzan - Collector's Edition                               | SCEA                          | PlayStation | 2002 | North America
|       | A-Train: Trains - Power - Money                                                                 | Maxis                         | PlayStation | 1996 | North America
|       | Ace Combat 2                                                                                    | Namco                         | PlayStation | 1997 | North America
|       | Ace Combat 3: Electrosphere                                                                     | Namco                         | PlayStation | 2000 | North America
|       | Aces of the Air                                                                                 | Agetec Inc.                   | PlayStation | 2002 | North America
|       | Action Bass                                                                                     | Take-Two Interactive          | PlayStation | 2000 | North America
|       | Action Man: Operation Extreme                                                                   | Hasbro Interactive            | PlayStation | 2000 | North America
|       | Activision Classic Games                                                                        | Activision                    | PlayStation | 1998 | North America
|       | Adidas Power Soccer                                                                             | Psygnosis                     | PlayStation | 1996 | North America
|       | Adidas Power Soccer 98                                                                          | Psygnosis                     | PlayStation | 1998 | North America
|       | Advanced Dungeons & Dragons: Iron & Blood: Warriors of Ravenloft                                | Acclaim                       | PlayStation | 1996 | North America
|       | Adventures of Lomax, The                                                                        | SCEA                          | PlayStation | 1996 | North America
|       | Agile Warrior F-111X                                                                            | Virgin Interactive            | PlayStation | 1995 | North America
|       | Air Combat                                                                                      | Namco                         | PlayStation | 1995 | North America
|       | Air Hockey                                                                                      | Mud Duck Productions          | PlayStation | 2003 | North America
|       | Akuji the Heartless                                                                             | Eidos Interactive             | PlayStation | 1998 | North America
|       | Alexi Lalas International Soccer                                                                | Take-Two Interactive          | PlayStation | 1999 | North America
|       | Alien Resurrection                                                                              | Fox Interactive               | PlayStation | 2000 | North America
|       | Alien Trilogy                                                                                   | Acclaim                       | PlayStation | 1996 | North America
|       | All Star Racing                                                                                 | Mud Duck Productions          | PlayStation | 2002 | North America
|       | All Star Racing 2                                                                               | Mud Duck Productions          | PlayStation | 2003 | North America
|       | All-Star 1997 Featuring Frank Thomas                                                            | Acclaim                       | PlayStation | 1997 | North America
|       | All-Star Slammin' D-Ball                                                                        | Agetec Inc.                   | PlayStation | 2001 | North America
|       | Allied General                                                                                  | SSI                           | PlayStation | 1996 | North America
|       | Alone in the Dark: One-Eyed Jack's Revenge                                                      | Kokopeli Digital Studios      | PlayStation | 1996 | North America
|       | Alone in the Dark: The New Nightmare                                                            | Infogrames                    | PlayStation | 2001 | North America
|       | Alundra                                                                                         | Working Designs               | PlayStation | 1997 | North America
|       | Alundra 2: A New Legend Begins                                                                  | Activision                    | PlayStation | 2000 | North America
|       | Amazing Virtual Sea-Monkeys, The                                                                | Conspiracy Entertainment      | PlayStation | 2013 | North America
|       | American Pool                                                                                   | Mud Duck Productions          | PlayStation | 2003 | North America
|       | Andretti Racing                                                                                 | EA Sports                     | PlayStation | 1996 | North America
|       | Animaniacs Ten Pin Alley                                                                        | ASC Games                     | PlayStation | 1998 | North America
|       | Animorphs: Shattered Reality                                                                    | Infogrames                    | PlayStation | 2000 | North America
|       | Ape Escape                                                                                      | SCEA                          | PlayStation | 1999 | North America
|       | Apocalypse                                                                                      | Activision                    | PlayStation | 1998 | North America
|       | Aquanaut's Holiday                                                                              | SCEA                          | PlayStation | 1995 | North America
|       | Arc the Lad Collection                                                                          | Working Designs               | PlayStation | 2002 | North America
|       | Arcade Party Pak                                                                                | Midway                        | PlayStation | 1999 | North America
|       | Area 51                                                                                         | Midway                        | PlayStation | 1996 | North America
|       | Armored Core                                                                                    | SCEA                          | PlayStation | 1997 | North America
|       | Armored Core: Master of Arena                                                                   | Agetec Inc.                   | PlayStation | 2000 | North America
|       | Armored Core: Project Phantasma                                                                 | ASCII Entertainment           | PlayStation | 1998 | North America
|       | Armorines: Project S.W.A.R.M.                                                                   | Acclaim                       | PlayStation | 2000 | North America
|       | Army Men 3D                                                                                     | 3DO                           | PlayStation | 1999 | North America
|       | Army Men Gold: Collector's Edition                                                              | 3DO                           | PlayStation | 2013 | North America
|       | Army Men World War: Final Front                                                                 | 3DO                           | PlayStation | 2001 | North America
|       | Army Men World War: Team Assault                                                                | 3DO                           | PlayStation | 2001 | North America
|       | Army Men: Air Attack                                                                            | 3DO                           | PlayStation | 1999 | North America
|       | Army Men: Air Attack 2                                                                          | 3DO                           | PlayStation | 2000 | North America
|       | Army Men: Green Rogue                                                                           | 3DO                           | PlayStation | 2001 | North America
|       | Army Men: Sarge's Heroes                                                                        | 3DO                           | PlayStation | 2013 | North America
|       | Army Men: Sarge's Heroes 2                                                                      | 3DO                           | PlayStation | 2000 | North America
|       | Army Men: World War                                                                             | 3DO                           | PlayStation | 2000 | North America
|       | Army Men: World War - Land, Sea, Air                                                            | 3DO                           | PlayStation | 2000 | North America
|       | Arthur! Ready to Race                                                                           | The Learning Company          | PlayStation | 2000 | North America
|       | ASCII Entertainment Demo Disc                                                                   | ASCII Entertainment           | PlayStation | 1997 | North America
|       | Assault Rigs                                                                                    | Psygnosis                     | PlayStation | 1996 | North America
|       | Assault: Retribution                                                                            | Midway                        | PlayStation | 1998 | North America
|       | Asteroids                                                                                       | Activision                    | PlayStation | 1998 | North America
|       | Atari Anniversary Edition Redux                                                                 | Infogrames                    | PlayStation | 2013 | North America
|       | Attack of the Killer Demos                                                                      | SCEA                          | PlayStation | 1999 | North America
|       | ATV Mania                                                                                       | Gotham Games                  | PlayStation | 2003 | North America
|       | ATV Racers                                                                                      | Mud Duck Productions          | PlayStation | 2003 | North America
|       | ATV: Quad Power Racing                                                                          | Acclaim                       | PlayStation | 2000 | North America
|       | Austin Powers Pinball                                                                           | Gotham Games                  | PlayStation | 2002 | North America
|       | Auto Destruct                                                                                   | Electronic Arts               | PlayStation | 1998 | North America
|       | Azure Dreams                                                                                    | Konami                        | PlayStation | 1998 | North America
|       | Backstreet Billiards                                                                            | ASCII Entertainment           | PlayStation | 1998 | North America
|       | Backyard Soccer                                                                                 | Infogrames                    | PlayStation | 2001 | North America
|       | Baldies                                                                                         | Bethesda Softworks            | PlayStation | 2003 | North America
|       | Ball Breakers                                                                                   | Take-Two Interactive          | PlayStation | 2000 | North America
|       | BallBlazer Champions                                                                            | LucasArts                     | PlayStation | 1997 | North America
|       | Ballerburg: Castle Chaos                                                                        | Mud Duck Productions          | PlayStation | 2003 | North America
|       | Ballistic                                                                                       | Infogrames                    | PlayStation | 1999 | North America
