|       | 007 Racing                                                                                             | Electronic Arts                     | PlayStation | 2000 | Europe
|       | 007: The World is Not Enough                                                                           | Electronic Arts                     | PlayStation | 2000 | Europe
|       | 007: Tomorrow Never Dies                                                                               | Electronic Arts                     | PlayStation | 1999 | Europe
|       | 2002 FIFA World Cup                                                                                    | Electronic Arts                     | PlayStation | 2002 | Europe
|       | 2Xtreme                                                                                                | SCEE                                | PlayStation | 1997 | Europe
|       | 3, 2, 1, Smurf! My First Racing Game                                                                   | Infogrames                          | PlayStation | 2001 | Europe
|       | 360: Three Sixty                                                                                       | Cryo Interactive                    | PlayStation | 1999 | Europe
|       | 3D Lemmings                                                                                            | Psygnosis                           | PlayStation | 1995 | Europe
|       | 4-4-2 Soccer                                                                                           | Virgin Interactive                  | PlayStation | 1997 | Europe
|       | 40 Winks: Conquer your Dreams                                                                          | GT Interactive                      | PlayStation | 1999 | Europe
|       | 4X4 World Trophy                                                                                       | Infogrames                          | PlayStation | 2000 | Europe
|       | 5 Star Racing                                                                                          | Phoenix Games                       | PlayStation | 2003 | Europe
|       | A Bug's Life                                                                                           | SCEE                                | PlayStation | 1999 | Europe
|       | A Bug's Life Activity Centre                                                                           | SCEE                                | PlayStation | 1999 | Europe
|       | A-IV Evolution Global                                                                                  | SCEE                                | PlayStation | 1996 | Europe
|       | A2 Racer III: Europa Tour                                                                              | Davilex                             | PlayStation | 2002 | Europe
|       | Ace Combat 2                                                                                           | SCEE                                | PlayStation | 1997 | Europe
|       | Ace Combat 3                                                                                           | Namco                               | PlayStation | 1999 | Europe
|       | Action Bass                                                                                            | Take-Two Interactive                | PlayStation | 2000 | Europe
|       | Action Man: Destruction X                                                                              | 3DO                                 | PlayStation | 2000 | Europe
|       | Action Man: Mission Extreme                                                                            | Hasbro Interactive                  | PlayStation | 2000 | Europe
|       | Actua Golf                                                                                             | Gremlin Interactive                 | PlayStation | 1996 | Europe
|       | Actua Golf 2                                                                                           | Gremlin Interactive                 | PlayStation | 1997 | Europe
|       | Actua Golf 3                                                                                           | Gremlin Interactive                 | PlayStation | 1999 | Europe
|       | Actua Ice Hockey                                                                                       | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Actua Ice Hockey 2                                                                                     | Gremlin Interactive                 | PlayStation | 1999 | Europe
|       | Actua Pool                                                                                             | Gremlin Interactive                 | PlayStation | 1999 | Europe
|       | Actua Soccer                                                                                           | Gremlin Interactive                 | PlayStation | 1996 | Europe
|       | Actua Soccer 2                                                                                         | Gremlin Interactive                 | PlayStation | 1997 | Europe
|       | Actua Soccer 3                                                                                         | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Actua Soccer: Club Edition                                                                             | Gremlin Interactive                 | PlayStation | 1997 | Europe
|       | Actua Tennis                                                                                           | Gremlin Interactive                 | PlayStation | 1998 | Europe
|       | Adiboo & Paziral's Secret                                                                              | VU Games                            | PlayStation | 2003 | Europe
|       | Adibou Et L'Ombre Verte                                                                                | VU Games                            | PlayStation | 2001 | Europe
|       | Adidas Power Soccer                                                                                    | Psygnosis                           | PlayStation | 1996 | Europe
|       | Adidas Power Soccer 2                                                                                  | Psygnosis                           | PlayStation | 1997 | Europe
|       | Adidas Power Soccer 98                                                                                 | Psygnosis                           | PlayStation | 1998 | Europe
|       | Adidas Power Soccer International '97                                                                  | Psygnosis                           | PlayStation | 1997 | Europe
|       | Advanced Dungeons & Dragons: Iron & Blood: Warriors of Ravenloft                                       | Acclaim                             | PlayStation | 1996 | Europe
|       | Adventures of Alundra, The                                                                             | Psygnosis                           | PlayStation | 1998 | Europe
|       | Adventures of Monkey Hero, The                                                                         | Take-Two Interactive                | PlayStation | 1999 | Europe
|       | AFL 99                                                                                                 | EA Sports                           | PlayStation | 1999 | Europe
|       | Agent Armstrong                                                                                        | Virgin Interactive                  | PlayStation | 1997 | Europe
|       | Agile Warrior F-111X                                                                                   | Virgin Interactive                  | PlayStation | 1996 | Europe
|       | Air Combat                                                                                             | SCEE                                | PlayStation | 1995 | Europe
|       | Air Hockey                                                                                             | Midas Interactive Entertainment     | PlayStation | 2001 | Europe
|       | Air Race                                                                                               | THQ                                 | PlayStation | 1997 | Europe
|       | Aironauts                                                                                              | Red Storm Entertainment             | PlayStation | 1999 | Europe
|       | Akuji the Heartless                                                                                    | Eidos Interactive                   | PlayStation | 1999 | Europe
|       | Alex Ferguson's Player Manager 2001                                                                    | 3DO                                 | PlayStation | 2000 | Europe
|       | Alexandra Ledermann 2: Equitation Competition                                                          | Midas Interactive Entertainment     | PlayStation | 2000 | Europe
|       | Alexandra Ledermann: Equitation Passion                                                                | Midas Interactive Entertainment     | PlayStation | 2000 | Europe
|       | Alfred Chicken                                                                                         | SCEE                                | PlayStation | 2002 | Europe
|       | Alien Resurrection                                                                                     | Fox Interactive                     | PlayStation | 2000 | Europe
|       | Alien Trilogy                                                                                          | Acclaim                             | PlayStation | 1996 | Europe
|       | All Star Action                                                                                        | Phoenix Games                       | PlayStation | 2003 | Europe
|       | All Star Boxing                                                                                        | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | All Star Racing                                                                                        | Midas Interactive Entertainment     | PlayStation | 2002 | Europe
|       | All Star Racing 2                                                                                      | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | All Star Soccer                                                                                        | Eidos Interactive                   | PlayStation | 1997 | Europe
|       | All Star Tennis                                                                                        | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | All Star Tennis '99                                                                                    | Ubisoft                             | PlayStation | 1998 | Europe
|       | All Star Tennis Yannick Noah 2000                                                                      | Ubisoft                             | PlayStation | 2000 | Europe
|       | All Star Watersports                                                                                   | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Allied General                                                                                         | SSI                                 | PlayStation | 1997 | Europe
|       | Alone in the Dark: Jack is Back                                                                        | Infogrames                          | PlayStation | 1996 | Europe
|       | Alone in the Dark: The New Nightmare                                                                   | Infogrames                          | PlayStation | 2001 | Europe
|       | Alundra 2: A New Legend Begins                                                                         | Activision                          | PlayStation | 2000 | Europe
|       | Amazing Virtual Sea-Monkeys, The                                                                       | SVG Distribution                    | PlayStation | 2002 | Europe
|       | American Pool                                                                                          | Midas Interactive Entertainment     | PlayStation | 2003 | Europe
|       | Amerzone: The Explorer's Legacy                                                                        | Microids                            | PlayStation | 1999 | Europe
|       | Anastasia                                                                                              | Midas Interactive Entertainment     | PlayStation | 2001 | Europe
|       | Andretti Racing                                                                                        | Electronic Arts                     | PlayStation | 1996 | Europe
|       | Animal Football                                                                                        | Phoenix Games                       | PlayStation | 2003 | Europe
|       | Animal Snap: Rescue Them 2 By 2                                                                        | Ignition Entertainment              | PlayStation | 2003 | Europe
|       | Anna Kournikova's Smash Court Tennis                                                                   | SCEE                                | PlayStation | 1999 | Europe
|       | Ape Escape                                                                                             | SCEE                                | PlayStation | 1999 | Europe
|       | Apocalypse                                                                                             | Activision                          | PlayStation | 1998 | Europe
|       | Aqua GT                                                                                                | Take-Two Interactive                | PlayStation | 2001 | Europe
|       | Aquanaut's Holiday                                                                                     | SCEE                                | PlayStation | 1996 | Europe
