|       | .hack: Sekai no Mukou ni+ Versus - Hybrid Pack                                                       | Bandai Namco Games                     | PlayStation 3 | 2012 | Japan
|       | &: Sora no Mukou de Saki Masuyou ni                                                                  | Spike Chunsoft                         | PlayStation 3 | 2013 | Japan
|       | 007: Nagusame no Houshuu                                                                             | Square Enix                            | PlayStation 3 | 2009 | Japan
|       | 2010 FIFA World Cup South Africa                                                                     | EA Sports                              | PlayStation 3 | 2010 | Japan
|       | 2014 FIFA World Cup Brazil                                                                           | EA Sports                              | PlayStation 3 | 2014 | Japan
|       | 3D Dot Game Heroes                                                                                   | From Software                          | PlayStation 3 | 2009 | Japan
|       | 428: Fuusa Sareta Shibuya de                                                                         | Spike                                  | PlayStation 3 | 2009 | Japan
|       | 50 Cent: Blood on the Sand                                                                           | Bethesda Softworks                     | PlayStation 3 | 2009 | Japan
|       | A.C.E.: Another Century's Episode R                                                                  | Bandai Namco Games                     | PlayStation 3 | 2010 | Japan
|       | Accel World: Ginyoku no Kakusei                                                                      | Bandai Namco Games                     | PlayStation 3 | 2012 | Japan
|       | Accel World: Kasoku no Chouten                                                                       | Bandai Namco Games                     | PlayStation 3 | 2013 | Japan
|       | Ace Combat: Assault Horizon                                                                          | Namco Bandai Games                     | PlayStation 3 | 2011 | Japan
|       | Adventure Time: Nameless Oukoku no Sannin no Princess                                                | Bergsala-Lightweight                   | PlayStation 3 | 2016 | Japan
|       | Afrika                                                                                               | SCEI                                   | PlayStation 3 | 2008 | Japan
|       | Agarest Senki                                                                                        | Idea Factory                           | PlayStation 3 | 2007 | Japan
|       | Agarest Senki 2                                                                                      | Compile Heart                          | PlayStation 3 | 2010 | Japan
|       | Agarest Senki Zero                                                                                   | Idea Factory                           | PlayStation 3 | 2009 | Japan
|       | Air Conflicts: Vietnam                                                                               | Ubisoft                                | PlayStation 3 | 2013 | Japan
|       | Akatsuki no Goei Trinity                                                                             | 5pb                                    | PlayStation 3 | 2012 | Japan
|       | AKB1/149: Renai Sousenkyo                                                                            | Bandai Namco Games                     | PlayStation 3 | 2013 | Japan
|       | Akiba's Trip 2                                                                                       | Acquire                                | PlayStation 3 | 2013 | Japan
|       | Akumajou Dracula: Lords of Shadow 2                                                                  | Konami                                 | PlayStation 3 | 2014 | Japan
|       | Alice: Madness Returns                                                                               | Electronic Arts                        | PlayStation 3 | 2011 | Japan
|       | Alone in the Dark                                                                                    | Electronic Arts                        | PlayStation 3 | 2008 | Japan
|       | Amazing Spider-Man 2, The                                                                            | Square Enix                            | PlayStation 3 | 2014 | Japan
|       | Angel Love Online                                                                                    | Sony Online Entertainment              | PlayStation 3 | 2011 | Japan
|       | Angel Senki                                                                                          | Q Entertainment                        | PlayStation 3 | 2011 | Japan
|       | Ao no Eiyuu: Birds of Steel                                                                          | Konami                                 | PlayStation 3 | 2012 | Japan
|       | Aquanaut's Holiday: Kakusareta Kiroku                                                                | SCEI                                   | PlayStation 3 | 2008 | Japan
|       | AquaPazza: AquaPlus Dream Match                                                                      | Aqua Plus                              | PlayStation 3 | 2012 | Japan
|       | Ar Nosurge: Umareizuru  Hoshi e Inoru Uta                                                            | Gust                                   | PlayStation 3 | 2014 | Japan
|       | Ar tonelico III: Sekai Shuuen no Hikigane wa Shoujo no Uta ga Hiku                                   | Bandai Namco Games                     | PlayStation 3 | 2010 | Japan
|       | Arcadias no Ikusahime                                                                                | Nippon Ichi Software                   | PlayStation 3 | 2013 | Japan
|       | Arcana Heart 3                                                                                       | Arc System Works                       | PlayStation 3 | 2011 | Japan
|       | Arcana Heart 3: LOVEMAX!!!!!                                                                         | Arc System Works                       | PlayStation 3 | 2014 | Japan
|       | Armored Core 4                                                                                       | From Software                          | PlayStation 3 | 2006 | Japan
|       | Armored Core V                                                                                       | From Software                          | PlayStation 3 | 2012 | Japan
|       | Armored Core: For Answer                                                                             | From Software                          | PlayStation 3 | 2008 | Japan
|       | Armored Core: Verdict Day                                                                            | From Software                          | PlayStation 3 | 2013 | Japan
|       | Army of Two                                                                                          | EA Games                               | PlayStation 3 | 2008 | Japan
|       | Army of Two: The 40th Day                                                                            | Electronic Arts                        | PlayStation 3 | 2010 | Japan
|       | Army of Two: The Devil's Cartel                                                                      | Electronic Arts                        | PlayStation 3 | 2013 | Japan
|       | Arslan Senki X Musou                                                                                 | Koei Tecmo Games                       | PlayStation 3 | 2015 | Japan
|       | Assassin's Creed                                                                                     | Ubisoft                                | PlayStation 3 | 2008 | Japan
|       | Assassin's Creed I + II Welcome Pack                                                                 | Ubisoft                                | PlayStation 3 | 2012 | Japan
|       | Assassin's Creed II                                                                                  | Ubisoft                                | PlayStation 3 | 2009 | Japan
|       | Assassin's Creed II: Special Edition                                                                 | Ubisoft                                | PlayStation 3 | 2010 | Japan
|       | Assassin's Creed III                                                                                 | Ubisoft                                | PlayStation 3 | 2012 | Japan
|       | Assassin's Creed IV: Black Flag                                                                      | Ubisoft                                | PlayStation 3 | 2013 | Japan
|       | Assassin's Creed Rogue                                                                               | Ubisoft                                | PlayStation 3 | 2014 | Japan
|       | Assassin's Creed: Brotherhood                                                                        | Ubisoft                                | PlayStation 3 | 2010 | Japan
|       | Assassin's Creed: Brotherhood Special Edition                                                        | Ubisoft                                | PlayStation 3 | 2011 | Japan
|       | Assassin's Creed: Connor Saga                                                                        | Ubisoft                                | PlayStation 3 | 2014 | Japan
|       | Assassin's Creed: Ezio Saga                                                                          | Ubisoft                                | PlayStation 3 | 2012 | Japan
|       | Assassin's Creed: Revelations                                                                        | Ubisoft                                | PlayStation 3 | 2011 | Japan
|       | Asura's Wrath                                                                                        | Capcom                                 | PlayStation 3 | 2012 | Japan
|       | Attouteki Yuugi: Mugen Souls                                                                         | Compile Heart                          | PlayStation 3 | 2012 | Japan
|       | Attouteki Yuugi: Mugen Souls Z                                                                       | Compile Heart                          | PlayStation 3 | 2013 | Japan
|       | Ayesha no Atelier: Tasogare no Daichi no Renkinjutsushi                                              | Gust                                   | PlayStation 3 | 2012 | Japan
|       | Bandfuse: Rock Legends                                                                               | Hamster                                | PlayStation 3 | 2013 | Japan
