|       | @field                                                                                               | Sonic Powered                          | PlayStation Vita | 2012 | Japan
|       | &: Sora no Mukou de Saki Masuyou ni                                                                  | Spike Chunsoft                         | PlayStation Vita | 2013 | Japan
|       | 12-Ji no Kane to Cinderella: Cinderella Series Triple Zenkan Pack                                    | Quinrose                               | PlayStation Vita | 2015 | Japan
|       | 12-Toki no Kane to Cinderella Series Triple Zenkan Pack                                              | Quinrose                               | PlayStation Vita | 2015 | Japan
|       | 5-nin no Koi Prince: Himitsu no Keiyaku Kekkon                                                       | Asgard                                 | PlayStation Vita | 2015 | Japan
|       | 7'scarlet                                                                                            | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Abunai Koi no Sousashitsu: Eternal Happiness                                                         | Asgard                                 | PlayStation Vita | 2015 | Japan
|       | Accel World vs. Sword Art Online: Millennium Twilight                                                | Bandai Namco Games                     | PlayStation Vita | 2017 | Japan
|       | Adventure Time: Nameless Oukoku no Sannin no Princess                                                | Bergsala-Lightweight                   | PlayStation Vita | 2016 | Japan
|       | Air                                                                                                  | Prototype                              | PlayStation Vita | 2016 | Japan
|       | Airship Q                                                                                            | Cygames                                | PlayStation Vita | 2015 | Japan
|       | Aiyoku no Eustia: Angel's Blessing                                                                   | dramatic create                        | PlayStation Vita | 2014 | Japan
|       | Akai Suna Ochiru Tsuki                                                                               | HuneX                                  | PlayStation Vita | 2016 | Japan
|       | AKB1/149: Renai Sousenkyo                                                                            | Bandai Namco Games                     | PlayStation Vita | 2012 | Japan
|       | Akiba's Beat                                                                                         | Acquire                                | PlayStation Vita | 2017 | Japan
|       | Akiba's Trip 2                                                                                       | Acquire                                | PlayStation Vita | 2013 | Japan
|       | Alia's Carnival! Sacrament                                                                           | HuneX                                  | PlayStation Vita | 2015 | Japan
|       | Amaekata wa Kanojo Nari ni.                                                                          | Entergram                              | PlayStation Vita | 2017 | Japan
|       | Amagami                                                                                              | Kadokawa                               | PlayStation Vita | 2014 | Japan
|       | Amatsumi Sora ni! Kumo no Hatate ni                                                                  | Prototype                              | PlayStation Vita | 2015 | Japan
|       | Amnesia World                                                                                        | Idea Factory                           | PlayStation Vita | 2014 | Japan
|       | Amnesia: Later x Crowd V. Edition                                                                    | Idea Factory                           | PlayStation Vita | 2014 | Japan
|       | Amnesia: V Edition                                                                                   | Idea Factory                           | PlayStation Vita | 2013 | Japan
|       | Angelique Retour                                                                                     | Koei Tecmo Games                       | PlayStation Vita | 2015 | Japan
|       | Anoko wa Ore Kara Hanarenai                                                                          | TGL                                    | PlayStation Vita | 2014 | Japan
|       | Ao no Kanata no Four Rhythm                                                                          | Piacci                                 | PlayStation Vita | 2016 | Japan
|       | Aoki Kakumeki no Valkyria                                                                            | Sega                                   | PlayStation Vita | 2017 | Japan
|       | Aoki Kakumeki no Valkyria                                                                            | Sega                                   | PlayStation Vita | 2017 | Japan
|       | Ar Nosurge Plus: Umareizuru Hoshi e Inoru Uta                                                        | Gust                                   | PlayStation Vita | 2014 | Japan
|       | Arcana Famiglia: La storia della Aracana Famiglia - Ancora                                           | Quality Confidence                     | PlayStation Vita | 2015 | Japan
|       | Arcana Heart 3: LOVEMAX!!!!!                                                                         | Arc System Works                       | PlayStation Vita | 2014 | Japan
|       | Asphalt: Injection                                                                                   | Konami                                 | PlayStation Vita | 2011 | Japan
|       | Assassin's Creed Chronicles                                                                          | Ubisoft                                | PlayStation Vita | 2016 | Japan
|       | Assassin's Creed III: Lady Liberty                                                                   | Ubisoft                                | PlayStation Vita | 2012 | Japan
|       | AstralAir no Shiroki Eien: White Eternity                                                            | HuneX                                  | PlayStation Vita | 2016 | Japan
|       | Ayakashi Gohan: Oomori!                                                                              | Asgard                                 | PlayStation Vita | 2015 | Japan
|       | Ayesha no Atelier Plus: Koukon No Daichi No Renkinjutsu                                              | Gust                                   | PlayStation Vita | 2014 | Japan
|       | Bad Apple Wars                                                                                       | Idea Factory                           | PlayStation Vita | 2015 | Japan
|       | Bakumatsu Rock: Ultra Soul                                                                           | Marvelous Inc.                         | PlayStation Vita | 2014 | Japan
|       | Bara ni Kakusareshi Verite                                                                           | Idea Factory                           | PlayStation Vita | 2016 | Japan
|       | Batman: Arkham Begins Blackgate                                                                      | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | Japan
|       | Believer!                                                                                            | D3Publisher                            | PlayStation Vita | 2015 | Japan
|       | Berserk Musou                                                                                        | Koei Tecmo Games                       | PlayStation Vita | 2016 | Japan
|       | BinaryStar                                                                                           | Idea Factory                           | PlayStation Vita | 2014 | Japan
|       | BioHazard: Revelations 2                                                                             | Capcom                                 | PlayStation Vita | 2015 | Japan
|       | Bitter Smile.                                                                                        | TGL                                    | PlayStation Vita | 2013 | Japan
