|       | A Rose in the Twilight                                                 | NIS America                            | PlayStation Vita | 2017 | North America
|       | Aegis of Earth: Protonovus Assault                                     | Aksys Games                            | PlayStation Vita | 2016 | North America
|       | Akiba's Beat                                                           | Xseed Games                            | PlayStation Vita | 2017 | North America
|       | Akiba's Trip: Undead & Undressed                                       | Xseed Games                            | PlayStation Vita | 2014 | North America
|       | Amazing Spider-Man, The                                                | Activision                             | PlayStation Vita | 2013 | North America
|       | Angry Birds Star Wars                                                  | Activision                             | PlayStation Vita | 2013 | North America
|       | Aqua Kitty: Milk Mine Defender DX                                      | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Ar nosurge Plus: Ode to an Unborn Star                                 | Koei Tecmo Games                       | PlayStation Vita | 2015 | North America
|       | Arcana Heart 3: LOVEMAX!!!!!                                           | Aksys Games                            | PlayStation Vita | 2014 | North America
|       | Army Corps of Hell                                                     | Square Enix                            | PlayStation Vita | 2012 | North America
|       | Asphalt: Injection                                                     | Ubisoft                                | PlayStation Vita | 2012 | North America
|       | Assassin's Creed Chronicles                                            | Ubisoft                                | PlayStation Vita | 2016 | North America
|       | Assassin's Creed III: Liberation                                       | Ubisoft                                | PlayStation Vita | 2012 | North America
|       | Atelier Escha & Logy Plus: Alchemists of the Dusk Sky                  | Koei Tecmo Games                       | PlayStation Vita | 2016 | North America
|       | Atelier Firis: The Alchemist and the Mysterious Journey                | Koei Tecmo Games                       | PlayStation Vita | 2017 | North America
|       | Atelier Shallie Plus: Alchemists of the Dusk Sea                       | Koei Tecmo Games                       | PlayStation Vita | 2017 | North America
|       | Axiom Verge                                                            | Tom Happ                               | PlayStation Vita | 2017 | North America
|       | Bad Apple Wars                                                         | Aksys Games                            | PlayStation Vita | 2017 | North America
|       | Batman: Arkham Origins Blackgate                                       | Warner Bros. Interactive Entertainment | PlayStation Vita | 2013 | North America
|       | Ben 10: Galactic Racing                                                | D3Publisher                            | PlayStation Vita | 2012 | North America
|       | Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien             | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | BlazBlue: Chrono Phantasma                                             | Aksys Games                            | PlayStation Vita | 2014 | North America
|       | BlazBlue: Chrono Phantasma Extend                                      | Aksys Games                            | PlayStation Vita | 2015 | North America
|       | BlazBlue: Continuum Shift Extend                                       | Aksys Games                            | PlayStation Vita | 2012 | North America
|       | Borderlands 2                                                          | SCEA                                   | PlayStation Vita | 2014 | North America
|       | Breach & Clear                                                         | Limited Run Games                      | PlayStation Vita | 2015 | North America
|       | Broken Age                                                             | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Call of Duty: Black Ops Declassified                                   | Activision                             | PlayStation Vita | 2012 | North America
|       | Child of Light                                                         | Ubisoft                                | PlayStation Vita | 2015 | North America
|       | Code:Realize - Guardian of Rebirth                                     | Aksys Games                            | PlayStation Vita | 2015 | North America
|       | Collar x Malice                                                        | Aksys Games                            | PlayStation Vita | 2017 | North America
|       | Conception II: Children of the Seven Stars                             | ATLUS                                  | PlayStation Vita | 2014 | North America
|       | Corpse Party: Blood Drive                                              | Xseed Games                            | PlayStation Vita | 2015 | North America
|       | Criminal Girls 2: Party Favors                                         | NIS America                            | PlayStation Vita | 2016 | North America
|       | Criminal Girls: Invite Only                                            | NIS America                            | PlayStation Vita | 2015 | North America
|       | Curses 'N Chaos                                                        | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Danganronpa 2: Goodbye Despair                                         | NIS America                            | PlayStation Vita | 2014 | North America
|       | Danganronpa Another Episode: Ultra Despair Girls                       | NIS America                            | PlayStation Vita | 2015 | North America
|       | Danganronpa V3: Killing Harmony                                        | NIS America                            | PlayStation Vita | 2017 | North America
|       | Danganronpa: Trigger Happy Havoc                                       | NIS America                            | PlayStation Vita | 2014 | North America
|       | Dead or Alive 5 Plus                                                   | Tecmo Koei America Corp.               | PlayStation Vita | 2013 | North America
|       | Deception IV: Blood Ties                                               | Koei Tecmo Games                       | PlayStation Vita | 2014 | North America
|       | Deemo: The Last Recital                                                | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Deemo: The Last Recital                                                | Limited Run Games                      | PlayStation Vita | 2017 | North America
|       | Demon Gaze                                                             | NIS America                            | PlayStation Vita | 2014 | North America
|       | Dengeki Bunko: Fighting Climax                                         | Sega                                   | PlayStation Vita | 2015 | North America
|       | Disgaea 3: Absence of Detention                                        | NIS America                            | PlayStation Vita | 2012 | North America
|       | Disgaea 4: A Promise Revisited                                         | NIS America                            | PlayStation Vita | 2014 | North America
