|       | Ace of Aces                                               | Sega                | Sega Master System | 1991 | Europe
|       | Action Fighter                                            | Sega                | Sega Master System | 1986 | Europe
|       | Addams Family, The                                        | Flying Edge         | Sega Master System | 1992 | Europe
|       | Aerial Assault                                            | Sega                | Sega Master System | 1990 | Europe
|       | After Burner                                              | Sega                | Sega Master System | 1988 | Europe
|       | Air Rescue                                                | Sega                | Sega Master System | 1992 | Europe
|       | Alex Kidd in Miracle World                                | Sega                | Sega Master System | 1986 | Europe
|       | Alex Kidd in Shinobi World                                | Sega                | Sega Master System | 1990 | Europe
|       | Alex Kidd: High-Tech World                                | Sega                | Sega Master System | 1989 | Europe
|       | Alex Kidd: The Lost Stars                                 | Sega                | Sega Master System | 1988 | Europe
|       | Alien 3                                                   | Arena               | Sega Master System | 1992 | Europe
|       | Alien Storm                                               | Sega                | Sega Master System | 1991 | Europe
|       | Alien Syndrome                                            | Sega                | Sega Master System | 1988 | Europe
|       | Altered Beast                                             | Sega                | Sega Master System | 1989 | Europe
|       | American Baseball                                         | Sega                | Sega Master System | 1988 | Europe
|       | American Pro Football                                     | Sega                | Sega Master System | 1989 | Europe
|       | Andre Agassi Tennis                                       | Sega                | Sega Master System | 1993 | Europe
|       | Arcade Smash Hits                                         | Sega                | Sega Master System | 1992 | Europe
|       | Assault City                                              | Sega                | Sega Master System | 1990 | Europe
|       | Asterix                                                   | Sega                | Sega Master System | 1991 | Europe
|       | Asterix and the Great Rescue                              | Sega                | Sega Master System | 1993 | Europe
|       | Asterix and the Secret Mission                            | Sega                | Sega Master System | 1993 | Europe
|       | Astro Warrior                                             | Sega                | Sega Master System | 1988 | Europe
|       | Astro Warrior / Pit Pot                                   | Sega                | Sega Master System | 1986 | Europe
|       | Ayrton Senna's Super Monaco GP II                         | Sega                | Sega Master System | 1992 | Europe
|       | Aztec Adventure                                           | Sega                | Sega Master System | 1988 | Europe
|       | Back to the Future Part II                                | Imageworks          | Sega Master System | 1990 | Europe
|       | Back to the Future Part III                               | Imageworks          | Sega Master System | 1993 | Europe
