|       | A-Rank Thunder Tanjouhen                                  | Riot                                  | Sega CD | 1993 | Japan
|       | Advanced Dungeons & Dragons: Eye of the Beholder          | Pony Canyon                           | Sega CD | 1994 | Japan
|       | After Armageddon Gaiden: Majuu Toushouden Eclipse         | Sega                                  | Sega CD | 1994 | Japan
|       | After Burner III                                          | CRI                                   | Sega CD | 1992 | Japan
|       | Aisle Lord                                                | Wolf Team                             | Sega CD | 1992 | Japan
|       | Alshark                                                   | Polydor                               | Sega CD | 1993 | Japan
|       | Annet Futatabi                                            | Wolf Team                             | Sega CD | 1993 | Japan
|       | Aoki Ookami to Shiroki Mejika: Genchou Hishi              | Koei                                  | Sega CD | 1993 | Japan
|       | Arcus 1-2-3                                               | Wolf Team                             | Sega CD | 1993 | Japan
|       | Arslan Senki                                              | Sega                                  | Sega CD | 1993 | Japan
|       | AX-101                                                    | Sega                                  | Sega CD | 1994 | Japan
|       | Bakuden Unbalance Zone                                    | Sony Music Entertainment Incorporated | Sega CD | 1994 | Japan
|       | Bari-Arm                                                  | Human Entertainment                   | Sega CD | 1993 | Japan
|       | Battle Fantasy                                            | Micronet                              | Sega CD | 1994 | Japan
|       | Battlecorps                                               | Victor Interactive Software           | Sega CD | 1994 | Japan
|       | Black Hole Assault                                        | Micronet                              | Sega CD | 1992 | Japan
|       | Burai: Hachigyoku no Yuushi Densetsu                      | Sega                                  | Sega CD | 1992 | Japan
|       | Capcom no Quiz: Tonosama no Yabou                         | Capcom                                | Sega CD | 1992 | Japan
|       | Captain Tsubasa                                           | Tecmo                                 | Sega CD | 1994 | Japan
|       | Cosmic Fantasy Stories                                    | Riot                                  | Sega CD | 1992 | Japan
|       | Cyborg 009                                                | Telenet Japan                         | Sega CD | 1993 | Japan
|       | Dai Fushinden                                             | Victor Interactive Software           | Sega CD | 1995 | Japan
|       | Dark Wizard: Yomigaerishi Yami no Madoushi                | Sega                                  | Sega CD | 1993 | Japan
|       | Death Bringer: The Knight of Darkness                     | Riot                                  | Sega CD | 1992 | Japan
|       | Dennin Aleste                                             | Compile                               | Sega CD | 1992 | Japan
|       | Detonator Organ                                           | Hot-B                                 | Sega CD | 1992 | Japan
|       | Devastator                                                | Wolf Team                             | Sega CD | 1993 | Japan
|       | Double Switch                                             | Sega                                  | Sega CD | 1995 | Japan
|       | Dragon's Lair                                             | Sega                                  | Sega CD | 1994 | Japan
|       | Dungeon Master II: Skullkeep                              | Victor Interactive Software           | Sega CD | 1994 | Japan
|       | Dynamic Country Club                                      | Sega                                  | Sega CD | 1993 | Japan
|       | Earnest Evans                                             | Wolf Team                             | Sega CD | 1991 | Japan
|       | Ecco the Dolphin CD                                       | Sega                                  | Sega CD | 1995 | Japan
|       | Egawa Suguro no Super League CD                           | Sega                                  | Sega CD | 1993 | Japan
|       | F1 Circus CD                                              | Nichibutsu                            | Sega CD | 1994 | Japan
|       | Final Fight CD                                            | Sega                                  | Sega CD | 1993 | Japan
|       | Gambler Jiko Chuushinha 2: Gekitou Tokyo Mahjong Land Hen | Game Arts                             | Sega CD | 1992 | Japan
|       | Gambler Jiko Chuushinha 2: Gekitou Tokyo Mahjong Land Hen | Game Arts                             | Sega CD | 1992 | Japan
|       | Game no Kanzume Vol. 1                                    | Sega                                  | Sega CD | 1994 | Japan
|       | Game no Kanzume Vol. 2                                    | Sega                                  | Sega CD | 1994 | Japan
|       | Garou Densetsu Special                                    | Victor Interactive Software           | Sega CD | 1995 | Japan
|       | Genei Toshi: Illusion City                                | Micro Cabin                           | Sega CD | 1993 | Japan
|       | Heavenly Symphony: Formula One World Championship 1993    | Sega                                  | Sega CD | 1994 | Japan
|       | Heavy Nova                                                | Micronet                              | Sega CD | 1991 | Japan
|       | Heimdall                                                  | Victor Interactive Software           | Sega CD | 1994 | Japan
|       | Ishii Hisaichi no Daisekai                                | Sega                                  | Sega CD | 1994 | Japan
|       | Jaguar XJ220                                              | Victor Interactive Software           | Sega CD | 1993 | Japan
|       | Jangou World Cup                                          | Victor Interactive Software           | Sega CD | 1993 | Japan
|       | Jurassic Park                                             | Sega                                  | Sega CD | 1994 | Japan
|       | Kamen Rider ZO                                            | Toei Animation                        | Sega CD | 1994 | Japan
|       | Keio Yugekitai                                            | Victor Interactive Software           | Sega CD | 1993 | Japan
|       | Lethal Enforcers                                          | Konami                                | Sega CD | 1993 | Japan
|       | Lethal Enforcers II: The Western                          | Konami                                | Sega CD | 1994 | Japan
|       | Lodoss Tou Senki: Eiyuu Sensou                            | Sega                                  | Sega CD | 1994 | Japan
|       | Lunar: Eternal Blue                                       | Game Arts                             | Sega CD | 1994 | Japan
|       | Lunar: Silver Star                                        | Game Arts                             | Sega CD | 1992 | Japan
|       | Mahou no Shoujo: Silky Lip                                | Riot                                  | Sega CD | 1992 | Japan
|       | Mega Schwarzschild                                        | Sega                                  | Sega CD | 1993 | Japan
|       | Microcosm                                                 | Victor Interactive Software           | Sega CD | 1994 | Japan
|       | Might and Magic III: Isles of Terra                       | CRI                                   | Sega CD | 1993 | Japan
