|       | 3 Ninjas Kick Back / Hook                             | Sony Imagesoft               | Sega CD | 1994 | North America
|       | A/X-101                                               | Absolute Entertainment       | Sega CD | 1994 | North America
|       | Advanced Dungeons & Dragons: Eye of the Beholder      | Sega                         | Sega CD | 1994 | North America
|       | Adventures of Batman & Robin, The                     | Sega                         | Sega CD | 1995 | North America
|       | Adventures of Willy Beamish, The                      | Dynamix                      | Sega CD | 1993 | North America
|       | After Burner III                                      | Sega                         | Sega CD | 1992 | North America
|       | AH-3 Thunderstrike                                    | JVC Digital Studios          | Sega CD | 1993 | North America
|       | Amazing Spider-Man vs. the Kingpin, The               | Sega                         | Sega CD | 1993 | North America
|       | Android Assault: The Revenge of Bari-Arm              | Big Fun Games                | Sega CD | 1994 | North America
|       | Batman Returns                                        | Sega                         | Sega CD | 1993 | North America
|       | Battlecorps                                           | Time Warner Interactive      | Sega CD | 1993 | North America
|       | BC Racers                                             | Time Warner Interactive      | Sega CD | 1994 | North America
|       | Bill Walsh College Football                           | EA Sports                    | Sega CD | 1993 | North America
|       | Black Hole Assault                                    | Bignet                       | Sega CD | 1992 | North America
|       | Bouncers                                              | Sega                         | Sega CD | 1994 | North America
|       | Bram Stoker's Dracula                                 | Sony Imagesoft               | Sega CD | 1994 | North America
|       | Brutal: Paws of Fury                                  | GameTek                      | Sega CD | 1993 | North America
|       | Cadillacs and Dinosaurs: The Second Cataclysm         | Rocket Science Games         | Sega CD | 1994 | North America
|       | Championship Soccer '94                               | Sony Imagesoft               | Sega CD | 1994 | North America
|       | Chuck Rock                                            | Sony Imagesoft               | Sega CD | 1992 | North America
|       | Chuck Rock II: Son of Chuck                           | Virgin Interactive           | Sega CD | 1993 | North America
|       | Cliffhanger                                           | Sony Imagesoft               | Sega CD | 1993 | North America
|       | Cobra Command                                         | Data East                    | Sega CD | 1992 | North America
|       | Colors of Modern Rock                                 | Sega                         | Sega CD | 1993 | North America
|       | Compton's Interactive Encyclopedia                    | Sega                         | Sega CD | 1994 | North America
|       | Corpse Killer                                         | Digital Pictures             | Sega CD | 1994 | North America
|       | Crime Patrol                                          | American Laser Games         | Sega CD | 1994 | North America
|       | Dark Wizard                                           | Sega                         | Sega CD | 1994 | North America
|       | Demolition Man                                        | Acclaim                      | Sega CD | 1995 | North America
|       | Double Switch                                         | Sega                         | Sega CD | 1993 | North America
|       | Dracula Unleashed                                     | Sega                         | Sega CD | 1993 | North America
|       | Dragon's Lair                                         | ReadySoft                    | Sega CD | 1994 | North America
|       | Dune                                                  | Virgin Interactive           | Sega CD | 1993 | North America
|       | Dungeon Explorer                                      | Sega                         | Sega CD | 1994 | North America
|       | Dungeon Master II: Skullkeep                          | JVC Digital Studios          | Sega CD | 1994 | North America
|       | Earthworm Jim: Special Edition                        | Playmates                    | Sega CD | 1995 | North America
|       | Ecco the Dolphin                                      | Sega                         | Sega CD | 1993 | North America
|       | Ecco: The Tides of Time                               | Sega                         | Sega CD | 1994 | North America
|       | ESPN Baseball Tonight                                 | Sony Imagesoft               | Sega CD | 1993 | North America
|       | ESPN National Hockey Night                            | Sony Imagesoft               | Sega CD | 1994 | North America
|       | ESPN NBA HangTime '95                                 | Sony Imagesoft               | Sega CD | 1994 | North America
|       | ESPN Sunday Night NFL                                 | Sony Imagesoft               | Sega CD | 1993 | North America
|       | Eternal Champions: Challenge from the Dark Side       | Sega                         | Sega CD | 1994 | North America
|       | Fatal Fury Special                                    | JVC Digital Studios          | Sega CD | 1995 | North America
|       | FIFA International Soccer                             | EA Sports                    | Sega CD | 1994 | North America
|       | Final Fight CD                                        | Sega                         | Sega CD | 1993 | North America
|       | Flashback: The Quest for Identity                     | U.S. Gold                    | Sega CD | 1994 | North America
|       | Flink                                                 | Vic Tokai                    | Sega CD | 1994 | North America
|       | Formula One World Championship: Beyond the Limit      | Sega                         | Sega CD | 1994 | North America
|       | Ground Zero Texas                                     | Sony Imagesoft               | Sega CD | 1993 | North America
|       | Heart of the Alien: Out of this World Parts I and II  | Virgin Interactive           | Sega CD | 1994 | North America
|       | Heimdall                                              | JVC Digital Studios          | Sega CD | 1994 | North America
|       | Hook                                                  | Sony Imagesoft               | Sega CD | 1992 | North America
