|       | Advanced Dungeons & Dragons: Eye of the Beholder | Sega                    | Sega CD | 1994 | Europe
|       | Adventures of Batman & Robin, The                | Sega                    | Sega CD | 1995 | Europe
|       | After Burner III                                 | Sega                    | Sega CD | 1993 | Europe
|       | Amazing Spider-Man vs. the Kingpin, The          | Sega                    | Sega CD | 1993 | Europe
|       | Batman Returns                                   | Sega                    | Sega CD | 1993 | Europe
|       | Battle Frenzy                                    | Domark                  | Sega CD | 2004 | Europe
|       | Battlecorps                                      | Core Design Ltd.        | Sega CD | 1994 | Europe
|       | BC Racers                                        | Core Design Ltd.        | Sega CD | 1994 | Europe
|       | Beast II                                         | Psygnosis               | Sega CD | 1994 | Europe
|       | Bill Walsh College Football                      | EA Sports               | Sega CD | 1993 | Europe
|       | Black Hole Assault                               | Sega                    | Sega CD | 1993 | Europe
|       | Brutal: Paws of Fury                             | GameTek                 | Sega CD | 1994 | Europe
|       | Chuck Rock                                       | Sony Imagesoft          | Sega CD | 1993 | Europe
|       | Chuck Rock II: Son of Chuck                      | Virgin Interactive      | Sega CD | 1993 | Europe
|       | Cobra Command                                    | Sega                    | Sega CD | 1992 | Europe
|       | Corpse Killer                                    | Digital Pictures        | Sega CD | 1994 | Europe
|       | Double Switch                                    | Sega                    | Sega CD | 1993 | Europe
|       | Dracula Unleashed                                | Sega                    | Sega CD | 1994 | Europe
|       | Dragon's Lair                                    | Sega                    | Sega CD | 1994 | Europe
|       | Dune                                             | Virgin Interactive      | Sega CD | 1993 | Europe
|       | Dungeon Explorer                                 | Sega                    | Sega CD | 1994 | Europe
|       | Dungeon Master II: Skullkeep                     | JVC Digital Studios     | Sega CD | 1994 | Europe
|       | Earthworm Jim: Special Edition                   | Virgin Interactive      | Sega CD | 1995 | Europe
|       | Ecco the Dolphin                                 | Sega                    | Sega CD | 1993 | Europe
|       | Ecco: The Tides of Time                          | Sega                    | Sega CD | 1994 | Europe
|       | ESPN Baseball Tonight                            | Sony Imagesoft          | Sega CD | 1994 | Europe
|       | Eternal Champions: Challenge from the Dark Side  | Sega                    | Sega CD | 1995 | Europe
|       | Fatal Fury Special                               | JVC Digital Studios     | Sega CD | 1995 | Europe
|       | FIFA International Soccer: Championship Edition  | Electronic Arts         | Sega CD | 1994 | Europe
|       | Final Fight CD                                   | Sega                    | Sega CD | 1993 | Europe
|       | Flink                                            | Psygnosis               | Sega CD | 1994 | Europe
|       | Flux: Audio Visual Experience                    | Virgin Interactive      | Sega CD | 1995 | Europe
|       | Formula One World Championship: Beyond the Limit | Sega                    | Sega CD | 1994 | Europe
|       | Ground Zero Texas                                | Sony Imagesoft          | Sega CD | 1993 | Europe
|       | Hook                                             | Sony Imagesoft          | Sega CD | 1993 | Europe
|       | INXS: Make My Video                              | Sega                    | Sega CD | 1993 | Europe
|       | Jaguar XJ220                                     | Sega                    | Sega CD | 1993 | Europe
|       | Jurassic Park                                    | Sega                    | Sega CD | 1993 | Europe
|       | Keio Flying Squadron                             | JVC Digital Studios     | Sega CD | 1994 | Europe
|       | Kids On Site                                     | Digital Pictures        | Sega CD | 1994 | Europe
|       | Kris Kross: Make My Video                        | Sony Imagesoft          | Sega CD | 1992 | Europe
|       | Lawnmower Man, The                               | Time Warner Interactive | Sega CD | 1994 | Europe
|       | Lethal Enforcers                                 | Konami                  | Sega CD | 1993 | Europe
|       | Lethal Enforcers II: Gun Fighters                | Konami                  | Sega CD | 1994 | Europe
|       | Lords of Thunder                                 | Virgin Interactive      | Sega CD | 1995 | Europe
|       | Marko's Magic Football                           | Domark                  | Sega CD | 1994 | Europe
|       | Mickey Mania                                     | Sony Imagesoft          | Sega CD | 1994 | Europe
|       | Microcosm                                        | Psygnosis               | Sega CD | 1993 | Europe
|       | Midnight Raiders                                 | Sega                    | Sega CD | 1994 | Europe
|       | Mighty Morphin Power Rangers                     | Sega                    | Sega CD | 1995 | Europe
|       | Mortal Kombat                                    | Arena                   | Sega CD | 1994 | Europe
|       | NBA Jam                                          | Acclaim                 | Sega CD | 1994 | Europe
|       | NHL Hockey '94                                   | EA Sports               | Sega CD | 1993 | Europe
|       | Night Trap                                       | Sega                    | Sega CD | 1993 | Europe
|       | Novastorm                                        | Psygnosis               | Sega CD | 1994 | Europe
|       | Pitfall: The Mayan Adventure                     | Activision              | Sega CD | 1994 | Europe
|       | Power Factory Featuring C+C Music Factory        | Sony Imagesoft          | Sega CD | 1992 | Europe
|       | Power Monger                                     | Electronic Arts         | Sega CD | 1994 | Europe
|       | Prince of Persia                                 | Sega                    | Sega CD | 1993 | Europe
|       | Prize Fighter                                    | Sega                    | Sega CD | 1994 | Europe
|       | Puggsy                                           | Psygnosis               | Sega CD | 1993 | Europe
|       | Road Avenger                                     | Wolf Team               | Sega CD | 1993 | Europe
|       | Robo Aleste                                      | Sega                    | Sega CD | 1993 | Europe
|       | Samurai Shodown                                  | JVC Digital Studios     | Sega CD | 1995 | Europe
|       | San Diego Zoo Presents: The Animals!, The        | Software Toolworks      | Sega CD | 1994 | Europe
|       | Sega Classics Arcade Collection: Limited Edition | Sega                    | Sega CD | 1992 | Europe
|       | Sensible Soccer                                  | Sony Imagesoft          | Sega CD | 1993 | Europe
|       | Sewer Shark                                      | Sony Imagesoft          | Sega CD | 1993 | Europe
|       | Sherlock Holmes Consulting Detective Vol. II     | Sega                    | Sega CD | 1994 | Europe
|       | Sherlock Holmes: Consulting Detective            | Sega                    | Sega CD | 1992 | Europe
|       | Shining Force CD                                 | Sega                    | Sega CD | 1995 | Europe
|       | Silpheed                                         | Sega                    | Sega CD | 1993 | Europe
|       | Slam City with Scottie Pippen                    | Digital Pictures        | Sega CD | 1994 | Europe
|       | Smurfs, The                                      | Infogrames              | Sega CD | 1994 | Europe
|       | Snatcher                                         | Konami                  | Sega CD | 1994 | Europe
|       | Software Toolworks' Star Wars Chess, The         | Mindscape               | Sega CD | 1994 | Europe
|       | Sol-Feace                                        | Sega                    | Sega CD | 1992 | Europe
|       | Sonic CD                                         | Sega                    | Sega CD | 1993 | Europe
|       | SoulStar                                         | Core Design Ltd.        | Sega CD | 1994 | Europe
|       | Space Adventure, The                             | Virgin Interactive      | Sega CD | 1995 | Europe
|       | Star Wars: Rebel Assault                         | JVC Digital Studios     | Sega CD | 1994 | Europe
|       | Starblade                                        | Sega                    | Sega CD | 1994 | Europe
|       | Supreme Warrior                                  | Digital Pictures        | Sega CD | 1994 | Europe
|       | Surgical Strike                                  | Sega                    | Sega CD | 1995 | Europe
|       | Syndicate                                        | Domark                  | Sega CD | 1994 | Europe
|       | Terminator, The                                  | Virgin Interactive      | Sega CD | 1993 | Europe
|       | Theme Park                                       | Domark                  | Sega CD | 1995 | Europe
|       | Thunderhawk                                      | Core Design Ltd.        | Sega CD | 1993 | Europe
|       | Time Gal                                         | Sega                    | Sega CD | 1993 | Europe
|       | Tomcat Alley                                     | Sega                    | Sega CD | 1994 | Europe
|       | Wolfchild                                        | Sega                    | Sega CD | 1993 | Europe
|       | Wonder Dog                                       | Sega                    | Sega CD | 1993 | Europe
|       | World Cup USA 94                                 | U.S. Gold               | Sega CD | 1993 | Europe
|       | WWF Rage in the Cage                             | Arena                   | Sega CD | 1994 | Europe
|       | Yumemi Mystery Mansion                           | Sega                    | Sega CD | 1993 | Europe
