|       | 007 Shitou                                                   | Tengen                       | Sega Genesis | 1993 | Japan
|       | 2020 Super Baseball                                          | Electronic Arts Victor       | Sega Genesis | 1994 | Japan
|       | A-Ressha de Ikou MD                                          | Sega                         | Sega Genesis | 1992 | Japan
|       | Aa Harimanada                                                | Sega                         | Sega Genesis | 1993 | Japan
|       | Advanced Busterhawk Gley Lancer                              | NCS                          | Sega Genesis | 1992 | Japan
|       | Advanced Daisenryaku: Deutsch Dengeki Sakusen                | Sega                         | Sega Genesis | 1991 | Japan
|       | Aero Blasters                                                | Kaneko                       | Sega Genesis | 1991 | Japan
|       | After Burner II                                              | Dempa Shinbunsha             | Sega Genesis | 1990 | Japan
|       | Air Diver                                                    | Asmik Ace Entertainment, Inc | Sega Genesis | 1990 | Japan
|       | Air Management II: Koukuu-Ou o Mezase                        | Koei                         | Sega Genesis | 1994 | Japan
|       | Air Management: Oozora ni Kakeru                             | Koei                         | Sega Genesis | 1992 | Japan
|       | Alex Kidd: Tenkuu Mashiro                                    | Sega                         | Sega Genesis | 1989 | Japan
|       | Alien Soldier                                                | Sega                         | Sega Genesis | 1995 | Japan
|       | Alien Storm                                                  | Sega                         | Sega Genesis | 1991 | Japan
|       | Alisia Dragoon                                               | Game Arts                    | Sega Genesis | 1992 | Japan
|       | Aoki Ookami to Shiroki Mejika: Genchou Hishi                 | Koei                         | Sega Genesis | 1993 | Japan
|       | Arcus Odyssey                                                | Wolf Team                    | Sega Genesis | 1991 | Japan
|       | Arrow Flash                                                  | Sega                         | Sega Genesis | 1990 | Japan
|       | Art Alive                                                    | Sega                         | Sega Genesis | 1992 | Japan
|       | Assault Suit Leynos                                          | NCS                          | Sega Genesis | 1990 | Japan
|       | Atomic Robo-Kid                                              | Treco                        | Sega Genesis | 1990 | Japan
|       | Awesome Possum                                               | Tengen                       | Sega Genesis | 1993 | Japan
|       | Ayrton Senna's Super Monaco GP II                            | Sega                         | Sega Genesis | 1992 | Japan
|       | Bad Omen                                                     | Hot-B                        | Sega Genesis | 1992 | Japan
|       | Bahamut Senki                                                | Sega                         | Sega Genesis | 1991 | Japan
|       | Ball Jacks                                                   | Namco                        | Sega Genesis | 1993 | Japan
|       | Bare Knuckle II: Shitou no Chinkon Uta                       | Sega                         | Sega Genesis | 1993 | Japan
|       | Bare Knuckle III                                             | Sega                         | Sega Genesis | 1994 | Japan
|       | Bare Knuckle: Ikari no Tekken                                | Sega                         | Sega Genesis | 1991 | Japan
