|       | 2Tax Gold                                                                                             | Human Entertainment           | Sega Saturn | 1997 | Japan
|       | 3D Baseball: The Majors                                                                               | BMG Interactive Entertainment | Sega Saturn | 1997 | Japan
|       | 3D Lemmings                                                                                           | Imagineer                     | Sega Saturn | 1996 | Japan
|       | 3X3 Eyes: Kyuusei Koushu S                                                                            | Nippon Create                 | Sega Saturn | 1996 | Japan
|       | 6 Inch My Darling                                                                                     | Kid                           | Sega Saturn | 1998 | Japan
|       | Actua Golf                                                                                            | Naxat Soft                    | Sega Saturn | 1997 | Japan
|       | Actua Soccer                                                                                          | Naxat Soft                    | Sega Saturn | 1996 | Japan
|       | Advanced V.G.                                                                                         | TGL                           | Sega Saturn | 1997 | Japan
|       | Advanced World War: Sennen Teikoku no Koubou                                                          | Sega                          | Sega Saturn | 1997 | Japan
|       | AI Igo: Saturn Version                                                                                | ASCII Something Good          | Sega Saturn | 1997 | Japan
|       | AI Shogi                                                                                              | Soft Bank                     | Sega Saturn | 1995 | Japan
|       | AI Shogi 2                                                                                            | ASCII Entertainment           | Sega Saturn | 1998 | Japan
|       | Air Management '96                                                                                    | Koei                          | Sega Saturn | 1996 | Japan
|       | Airs Adventure                                                                                        | Game Studio                   | Sega Saturn | 1996 | Japan
|       | Akumajou Dracula X: Gekka no Yasoukyoku                                                               | Konami                        | Sega Saturn | 1998 | Japan
|       | Albert Odyssey Gaiden: Legend of Eldean                                                               | SunSoft                       | Sega Saturn | 1996 | Japan
|       | Album Club: Mune Kyun * Saint Poria Jogakuin                                                          | Societa                       | Sega Saturn | 1997 | Japan
|       | Alien Trilogy                                                                                         | Acclaim Japan                 | Sega Saturn | 1996 | Japan
|       | All-Japan Pro Wrestling featuring Virtua                                                              | Sega                          | Sega Saturn | 1997 | Japan
|       | Alone in the Dark 2                                                                                   | Electronic Arts Victor        | Sega Saturn | 1996 | Japan
|       | Amagi Shien                                                                                           | Creep House                   | Sega Saturn | 1997 | Japan
|       | America Oudan Ultra Quiz                                                                              | Victor Interactive Software   | Sega Saturn | 1995 | Japan
|       | Amok                                                                                                  | Koei                          | Sega Saturn | 1997 | Japan
