|       | 3D Lemmings                                                    | Psygnosis                     | Sega Saturn | 1996 | Europe
|       | Actua Golf                                                     | Gremlin Interactive           | Sega Saturn | 1997 | Europe
|       | Actua Soccer: Club Edition                                     | Gremlin Interactive           | Sega Saturn | 1996 | Europe
|       | Alien Trilogy                                                  | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Alone in the Dark: Jack is Back                                | Infogrames                    | Sega Saturn | 1996 | Europe
|       | Amok                                                           | Sega                          | Sega Saturn | 1997 | Europe
|       | Andretti Racing                                                | Electronic Arts               | Sega Saturn | 1996 | Europe
|       | Area 51                                                        | Midway                        | Sega Saturn | 1997 | Europe
|       | Athlete Kings                                                  | Sega                          | Sega Saturn | 1995 | Europe
|       | Atlantis: Secrets d'un monde oublie                            | Cryo Interactive              | Sega Saturn | 1997 | Europe
|       | Baku Baku                                                      | Sega                          | Sega Saturn | 1998 | Europe
|       | Batman Forever: The Arcade Game                                | Acclaim                       | Sega Saturn | 1997 | Europe
|       | Battle Arena Toshinden Remix                                   | Sega                          | Sega Saturn | 1996 | Europe
|       | Battle Arena Toshinden URA                                     | Sega                          | Sega Saturn | 1996 | Europe
|       | Battle Monsters                                                | Acclaim                       | Sega Saturn | 1995 | Europe
|       | Battle Stations                                                | Electronic Arts               | Sega Saturn | 1997 | Europe
|       | Black Dawn                                                     | Virgin Interactive            | Sega Saturn | 1997 | Europe
|       | Black Fire                                                     | Virgin Interactive            | Sega Saturn | 1995 | Europe
|       | Blam! Machinehead                                              | Core Design Ltd.              | Sega Saturn | 1997 | Europe
|       | Blast Chamber                                                  | Activision                    | Sega Saturn | 1997 | Europe
|       | Blazing Dragons                                                | Sega                          | Sega Saturn | 1996 | Europe
|       | Bootleg Sampler                                                | Sega                          | Sega Saturn | 1995 | Europe
|       | Break Point                                                    | Ocean                         | Sega Saturn | 1997 | Europe
|       | Bubble Bobble also featuring Rainbow Islands                   | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Bug Too!                                                       | Sega                          | Sega Saturn | 1997 | Europe
|       | Bug!                                                           | Sega                          | Sega Saturn | 1995 | Europe
|       | Burning Rangers                                                | Sega                          | Sega Saturn | 1998 | Europe
|       | Bust-A-Move 2: Arcade Edition                                  | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Bust-A-Move 3                                                  | Acclaim                       | Sega Saturn | 1997 | Europe
|       | Casper                                                         | Interplay                     | Sega Saturn | 1996 | Europe
|       | Chaos Control                                                  | Infogrames                    | Sega Saturn | 1996 | Europe
|       | Christmas NiGHTS into Dreams...                                | Sega                          | Sega Saturn | 1996 | Europe
|       | Clockwork Knight                                               | Sega                          | Sega Saturn | 1995 | Europe
|       | Clockwork Knight 2                                             | Sega                          | Sega Saturn | 1995 | Europe
|       | Command & Conquer                                              | Westwood Studios              | Sega Saturn | 1997 | Europe
|       | Courier Crisis                                                 | BMG Interactive Entertainment | Sega Saturn | 1998 | Europe
|       | CrimeWave                                                      | Eidos Interactive             | Sega Saturn | 1997 | Europe
|       | Croc: Legend of the Gobbos                                     | Fox Interactive               | Sega Saturn | 1997 | Europe
|       | Crow: City of Angels, The                                      | Acclaim                       | Sega Saturn | 1997 | Europe
|       | Crusader: No Remorse                                           | Electronic Arts               | Sega Saturn | 1997 | Europe
|       | Crypt Killer                                                   | Konami                        | Sega Saturn | 1997 | Europe
|       | Cyber Speedway                                                 | Sega                          | Sega Saturn | 1996 | Europe
|       | Cyberia                                                        | Interplay                     | Sega Saturn | 1996 | Europe
|       | D                                                              | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Darius Gaiden                                                  | Acclaim                       | Sega Saturn | 1996 | Europe
|       | Darius II                                                      | Taito Corporation             | Sega Saturn | 1996 | Europe
|       | Dark Savior                                                    | Sega                          | Sega Saturn | 1997 | Europe
