|       | 90 Minutes: European Prime Goal                                  | Ocean                        | Super Nintendo | 1995 | Europe
|       | AAAHH!!! Real Monsters                                           | Viacom New Media             | Super Nintendo | 1996 | Europe
|       | ACME Animation Factory                                           | SunSoft                      | Super Nintendo | 1995 | Europe
|       | ActRaiser                                                        | Enix Corporation             | Super Nintendo | 1993 | Europe
|       | Actraiser 2                                                      | Ubisoft                      | Super Nintendo | 1994 | Europe
|       | Addams Family Values                                             | Ocean                        | Super Nintendo | 1996 | Europe
|       | Addams Family, The                                               | Ocean                        | Super Nintendo | 1992 | Europe
|       | Addams Family: Pugsley's Scavenger Hunt, The                     | Ocean                        | Super Nintendo | 1992 | Europe
|       | Adventures of Batman & Robin, The                                | Konami                       | Super Nintendo | 1994 | Europe
|       | Adventures of Dr. Franken, The                                   | Elite Systems Ltd.           | Super Nintendo | 1994 | Europe
|       | Adventures of Mighty Max, The                                    | Ocean                        | Super Nintendo | 1994 | Europe
|       | Aero The Acro-Bat                                                | SunSoft                      | Super Nintendo | 1993 | Europe
|       | Aero the Acro-Bat 2                                              | SunSoft                      | Super Nintendo | 1994 | Europe
|       | Aguri Suzuki F-1 Super Driving                                   | Altron                       | Super Nintendo | 1993 | Europe
|       | Air Cavalry                                                      | GameTek                      | Super Nintendo | 1995 | Europe
|       | Al Unser Jr.'s Road to the Top                                   | Mindscape                    | Super Nintendo | 1994 | Europe
|       | Alfred Chicken                                                   | Mindscape                    | Super Nintendo | 1994 | Europe
|       | Alien 3                                                          | LJN Ltd.                     | Super Nintendo | 1993 | Europe
|       | Alien vs. Predator                                               | Activision                   | Super Nintendo | 1993 | Europe
|       | All-American Championship Football                               | Malibu                       | Super Nintendo | 1994 | Europe
|       | An American Tail: Fievel Goes West                               | Hudson                       | Super Nintendo | 1994 | Europe
|       | Animaniacs                                                       | Konami                       | Super Nintendo | 1994 | Europe
|       | Another World                                                    | Interplay                    | Super Nintendo | 1993 | Europe
|       | Archer MacLean's Super Dropzone                                  | Psygnosis                    | Super Nintendo | 1995 | Europe
|       | Ardy Lightfoot                                                   | Titus Software               | Super Nintendo | 1994 | Europe
|       | Arkanoid                                                         | Nintendo                     | Super Nintendo | 1997 | Europe
|       | Art of Fighting                                                  | Takara                       | Super Nintendo | 1993 | Europe
|       | Asterix                                                          | Infogrames                   | Super Nintendo | 1993 | Europe
|       | Asterix & Obelix                                                 | Infogrames                   | Super Nintendo | 1995 | Europe
|       | Axelay                                                           | Konami                       | Super Nintendo | 1993 | Europe
|       | B.O.B.                                                           | Electronic Arts              | Super Nintendo | 1993 | Europe
|       | Barkley: Shut Up and Jam!                                        | Sony Imagesoft               | Super Nintendo | 1994 | Europe
|       | Bass Masters Classic: Pro Edition                                | Black Pearl                  | Super Nintendo | 1996 | Europe
|       | Batman Forever                                                   | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Batman Returns                                                   | Konami                       | Super Nintendo | 1993 | Europe
|       | Battle Clash                                                     | Nintendo                     | Super Nintendo | 1993 | Europe
|       | Battletoads & Double Dragon - The Ultimate Team                  | Tradewest                    | Super Nintendo | 1994 | Europe
|       | Battletoads in Battlemaniacs                                     | Tradewest                    | Super Nintendo | 1993 | Europe
|       | Beavis and Butt-head                                             | Viacom New Media             | Super Nintendo | 1995 | Europe
|       | Beethoven's 2nd                                                  | Hi Tech Expressions          | Super Nintendo | 1993 | Europe
|       | Best of the Best: Championship Karate                            | Futura                       | Super Nintendo | 1993 | Europe
|       | Big Sky Trooper                                                  | JVC Musical Industries, Inc. | Super Nintendo | 1995 | Europe
|       | Biker Mice From Mars                                             | Konami                       | Super Nintendo | 1994 | Europe
|       | BioMetal                                                         | Activision                   | Super Nintendo | 1993 | Europe
|       | Blackhawk                                                        | Virgin Interactive           | Super Nintendo | 1995 | Europe
|       | Blanco World Class Rugby                                         | Imagineer                    | Super Nintendo | 1993 | Europe
|       | Blazing Skies                                                    | Namco                        | Super Nintendo | 1993 | Europe
|       | Blues Brothers, The                                              | Titus Software               | Super Nintendo | 1993 | Europe
|       | Boogerman: A Pick and Flick Adventure                            | Interplay                    | Super Nintendo | 1996 | Europe
|       | Boxing Legends of the Ring                                       | Electro Brain                | Super Nintendo | 1993 | Europe
|       | Brainies, The                                                    | Titus Software               | Super Nintendo | 1994 | Europe
|       | Bram Stoker's Dracula                                            | Sony Imagesoft               | Super Nintendo | 1993 | Europe
|       | Brawl Brothers                                                   | Jaleco Entertainment         | Super Nintendo | 1993 | Europe
|       | Breath of Fire II                                                | Laguna                       | Super Nintendo | 1996 | Europe
|       | Brett Hull Hockey                                                | Sony Imagesoft               | Super Nintendo | 1994 | Europe
|       | Brutal: Paws of Fury                                             | GameTek                      | Super Nintendo | 1994 | Europe
|       | Bubsy II                                                         | Accolade                     | Super Nintendo | 1994 | Europe
|       | Bubsy in: Claws Encounters of the Furred Kind                    | Accolade                     | Super Nintendo | 1993 | Europe
|       | Bugs Bunny: Rabbit Rampage                                       | SunSoft                      | Super Nintendo | 1994 | Europe
|       | Bulls vs Blazers and the NBA Playoffs                            | EA Sports                    | Super Nintendo | 1992 | Europe
|       | C2 - Clay Fighter 2: Judgment Clay                               | Interplay                    | Super Nintendo | 1995 | Europe
|       | Cal Ripken Jr. Baseball                                          | Mindscape                    | Super Nintendo | 1993 | Europe
|       | California Games II                                              | Imagineer                    | Super Nintendo | 1993 | Europe
|       | Cannon Fodder                                                    | Virgin Interactive           | Super Nintendo | 1994 | Europe
|       | Captain America and the Avengers                                 | Mindscape                    | Super Nintendo | 1993 | Europe
|       | Captain Commando                                                 | Capcom                       | Super Nintendo | 1995 | Europe
|       | Carrier Aces                                                     | GameTek                      | Super Nintendo | 1995 | Europe
|       | Casper                                                           | Natsume                      | Super Nintendo | 1997 | Europe
|       | Castlevania: Vampire's Kiss                                      | Konami                       | Super Nintendo | 1996 | Europe
|       | Champions World Class Soccer                                     | Acclaim                      | Super Nintendo | 1994 | Europe
|       | Championship Pool                                                | Mindscape                    | Super Nintendo | 1993 | Europe
|       | Chaos Engine, The                                                | MicroProse                   | Super Nintendo | 1994 | Europe
|       | Chessmaster, The                                                 | Mindscape                    | Super Nintendo | 1993 | Europe
|       | Choplifter III                                                   | Ocean                        | Super Nintendo | 1994 | Europe
|       | Chuck Rock                                                       | Sony Imagesoft               | Super Nintendo | 1992 | Europe
|       | ClayFighter                                                      | Ocean                        | Super Nintendo | 1994 | Europe
|       | Claymates                                                        | Interplay                    | Super Nintendo | 1993 | Europe
|       | Cliffhanger                                                      | Sony Imagesoft               | Super Nintendo | 1993 | Europe
|       | Congo's Caper                                                    | Data East                    | Super Nintendo | 1993 | Europe
|       | Cool Spot                                                        | Virgin Interactive           | Super Nintendo | 1994 | Europe
|       | Cool World                                                       | Ocean                        | Super Nintendo | 1992 | Europe
|       | Cutthroat Island                                                 | Acclaim                      | Super Nintendo | 1996 | Europe
|       | Cybernator                                                       | Palcom                       | Super Nintendo | 1993 | Europe
|       | Daffy Duck: The Marvin Missions                                  | SunSoft                      | Super Nintendo | 1994 | Europe
|       | Darius Twin                                                      | Taito Corporation            | Super Nintendo | 1993 | Europe
|       | David Crane's Amazing Tennis                                     | Electronic Arts              | Super Nintendo | 1992 | Europe
|       | Daze Before Christmas                                            | SunSoft                      | Super Nintendo | 1994 | Europe
|       | Death and Return of Superman, The                                | SunSoft                      | Super Nintendo | 1994 | Europe
|       | Demolition Man                                                   | Acclaim                      | Super Nintendo | 1995 | Europe
|       | Demon's Crest                                                    | Capcom                       | Super Nintendo | 1994 | Europe
|       | Dennis                                                           | Ocean                        | Super Nintendo | 1994 | Europe
|       | Desert Fighter                                                   | System 3                     | Super Nintendo | 1994 | Europe
|       | Desert Strike: Return to the Gulf                                | Electronic Arts              | Super Nintendo | 1993 | Europe
|       | Dino Dini's Soccer                                               | Virgin Interactive           | Super Nintendo | 1995 | Europe
|       | Dinocity                                                         | Irem                         | Super Nintendo | 1992 | Europe
|       | Dirt Racer                                                       | Elite Systems Ltd.           | Super Nintendo | 1995 | Europe
|       | Dirt Trax FX                                                     | Acclaim                      | Super Nintendo | 1995 | Europe
