|       | 3D Crazy Coaster              | GCE            | Vectrex | 1983 | North America
|       | 3D Mine Storm                 | GCE            | Vectrex | 1983 | North America
|       | 3D Narrow Escape              | GCE            | Vectrex | 1983 | North America
|       | AnimAction                    | GCE            | Vectrex | 1983 | North America
|       | Armor..Attack                 | GCE            | Vectrex | 1982 | North America
|       | Art Master                    | GCE            | Vectrex | 1983 | North America
|       | Bedlam                        | GCE            | Vectrex | 1982 | North America
|       | Berzerk                       | GCE            | Vectrex | 1982 | North America
|       | Blitz!                        | GCE            | Vectrex | 1982 | North America
|       | Clean Sweep                   | GCE            | Vectrex | 1982 | North America
|       | Cosmic Chasm                  | GCE            | Vectrex | 1982 | North America
|       | Fortress of Narzod            | GCE            | Vectrex | 1982 | North America
|       | Heads-Up                      | GCE            | Vectrex | 1983 | North America
|       | Hyperchase                    | GCE            | Vectrex | 1982 | North America
|       | Melody Master                 | GCE            | Vectrex | 1983 | North America
|       | MineStorm                     | GCE            | Vectrex | 1982 | North America
|       | Pitchers Duel                 | CGE Services   | Vectrex | 2007 | North America
|       | Polar Rescue                  | GCE            | Vectrex | 1983 | North America
|       | Pole Position                 | GCE            | Vectrex | 1983 | North America
|       | Rip Off                       | GCE            | Vectrex | 1982 | North America
|       | Scramble                      | GCE            | Vectrex | 1982 | North America
|       | Solar Quest                   | GCE            | Vectrex | 1982 | North America
|       | Space Wars                    | GCE            | Vectrex | 1982 | North America
|       | Spike                         | GCE            | Vectrex | 1982 | North America
|       | Spinball                      | Milton Bradley | Vectrex | 1983 | North America
|       | Star Castle                   | GCE            | Vectrex | 1983 | North America
|       | Star Trek: The Motion Picture | GCE            | Vectrex | 1982 | North America
|       | Starhawk                      | GCE            | Vectrex | 1982 | North America
|       | Web Wars                      | GCE            | Vectrex | 1982 | North America
