|       | Armor..Attack      | Milton Bradley | Vectrex | 1983 | Europe
|       | Bedlam             | Milton Bradley | Vectrex | 1983 | Europe
|       | Berzerk            | Milton Bradley | Vectrex | 1983 | Europe
|       | Blitz!             | Milton Bradley | Vectrex | 1983 | Europe
|       | Clean Sweep        | Milton Bradley | Vectrex | 1983 | Europe
|       | Cosmic Chasm       | Milton Bradley | Vectrex | 1983 | Europe
|       | Flipper Pinball    | Milton Bradley | Vectrex | 1983 | Europe
|       | Fortress of Narzod | Milton Bradley | Vectrex | 1983 | Europe
|       | Hyperchase         | Milton Bradley | Vectrex | 1983 | Europe
|       | MineStorm          | Milton Bradley | Vectrex | 1983 | Europe
|       | Rip Off            | Milton Bradley | Vectrex | 1983 | Europe
|       | Scramble           | Milton Bradley | Vectrex | 1983 | Europe
|       | Soccer Football    | Milton Bradley | Vectrex | 1983 | Europe
|       | Solar Quest        | Milton Bradley | Vectrex | 1983 | Europe
|       | Space Wars         | Milton Bradley | Vectrex | 1983 | Europe
|       | Spike              | Milton Bradley | Vectrex | 1983 | Europe
|       | Star Ship          | Milton Bradley | Vectrex | 1983 | Europe
|       | Starhawk           | Milton Bradley | Vectrex | 1983 | Europe
|       | Web Warp           | Milton Bradley | Vectrex | 1983 | Europe
