|       | 2002 FIFA World Cup                           | Electronic Arts             | Xbox   | 2002 | Japan
|       | AirForce Delta II                             | Konami                      | Xbox   | 2002 | Japan
|       | All-Star Baseball 2003                        | Acclaim Japan               | Xbox   | 2002 | Japan
|       | Angelic Concert                               | Success                     | Xbox   | 2003 | Japan
|       | Aoi Namida                                    | Panther Software            | Xbox   | 2004 | Japan
|       | Atari Anthology                               | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Auto Modellista: U.S.-tuned                   | Capcom                      | Xbox   | 2004 | Japan
|       | Baseball 2002: Battle Ball Park Sengen, The   | Konami                      | Xbox   | 2002 | Japan
|       | Batman: Dark Tomorrow                         | Kemco                       | Xbox   | 2003 | Japan
|       | Beat Down                                     | Capcom                      | Xbox   | 2005 | Japan
|       | Bistro Cupid                                  | Success                     | Xbox   | 2002 | Japan
|       | Bistro Cupid 2                                | Success                     | Xbox   | 2003 | Japan
|       | Blinx 2: Battle of Time and Space             | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Blinx: The Time Sweeper                       | Microsoft Game Studios      | Xbox   | 2002 | Japan
|       | Bloody Roar Extreme                           | Hudson                      | Xbox   | 2003 | Japan
|       | Braveknight                                   | Panther Software            | Xbox   | 2002 | Japan
|       | Breakdown                                     | Namco                       | Xbox   | 2004 | Japan
|       | Brothers in Arms: Road to Hill 30             | Ubisoft                     | Xbox   | 2005 | Japan
|       | Brute Force                                   | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Buffy the Vampire Slayer: Chaos Bleeds        | Sierra Entertainment        | Xbox   | 2003 | Japan
|       | C.A.T.: Cyber Attack Team                     | Hide                        | Xbox   | 2003 | Japan
|       | Call of Duty: Finest Hour                     | Capcom                      | Xbox   | 2005 | Japan
|       | Capcom Fighting Jam                           | Capcom                      | Xbox   | 2005 | Japan
|       | Capcom vs. SNK 2 EO                           | Capcom                      | Xbox   | 2003 | Japan
|       | Circus Drive                                  | Capcom                      | Xbox   | 2003 | Japan
|       | Conker: Live & Reloaded                       | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Constantine                                   | Marvelous Entertainment     | Xbox   | 2005 | Japan
|       | Counter-Strike                                | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Crash Bandicoot 4: Sakuretsu! Majin Power     | Konami                      | Xbox   | 2002 | Japan
|       | Crazy Taxi 3: High Roller                     | Sega                        | Xbox   | 2002 | Japan
|       | Crimson Skies: High Road to Revenge           | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Daisenryaku VII                               | Kemco                       | Xbox   | 2003 | Japan
|       | Dead Man's Hand                               | Atari SA                    | Xbox   | 2004 | Japan
|       | Dead or Alive 3                               | Tecmo                       | Xbox   | 2002 | Japan
|       | Dead or Alive Ultimate                        | Tecmo                       | Xbox   | 2004 | Japan
|       | Dead or Alive: Xtreme Beach Volleyball        | Tecmo                       | Xbox   | 2003 | Japan
|       | Dead to Rights                                | Namco                       | Xbox   | 2002 | Japan
|       | Dennou Taisen DroneZ                          | Metro3D                     | Xbox   | 2004 | Japan
|       | Deus Ex: Invisible War                        | Eidos Interactive           | Xbox   | 2004 | Japan
|       | Digimon Battle Chronicle                      | Bandai                      | Xbox   | 2004 | Japan
|       | Digimon World X                               | Bandai                      | Xbox   | 2005 | Japan
|       | Dino Crisis 3                                 | Capcom                      | Xbox   | 2003 | Japan
|       | Dinosaur Hunting                              | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Double S.T.E.A.L.                             | Bunkasha Publishing         | Xbox   | 2002 | Japan
|       | Double S.T.E.A.L. The Second Clash            | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Dr. Seuss' The Cat in the Hat                 | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Drihoo                                        | Highwaystar                 | Xbox   | 2002 | Japan
|       | Egg Mania                                     | Kemco                       | Xbox   | 2002 | Japan
|       | Enter the Matrix                              | Bandai                      | Xbox   | 2003 | Japan
|       | ESPN NBA 2Night 2002                          | Konami                      | Xbox   | 2002 | Japan
|       | ESPN Winter X-Games Snowboarding 2002         | Konami                      | Xbox   | 2002 | Japan
|       | Ex-Chaser                                     | Idea Factory                | Xbox   | 2003 | Japan
|       | ExaSkeleton                                   | Kiki                        | Xbox   | 2003 | Japan
|       | F1 2002                                       | Electronic Arts Victor      | Xbox   | 2002 | Japan
|       | Fable                                         | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Fatal Frame                                   | Tecmo                       | Xbox   | 2003 | Japan
|       | Fatal Frame II: Crimson Butterfly             | Tecmo                       | Xbox   | 2004 | Japan
|       | Flight Academy                                | Aqua Systems                | Xbox   | 2002 | Japan
|       | Forza Motorsport                              | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Full Spectrum Warrior                         | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Galaxy Angel                                  | Broccoli                    | Xbox   | 2003 | Japan
|       | Genma Onimusha                                | Capcom                      | Xbox   | 2002 | Japan
|       | Grabbed by the Ghoulies                       | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Grand Theft Auto Double Pack                  | Capcom                      | Xbox   | 2004 | Japan
|       | Guilty Gear Isuka                             | Sammy Studios               | Xbox   | 2004 | Japan
|       | Guilty Gear XX #Reload                        | Sammy Studios               | Xbox   | 2004 | Japan
|       | GunGriffon: Allied Strike                     | Tecmo                       | Xbox   | 2004 | Japan
|       | GunValkyrie                                   | Sega                        | Xbox   | 2002 | Japan
|       | Halo                                          | Microsoft Game Studios      | Xbox   | 2002 | Japan
|       | Halo 2                                        | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Halo 2 Multiplayer Map Pack                   | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Halo: History Pack                            | Microsoft Game Studios      | Xbox   | 2007 | Japan
|       | Hitman 2: Silent Assassin                     | Eidos Interactive           | Xbox   | 2003 | Japan
|       | Hitman: Contracts                             | Eidos Interactive           | Xbox   | 2004 | Japan
|       | House of the Dead III, The                    | Sega                        | Xbox   | 2003 | Japan
|       | Hunter: The Reckoning Redeemer                | Interplay                   | Xbox   | 2004 | Japan
|       | Hyper Sports 2002 Winter                      | Konami                      | Xbox   | 2002 | Japan
|       | Innocent Tears                                | Hiromi                      | Xbox   | 2002 | Japan
|       | Inside Pitch 2003                             | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Jade Empire: Hisui no Teikoku                 | Microsoft Game Studios      | Xbox   | 2005 | Japan
|       | Jet Set Radio Future                          | Sega                        | Xbox   | 2002 | Japan
|       | Jikkyou World Soccer 2002                     | Konami                      | Xbox   | 2002 | Japan
|       | Jockey's Road                                 | Microsoft Game Studios      | Xbox   | 2002 | Japan
|       | Kakutou Choujin: Fighting Super Heroes        | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Kikou Heidan J-Phoenix +                      | Takara                      | Xbox   | 2002 | Japan
|       | King of Fighters 2002, The                    | SNK Playmore                | Xbox   | 2005 | Japan
|       | King of Fighters 2003, The                    | SNK Playmore                | Xbox   | 2005 | Japan
|       | King of Fighters NeoWave, The                 | SNK Playmore                | Xbox   | 2006 | Japan
|       | King of Fighters: Maximum Impact: Maniax      | SNK Playmore                | Xbox   | 2005 | Japan
|       | Kingdom Under Fire: The Crusaders             | Jaleco Entertainment        | Xbox   | 2005 | Japan
|       | Knockout Kings 2002                           | Electronic Arts             | Xbox   | 2002 | Japan
|       | Kung Fu Panic                                 | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Kurenai no Umi: Crimson Sea                   | Koei                        | Xbox   | 2002 | Japan
|       | Lake Masters                                  | Capcom                      | Xbox   | 2003 | Japan
|       | Links 2004                                    | Microsoft Game Studios      | Xbox   | 2004 | Japan
|       | Mad Dash Racing                               | Eidos Interactive           | Xbox   | 2002 | Japan
|       | Magatama                                      | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | Magi Death Fight: Mahou Gakuen                | Takuyo                      | Xbox   | 2002 | Japan
|       | Magic: The Gathering - Battlegrounds          | Atari SA                    | Xbox   | 2004 | Japan
|       | Marvel vs. Capcom 2                           | Capcom                      | Xbox   | 2002 | Japan
|       | Maximum Chase                                 | Microsoft Game Studios      | Xbox   | 2002 | Japan
|       | MechAssault                                   | Microsoft Game Studios      | Xbox   | 2003 | Japan
|       | MechAssault 2: Lone Wolf                      | Microsoft Game Studios      | Xbox   | 2005 | Japan
