|       | 007: Everything or Nothing                                                | EA Games                               | Xbox   | 2004 | North America
|       | 007: NightFire                                                            | Electronic Arts                        | Xbox   | 2002 | North America
|       | 187 Ride or Die                                                           | Ubisoft                                | Xbox   | 2005 | North America
|       | 2 Games In 1: Shrek 2 / Shark Tale                                        | Activision                             | Xbox   | 2005 | North America
|       | 2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe                | Sega                                   | Xbox   | 2013 | North America
|       | 2 in 1 Combo Pack: Sonic Mega Collection Plus / Super Monkey Ball Deluxe  | Sega                                   | Xbox   | 2013 | North America
|       | 2002 FIFA World Cup                                                       | EA Sports                              | Xbox   | 2002 | North America
|       | 25 to Life                                                                | Eidos Interactive                      | Xbox   | 2006 | North America
|       | 4x4 EVO 2                                                                 | Gathering                              | Xbox   | 2001 | North America
|       | 50 Cent: Bulletproof                                                      | VU Games                               | Xbox   | 2005 | North America
|       | Advent Rising                                                             | Majesco Games                          | Xbox   | 2005 | North America
|       | Aeon Flux                                                                 | Majesco Games                          | Xbox   | 2005 | North America
|       | Aggressive Inline                                                         | Acclaim                                | Xbox   | 2002 | North America
|       | AirForce Delta Storm                                                      | Konami                                 | Xbox   | 2001 | North America
|       | Alias                                                                     | Acclaim                                | Xbox   | 2004 | North America
|       | Aliens Versus Predator: Extinction                                        | EA Games                               | Xbox   | 2003 | North America
|       | All-Star Baseball 2003                                                    | Acclaim                                | Xbox   | 2002 | North America
|       | All-Star Baseball 2004                                                    | Acclaim                                | Xbox   | 2003 | North America
|       | All-Star Baseball 2005                                                    | Acclaim                                | Xbox   | 2004 | North America
|       | Alter Echo                                                                | THQ                                    | Xbox   | 2003 | North America
|       | America's Army: Rise of a Soldier                                         | Ubisoft                                | Xbox   | 2005 | North America
|       | American Chopper                                                          | Activision Value                       | Xbox   | 2004 | North America
|       | American Chopper 2: Full Throttle                                         | Activision Value                       | Xbox   | 2005 | North America
|       | AMF Bowling 2004                                                          | Mud Duck Productions                   | Xbox   | 2003 | North America
|       | AMF Xtreme Bowling                                                        | Bethesda Softworks                     | Xbox   | 2006 | North America
|       | Amped 2                                                                   | Microsoft Game Studios                 | Xbox   | 2003 | North America
|       | Amped: Freestyle Snowboarding                                             | Microsoft Game Studios                 | Xbox   | 2001 | North America
|       | And 1 Streetball                                                          | Ubisoft                                | Xbox   | 2006 | North America
|       | Antz Extreme Racing                                                       | Empire Interactive                     | Xbox   | 2002 | North America
|       | Apex                                                                      | Atari                                  | Xbox   | 2003 | North America
|       | Aquaman: Battle for Atlantis                                              | TDK Mediactive                         | Xbox   | 2003 | North America
|       | Arctic Thunder                                                            | Midway                                 | Xbox   | 2001 | North America
|       | Area 51                                                                   | Midway                                 | Xbox   | 2005 | North America
|       | Arena Football                                                            | EA Sports                              | Xbox   | 2006 | North America
|       | Armed and Dangerous                                                       | LucasArts                              | Xbox   | 2003 | North America
|       | Army Men: Major Malfunction                                               | Global Star Software                   | Xbox   | 2006 | North America
|       | Army Men: Sarge's War                                                     | Global Star Software                   | Xbox   | 2004 | North America
|       | Arx Fatalis                                                               | DreamCatcher Interactive               | Xbox   | 2003 | North America
|       | Atari Anthology                                                           | Atari                                  | Xbox   | 2004 | North America
|       | ATV Quad Power Racing 2                                                   | Acclaim                                | Xbox   | 2003 | North America
|       | Auto Modellista                                                           | Capcom                                 | Xbox   | 2004 | North America
|       | Avatar: The Last Airbender                                                | THQ                                    | Xbox   | 2006 | North America
|       | Azurik: Rise of Perathia                                                  | Microsoft Game Studios                 | Xbox   | 2001 | North America
|       | Backyard Wrestling 2: There Goes the Neighborhood                         | Eidos Interactive                      | Xbox   | 2004 | North America
|       | Backyard Wrestling: Don't Try This at Home                                | Eidos Interactive                      | Xbox   | 2003 | North America
|       | Bad Boys: Miami Takedown                                                  | Crave                                  | Xbox   | 2004 | North America
|       | Baldur's Gate: Dark Alliance                                              | Interplay                              | Xbox   | 2002 | North America
|       | Baldur's Gate: Dark Alliance II                                           | Interplay                              | Xbox   | 2004 | North America
|       | Barbie Horse Adventures: Wild Horse Rescue                                | Universal Interactive                  | Xbox   | 2003 | North America
|       | Bard's Tale, The                                                          | InXile Entertainment                   | Xbox   | 2004 | North America
|       | Bass Pro Shops: Trophy Bass 2007                                          | Vivendi Games                          | Xbox   | 2006 | North America
