|       | 007: NightFire                                                       | Electronic Arts              | Xbox   | 2002 | Europe
|       | 187 Ride or Die                                                      | Ubisoft                      | Xbox   | 2005 | Europe
|       | 2002 FIFA World Cup                                                  | Electronic Arts              | Xbox   | 2002 | Europe
|       | 50 Cent: Bulletproof                                                 | VU Games                     | Xbox   | 2005 | Europe
|       | Advent Rising                                                        | THQ                          | Xbox   | 2006 | Europe
|       | Aeon Flux                                                            | Majesco                      | Xbox   | 2006 | Europe
|       | Aggressive Inline: Featuring Taig Khris                              | Acclaim                      | Xbox   | 2002 | Europe
|       | Alias                                                                | Acclaim                      | Xbox   | 2004 | Europe
|       | Alien Hominid                                                        | Zoo Digital Publishing       | Xbox   | 2005 | Europe
|       | Aliens Versus Predator: Extinction                                   | EA Games                     | Xbox   | 2003 | Europe
|       | All-Star Baseball 2003                                               | Acclaim                      | Xbox   | 2002 | Europe
|       | Alter Echo                                                           | THQ                          | Xbox   | 2003 | Europe
|       | America's Army: Rise of a Soldier                                    | Ubisoft                      | Xbox   | 2006 | Europe
|       | American Chopper                                                     | Zoo Digital Publishing       | Xbox   | 2006 | Europe
|       | American Chopper 2: Full Throttle                                    | Zoo Digital Publishing       | Xbox   | 2006 | Europe
|       | Amped 2                                                              | Microsoft Game Studios       | Xbox   | 2003 | Europe
|       | Amped: Freestyle Snowboarding                                        | Microsoft Game Studios       | Xbox   | 2002 | Europe
|       | And 1 Streetball                                                     | Ubisoft                      | Xbox   | 2006 | Europe
|       | Animaniacs: The Great Edgar Hunt                                     | Ignition Entertainment       | Xbox   | 2005 | Europe
|       | Antz Extreme Racing                                                  | Empire Interactive           | Xbox   | 2002 | Europe
|       | Arctic Thunder                                                       | Midway                       | Xbox   | 2002 | Europe
|       | Area 51                                                              | Midway                       | Xbox   | 2005 | Europe
|       | Armed and Dangerous                                                  | LucasArts                    | Xbox   | 2004 | Europe
|       | Army Men: Major Malfunction                                          | Global Star Software         | Xbox   | 2006 | Europe
|       | Army Men: Sarge's War                                                | Take-Two Interactive         | Xbox   | 2004 | Europe
|       | Arx Fatalis                                                          | Mindscape                    | Xbox   | 2004 | Europe
|       | Atari Anthology                                                      | Atari SA                     | Xbox   | 2004 | Europe
|       | ATV Quad Power Racing 2                                              | Acclaim                      | Xbox   | 2003 | Europe
|       | Azurik: Rise of Perathia                                             | Microsoft Game Studios       | Xbox   | 2002 | Europe
|       | Backyard Wrestling 2: There Goes the Neighborhood                    | Eidos Interactive            | Xbox   | 2004 | Europe
|       | Backyard Wrestling: Don't Try This at Home                           | Eidos Interactive            | Xbox   | 2003 | Europe
|       | Bad Boys II                                                          | Empire Interactive           | Xbox   | 2004 | Europe
|       | Baldur's Gate: Dark Alliance                                         | Virgin Interactive           | Xbox   | 2003 | Europe
|       | Baldur's Gate: Dark Alliance II                                      | Acclaim                      | Xbox   | 2004 | Europe
|       | Barbarian                                                            | Titus Software               | Xbox   | 2003 | Europe
|       | Barbie Horse Adventures: Wild Horse Rescue                           | Universal Interactive        | Xbox   | 2003 | Europe
|       | Bard's Tale, The                                                     | Ubisoft                      | Xbox   | 2005 | Europe
|       | Batman Begins                                                        | EA Games                     | Xbox   | 2005 | Europe
|       | Batman: Dark Tomorrow                                                | Kemco                        | Xbox   | 2003 | Europe
|       | Batman: Rise of Sin Tzu                                              | Ubisoft                      | Xbox   | 2003 | Europe
|       | Batman: Vengeance                                                    | Ubisoft                      | Xbox   | 2002 | Europe
|       | Battle Engine Aquila                                                 | Atari SA                     | Xbox   | 2003 | Europe
|       | Battlefield 2: Modern Combat                                         | EA Games                     | Xbox   | 2005 | Europe
|       | Battlestar Galactica                                                 | VU Games                     | Xbox   | 2003 | Europe
