|       | [eM] -eNCHANT arM-                                          | From Software                          | Xbox 360 | 2006 | Japan
|       | 007: Nagusame no Houshuu                                    | Square Enix                            | Xbox 360 | 2009 | Japan
|       | 11 Eyes: CrossOver                                          | 5pb                                    | Xbox 360 | 2009 | Japan
|       | 2010 FIFA World Cup South Africa                            | EA Sports                              | Xbox 360 | 2010 | Japan
|       | 2014 FIFA World Cup Brazil                                  | EA Sports                              | Xbox 360 | 2014 | Japan
|       | 50 Cent: Blood on the Sand                                  | Bethesda Softworks                     | Xbox 360 | 2009 | Japan
|       | A-Ressha de Ikou HX                                         | Artdink                                | Xbox 360 | 2006 | Japan
|       | Absolute: Blazing Infinity                                  | Idea Factory                           | Xbox 360 | 2007 | Japan
|       | Ace Combat 6: Kaihou e no Senka                             | Namco                                  | Xbox 360 | 2007 | Japan
|       | Ace Combat 6: Kaihou e no Senka / Beautiful Katamari Damacy | Bandai Namco Games                     | Xbox 360 | 2008 | Japan
|       | Ace Combat 6: Kaihou e no Senka / Lost Planet: Colonies     | Microsoft Game Studios                 | Xbox 360 | 2009 | Japan
|       | Ace Combat: Assault Horizon                                 | Namco Bandai Games                     | Xbox 360 | 2011 | Japan
|       | Agarest Senki Zero: Dawn of War                             | Idea Factory                           | Xbox 360 | 2010 | Japan
|       | Agarest Senki: Reappearance                                 | Compile Heart                          | Xbox 360 | 2008 | Japan
|       | Air Conflicts: Vietnam                                      | Ubisoft                                | Xbox 360 | 2013 | Japan
|       | Akai Katana Shin                                            | Cave                                   | Xbox 360 | 2011 | Japan
|       | Akatsuki no Amaneka to Aoi Kyojin                           | CyberFront                             | Xbox 360 | 2010 | Japan
|       | Akumajou Dracula: Lords of Shadow 2                         | Konami                                 | Xbox 360 | 2014 | Japan
|       | Alan Wake                                                   | Microsoft Game Studios                 | Xbox 360 | 2010 | Japan
|       | Alice: Madness Returns                                      | Electronic Arts                        | Xbox 360 | 2011 | Japan
|       | Alone in the Dark                                           | Electronic Arts                        | Xbox 360 | 2008 | Japan
|       | Ao no Eiyuu: Birds of Steel                                 | Konami                                 | Xbox 360 | 2012 | Japan
|       | Apocalypse: Desire Next                                     | Idea Factory                           | Xbox 360 | 2007 | Japan
|       | AquaZone: Life Simulator                                    | Frontier Groove                        | Xbox 360 | 2006 | Japan
|       | AquaZone: Life Simulator                                    | Frontier Groove                        | Xbox 360 | 2006 | Japan
|       | Arcana Heart 3                                              | Arc System Works                       | Xbox 360 | 2011 | Japan
|       | Arcania: Gothic 4                                           | CyberFront                             | Xbox 360 | 2011 | Japan
|       | Armored Core 4                                              | From Software                          | Xbox 360 | 2007 | Japan
|       | Armored Core V                                              | From Software                          | Xbox 360 | 2012 | Japan
|       | Armored Core: For Answer                                    | From Software                          | Xbox 360 | 2008 | Japan
|       | Armored Core: Verdict Day                                   | From Software                          | Xbox 360 | 2013 | Japan
|       | Army of Two                                                 | EA Games                               | Xbox 360 | 2008 | Japan
|       | Army of Two: The 40th Day                                   | Electronic Arts                        | Xbox 360 | 2010 | Japan
|       | Army of Two: The Devil's Cartel                             | Media Five                             | Xbox 360 | 2013 | Japan
|       | Assassin's Creed                                            | Ubisoft                                | Xbox 360 | 2007 | Japan
|       | Assassin's Creed I + II Welcome Pack                        | Ubisoft                                | Xbox 360 | 2012 | Japan
|       | Assassin's Creed II                                         | Ubisoft                                | Xbox 360 | 2009 | Japan
|       | Assassin's Creed II: Special Edition                        | Ubisoft                                | Xbox 360 | 2010 | Japan
|       | Assassin's Creed III                                        | Ubisoft                                | Xbox 360 | 2012 | Japan
|       | Assassin's Creed IV: Black Flag                             | Ubisoft                                | Xbox 360 | 2013 | Japan
|       | Assassin's Creed: Brotherhood                               | Ubisoft                                | Xbox 360 | 2010 | Japan
|       | Assassin's Creed: Brotherhood Special Edition               | Ubisoft                                | Xbox 360 | 2011 | Japan
|       | Assassin's Creed: Ezio Saga                                 | Ubisoft                                | Xbox 360 | 2012 | Japan
|       | Assassin's Creed: Revelations                               | Ubisoft                                | Xbox 360 | 2011 | Japan
|       | Asura's Wrath                                               | Capcom                                 | Xbox 360 | 2012 | Japan
|       | Atsumare! Pinata                                            | Microsoft Game Studios                 | Xbox 360 | 2007 | Japan
|       | Atsumare! Viva Pinata 2: Garden wa Dai-Punch                | Microsoft Game Studios                 | Xbox 360 | 2008 | Japan
|       | Atsumare! Viva Pinata: Let's Party                          | Microsoft Game Studios                 | Xbox 360 | 2007 | Japan
|       | Bandfuse: Rock Legends                                      | Hamster                                | Xbox 360 | 2013 | Japan
|       | Banjo to Kazooie no Daibouken: Garage Daisakusen            | Microsoft Game Studios                 | Xbox 360 | 2008 | Japan
|       | Batman: Arkham Asylum                                       | Square Enix                            | Xbox 360 | 2010 | Japan
|       | Batman: Arkham Begins                                       | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | Japan
|       | Batman: Arkham City                                         | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | Japan
|       | Batman: Arkham Twin Pack                                    | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | Japan
|       | Battle Fantasia                                             | Arc System Works                       | Xbox 360 | 2008 | Japan
|       | Battlefield 2: Modern Combat                                | EA Games                               | Xbox 360 | 2006 | Japan
|       | Battlefield 3                                               | Electronic Arts                        | Xbox 360 | 2011 | Japan
|       | Battlefield 4                                               | Electronic Arts                        | Xbox 360 | 2013 | Japan
|       | Battlefield Hardline                                        | Electronic Arts                        | Xbox 360 | 2015 | Japan
|       | Battlefield: Bad Company                                    | EA Games                               | Xbox 360 | 2008 | Japan
|       | Battlefield: Bad Company 2                                  | EA Games                               | Xbox 360 | 2010 | Japan
|       | Battlefield: Bad Company 2 Ultimate Edition                 | Electronic Arts                        | Xbox 360 | 2010 | Japan
|       | Battlestations: Midway                                      | Spike                                  | Xbox 360 | 2008 | Japan
|       | Battlestations: Pacific                                     | Spike                                  | Xbox 360 | 2009 | Japan
|       | Bayonetta                                                   | Sega                                   | Xbox 360 | 2009 | Japan
|       | Beautiful Katamari Damacy                                   | Bandai Namco Games                     | Xbox 360 | 2007 | Japan
|       | Beijing 2008 - The Official Video Game of the Olympic Games | Sega                                   | Xbox 360 | 2008 | Japan
|       | Binary Domain                                               | Sega                                   | Xbox 360 | 2012 | Japan
|       | BioHazard 5                                                 | Capcom                                 | Xbox 360 | 2009 | Japan
|       | BioHazard 6                                                 | Capcom                                 | Xbox 360 | 2012 | Japan
|       | BioHazard: Operation Raccoon City                           | Capcom                                 | Xbox 360 | 2012 | Japan
|       | BioHazard: Revelations - Unveiled Edition                   | Capcom                                 | Xbox 360 | 2013 | Japan
|       | BioHazard: Revival Selection                                | Capcom                                 | Xbox 360 | 2011 | Japan
|       | Bionic Commando                                             | Capcom                                 | Xbox 360 | 2009 | Japan
|       | BioShock                                                    | Spike                                  | Xbox 360 | 2008 | Japan
|       | BioShock 2                                                  | D3Publisher                            | Xbox 360 | 2010 | Japan
|       | BioShock Infinite                                           | 2K Games                               | Xbox 360 | 2013 | Japan
|       | Blades of Time                                              | Konami                                 | Xbox 360 | 2012 | Japan
|       | Bladestorm: Hyakunen Sensou                                 | Koei                                   | Xbox 360 | 2007 | Japan
|       | BlazBlue                                                    | Arc System Works                       | Xbox 360 | 2009 | Japan
|       | BlazBlue: Continuum Shift                                   | Arc System Works                       | Xbox 360 | 2010 | Japan
|       | BlazBlue: Continuum Shift Extend                            | Arc System Works                       | Xbox 360 | 2011 | Japan
|       | Blazing Angels 2: Secret Missions of WWII                   | Ubisoft                                | Xbox 360 | 2008 | Japan
|       | Blue Dragon                                                 | Microsoft Game Studios                 | Xbox 360 | 2006 | Japan
|       | Blur Racerz                                                 | Square Enix                            | Xbox 360 | 2010 | Japan
|       | Bomberman: Act Zero                                         | Hudson                                 | Xbox 360 | 2006 | Japan
|       | Borderlands                                                 | 2K Games                               | Xbox 360 | 2010 | Japan
|       | Borderlands 2                                               | 2K Games                               | Xbox 360 | 2012 | Japan
|       | Borderlands 2: Game of the Year Edition                     | 2K Games                               | Xbox 360 | 2014 | Japan
|       | Borderlands: Game of the Year Edition                       | Take-Two Interactive                   | Xbox 360 | 2010 | Japan
|       | Borderlands: The Pre-Sequel!                                | 2K Games                               | Xbox 360 | 2014 | Japan
|       | Brink                                                       | Bethesda Softworks                     | Xbox 360 | 2011 | Japan
|       | Brothers In Arms: Hell's Highway                            | Ubisoft                                | Xbox 360 | 2008 | Japan
