|       | 007 Legends                                                                      | Activision                             | Xbox 360 | 2012 | Europe
|       | 007: Quantum of Solace                                                           | Activision                             | Xbox 360 | 2008 | Europe
|       | 2010 FIFA World Cup South Africa                                                 | EA Sports                              | Xbox 360 | 2010 | Europe
|       | 2014 FIFA World Cup Brazil                                                       | EA Sports                              | Xbox 360 | 2014 | Europe
|       | 50 Cent: Blood on the Sand                                                       | THQ                                    | Xbox 360 | 2009 | Europe
|       | A-Train HX                                                                       | 505 Games                              | Xbox 360 | 2008 | Europe
|       | AC/DC LIVE: Rock Band Track Pack                                                 | MTV Games                              | Xbox 360 | 2008 | Europe
|       | Ace Combat 6: Fires of Liberation                                                | Atari SA                               | Xbox 360 | 2007 | Europe
|       | Ace Combat: Assault Horizon                                                      | Namco Bandai Games                     | Xbox 360 | 2011 | Europe
|       | Adidas miCoach                                                                   | 505 Games                              | Xbox 360 | 2012 | Europe
|       | Adventure Time: Explore the Dungeon Because I DON'T KNOW!                        | Namco Bandai Games                     | Xbox 360 | 2013 | Europe
|       | Adventure Time: Finn and Jake Investigations                                     | Little Orbit                           | Xbox 360 | 2015 | Europe
|       | Adventure Time: The Secret of the Nameless Kingdom                               | Little Orbit                           | Xbox 360 | 2014 | Europe
|       | Adventures of Tintin: The Secret of the Unicorn, The                             | Ubisoft                                | Xbox 360 | 2011 | Europe
|       | Afro Samurai                                                                     | Atari SA                               | Xbox 360 | 2009 | Europe
|       | Air Conflicts: Pacific Carriers                                                  | bitComposer                            | Xbox 360 | 2012 | Europe
|       | Air Conflicts: Secret Wars                                                       | bitComposer                            | Xbox 360 | 2011 | Europe
|       | Air Conflicts: Vietnam                                                           | Kalypso                                | Xbox 360 | 2013 | Europe
|       | Akai Katana                                                                      | Rising Star Games                      | Xbox 360 | 2012 | Europe
|       | Alan Wake                                                                        | Microsoft Game Studios                 | Xbox 360 | 2010 | Europe
|       | Alarm for Cobra 11: Burning Wheels                                               | RTL                                    | Xbox 360 | 2008 | Europe
|       | Alarm for Cobra 11: Crash Time                                                   | RTL                                    | Xbox 360 | 2008 | Europe
|       | Alarm for Cobra 11: Highway Nights                                               | RTL                                    | Xbox 360 | 2009 | Europe
|       | Alice: Madness Returns                                                           | Electronic Arts                        | Xbox 360 | 2011 | Europe
|       | Alien Breed Trilogy                                                              | Mastertronic                           | Xbox 360 | 2011 | Europe
|       | Alien: Isolation                                                                 | Sega                                   | Xbox 360 | 2014 | Europe
|       | Aliens vs. Predator                                                              | Sega                                   | Xbox 360 | 2010 | Europe
|       | Aliens: Colonial Marines                                                         | Sega                                   | Xbox 360 | 2013 | Europe
|       | All Round Hunter                                                                 | 505 Games                              | Xbox 360 | 2010 | Europe
|       | Alone in the Dark                                                                | Atari SA                               | Xbox 360 | 2008 | Europe
|       | Alpha Protocol                                                                   | Sega                                   | Xbox 360 | 2010 | Europe
|       | Alvin and the Chipmunks: Chipwrecked                                             | 505 Games                              | Xbox 360 | 2012 | Europe
|       | Amazing Spider-Man 2, The                                                        | Activision                             | Xbox 360 | 2014 | Europe
|       | Amazing Spider-Man, The                                                          | Activision                             | Xbox 360 | 2012 | Europe
|       | Amped 3                                                                          | 2K Sports                              | Xbox 360 | 2005 | Europe
|       | Anarchy Reigns                                                                   | Sega                                   | Xbox 360 | 2013 | Europe
|       | Angry Birds Star Wars                                                            | Activision                             | Xbox 360 | 2013 | Europe
|       | Angry Birds Trilogy                                                              | Activision                             | Xbox 360 | 2012 | Europe
|       | Apache: Air Assault                                                              | Activision                             | Xbox 360 | 2010 | Europe
|       | Arcana Heart 3                                                                   | PQube                                  | Xbox 360 | 2011 | Europe
|       | Arcania: Gothic 4                                                                | JoWooD Entertainment AG                | Xbox 360 | 2010 | Europe
|       | Arcania: The Complete Tale                                                       | Nordic Games Publishing                | Xbox 360 | 2013 | Europe
|       | Armored Core 4                                                                   | 505 Game Street                        | Xbox 360 | 2007 | Europe
|       | Armored Core V                                                                   | Namco Bandai Games                     | Xbox 360 | 2012 | Europe
|       | Armored Core: For Answer                                                         | Ubisoft                                | Xbox 360 | 2008 | Europe
|       | Armored Core: Verdict Day                                                        | Namco Bandai Games                     | Xbox 360 | 2013 | Europe
|       | Army of Two                                                                      | EA Games                               | Xbox 360 | 2008 | Europe
|       | Army of Two: The 40th Day                                                        | Electronic Arts                        | Xbox 360 | 2010 | Europe
|       | Army of Two: The Devil's Cartel                                                  | Electronic Arts                        | Xbox 360 | 2013 | Europe
|       | Ashes Cricket 2009                                                               | Codemasters                            | Xbox 360 | 2009 | Europe
|       | Assassin's Creed                                                                 | Ubisoft                                | Xbox 360 | 2007 | Europe
|       | Assassin's Creed Anthology                                                       | Ubisoft                                | Xbox 360 | 2012 | Europe
|       | Assassin's Creed Double Pack                                                     | Ubisoft                                | Xbox 360 | 2012 | Europe
|       | Assassin's Creed II                                                              | Ubisoft                                | Xbox 360 | 2009 | Europe
|       | Assassin's Creed II: Complete Edition                                            | Ubisoft                                | Xbox 360 | 2010 | Europe
|       | Assassin's Creed III                                                             | Ubisoft                                | Xbox 360 | 2012 | Europe
|       | Assassin's Creed IV: Black Flag                                                  | Ubisoft                                | Xbox 360 | 2013 | Europe
|       | Assassin's Creed Rogue                                                           | Ubisoft                                | Xbox 360 | 2014 | Europe
|       | Assassin's Creed: Birth of a New World - The American Saga                       | Ubisoft                                | Xbox 360 | 2014 | Europe
|       | Assassin's Creed: Brotherhood                                                    | Ubisoft                                | Xbox 360 | 2010 | Europe
|       | Assassin's Creed: Brotherhood - The Da Vinci Edition                             | Ubisoft                                | Xbox 360 | 2011 | Europe
|       | Assassin's Creed: Heritage Collection                                            | Ubisoft                                | Xbox 360 | 2013 | Europe
|       | Assassin's Creed: Revelations                                                    | Ubisoft                                | Xbox 360 | 2011 | Europe
|       | Assassin's Creed: Revelations                                                    | Ubisoft                                | Xbox 360 | 2012 | Europe
|       | Asterix at the Olympic Games                                                     | Atari SA                               | Xbox 360 | 2008 | Europe
|       | Asura's Wrath                                                                    | Capcom                                 | Xbox 360 | 2012 | Europe
|       | Avatar: The Legend of Aang -- The Burning Earth                                  | THQ                                    | Xbox 360 | 2007 | Europe
|       | Backbreaker                                                                      | 505 Games                              | Xbox 360 | 2010 | Europe
|       | Baja: Edge of Control                                                            | THQ                                    | Xbox 360 | 2008 | Europe
|       | Bakugan Battle Brawlers                                                          | Activision                             | Xbox 360 | 2009 | Europe
|       | Bakugan Battle Brawlers: Defenders of the Core                                   | Activision                             | Xbox 360 | 2010 | Europe
|       | Band Hero                                                                        | Activision                             | Xbox 360 | 2009 | Europe
|       | Banjo-Kazooie: Nuts & Bolts                                                      | Microsoft Game Studios                 | Xbox 360 | 2008 | Europe
|       | Barbie and Her Sisters: Puppy Rescue                                             | Little Orbit                           | Xbox 360 | 2015 | Europe
|       | Batman: Arkham Asylum                                                            | Eidos Interactive                      | Xbox 360 | 2009 | Europe
|       | Batman: Arkham Asylum                                                            | Eidos Interactive                      | Xbox 360 | 2010 | Europe
|       | Batman: Arkham City                                                              | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | Europe
|       | Batman: Arkham City - Game of the Year Edition                                   | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | Europe
|       | Batman: Arkham Collection                                                        | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | Europe
|       | Batman: Arkham Origins                                                           | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | Europe
|       | Batman: The Telltale Series                                                      | Warner Bros. Interactive Entertainment | Xbox 360 | 2016 | Europe
|       | Battle Fantasia                                                                  | 505 Games                              | Xbox 360 | 2009 | Europe
|       | Battle vs. Chess                                                                 | TopWare Interactive                    | Xbox 360 | 2011 | Europe
|       | Battlefield 2: Modern Combat                                                     | EA Games                               | Xbox 360 | 2006 | Europe
|       | Battlefield 3                                                                    | Electronic Arts                        | Xbox 360 | 2011 | Europe
|       | Battlefield 4                                                                    | Electronic Arts                        | Xbox 360 | 2013 | Europe
|       | Battlefield Hardline                                                             | Electronic Arts                        | Xbox 360 | 2015 | Europe
|       | Battlefield: Bad Company                                                         | EA Games                               | Xbox 360 | 2008 | Europe
|       | Battlefield: Bad Company 2                                                       | EA Games                               | Xbox 360 | 2010 | Europe
|       | Battlefield: Bad Company 2 Ultimate Edition                                      | Electronic Arts                        | Xbox 360 | 2010 | Europe
|       | Battleship                                                                       | Activision                             | Xbox 360 | 2012 | Europe
|       | Battlestations: Midway                                                           | Eidos Interactive                      | Xbox 360 | 2007 | Europe
|       | Battlestations: Pacific                                                          | Eidos Interactive                      | Xbox 360 | 2009 | Europe
|       | Bayonetta                                                                        | Sega                                   | Xbox 360 | 2010 | Europe
|       | BDFL Manager 2007                                                                | Codemasters                            | Xbox 360 | 2006 | Europe
|       | Beatles: Rock Band, The                                                          | MTV Games                              | Xbox 360 | 2009 | Europe
|       | Beautiful Katamari                                                               | Namco Bandai Games                     | Xbox 360 | 2008 | Europe
|       | Bee Movie Game                                                                   | Activision                             | Xbox 360 | 2007 | Europe
|       | Beijing 2008 - The Official Video Game of the Olympic Games                      | Sega                                   | Xbox 360 | 2008 | Europe
|       | Bejeweled 3                                                                      | Electronic Arts                        | Xbox 360 | 2012 | Europe
|       | Ben 10 Alien Force: Vilgax Attacks                                               | D3Publisher                            | Xbox 360 | 2010 | Europe
|       | Ben 10 Omniverse 2                                                               | D3Publisher                            | Xbox 360 | 2013 | Europe
|       | Ben 10 Ultimate Alien: Cosmic Destruction                                        | D3Publisher                            | Xbox 360 | 2010 | Europe
|       | Ben 10: Galactic Racing                                                          | Bandai Namco Games                     | Xbox 360 | 2011 | Europe
|       | Ben 10: Omniverse                                                                | D3Publisher                            | Xbox 360 | 2012 | Europe
|       | Beowulf: The Game                                                                | Ubisoft                                | Xbox 360 | 2007 | Europe
|       | Big League Sports                                                                | Activision                             | Xbox 360 | 2011 | Europe
|       | Biggest Loser: Ultimate Workout, The                                             | THQ                                    | Xbox 360 | 2010 | Europe
|       | Bigs 2, The                                                                      | 2K Sports                              | Xbox 360 | 2009 | Europe
|       | Binary Domain                                                                    | Sega                                   | Xbox 360 | 2012 | Europe
|       | Bionic Commando                                                                  | Capcom                                 | Xbox 360 | 2009 | Europe
|       | Bionicle Heroes                                                                  | Eidos Interactive                      | Xbox 360 | 2006 | Europe
|       | BioShock                                                                         | 2K Games                               | Xbox 360 | 2007 | Europe
|       | BioShock & The Elder Scrolls IV: Oblivion Bundle                                 | 2K Games                               | Xbox 360 | 2009 | Europe
|       | BioShock 2                                                                       | 2K Games                               | Xbox 360 | 2010 | Europe
|       | BioShock Infinite                                                                | 2K Games                               | Xbox 360 | 2013 | Europe
|       | Birds of Steel                                                                   | Konami                                 | Xbox 360 | 2012 | Europe
|       | Black Eyed Peas Experience, The                                                  | Ubisoft                                | Xbox 360 | 2011 | Europe
